date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000002,3552.7598,3574.6392,3544.3032,3574.6392,24661012200,326634477705.0000,3,0.697029,1,0.439881,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000002,3584.9927,3585.9612,3539.5672,3568.4788,26115181800,345428322442.0000,3,0.738074,1,-0.172336,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000002,3567.6614,3590.3178,3536.4416,3547.6875,25491900300,350507548899.0000,3,0.720459,1,-0.582638,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000002,3496.7263,3521.6248,3488.5228,3516.6399,22120733700,307940657981.0000,3,0.625182,1,-0.875150,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000002,3510.9135,3530.0956,3443.3988,3450.7095,26022911700,357507981346.0000,3,0.734962,1,-1.874812,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000002,3459.7698,3484.1427,3433.8560,3475.7867,27051141400,319943629360.0000,3,0.763778,1,0.726726,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000002,3438.6397,3447.6965,3394.1922,3411.0456,35097764000,340758334683.0000,3,0.990971,1,-1.862632,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000002,3440.0222,3443.3943,3382.7666,3390.3019,31211893100,309515067523.0000,3,0.881088,1,-0.608133,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000002,3380.8221,3419.2890,3375.3028,3417.0182,22148056000,254705695824.0000,3,0.625204,1,0.788021,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000002,3433.3752,3441.3374,3417.8530,3436.4021,21371089500,269091841200.0000,3,0.603244,1,0.567275,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000002,3434.6320,3456.2385,3420.5911,3454.1212,19747961500,251664364556.0000,3,0.557597,1,0.515629,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000002,3451.4861,3461.2214,3428.3066,3441.7666,20018964700,242144160554.0000,3,0.565219,1,-0.357677,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000002,3434.8367,3448.5268,3404.5575,3427.5543,20265415400,279134785014.0000,3,0.572168,1,-0.412936,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000002,3428.0592,3498.7906,3425.5566,3498.5492,25589292200,336833850663.0000,3,0.722478,1,2.071299,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000002,3509.9056,3511.6637,3472.3027,3476.3486,21623571100,287551910170.0000,3,0.610205,1,-0.634566,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000002,3448.7772,3479.8382,3422.6228,3431.6460,21382585500,269015602512.0000,3,0.603222,1,-1.285907,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000002,3436.4047,3447.8488,3421.7477,3437.2956,16904912100,240674626673.0000,3,0.476891,1,0.164632,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000002,3419.6369,3422.2464,3375.9888,3378.0220,20654604200,258152398172.0000,3,0.582299,1,-1.724425,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000002,3389.7754,3395.1071,3362.1241,3374.0544,16468785000,220583001117.0000,3,0.464291,1,-0.117453,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000002,3379.8971,3393.7315,3365.1263,3372.1322,15570991100,209547285335.0000,3,0.438741,1,-0.056970,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000002,3387.1648,3398.5923,3374.4845,3379.2184,15119087900,207205293135.0000,3,0.426114,1,0.210140,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000002,3387.9845,3400.7738,3356.0934,3372.6032,15335430400,205661113894.0000,3,0.431845,1,-0.195761,0.000000,0.000000,0.000000,0.000000,0
