date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000004,2912.3061,2935.1294,2903.2491,2935.1261,14772029900,214076963401.0000,3,0.991288,1,0.724568,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000004,2945.7597,2946.8868,2906.6630,2934.1719,15240549400,223024521700.3000,3,1.022721,1,-0.032510,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000004,2933.8544,2951.7792,2903.6593,2915.1081,15072604000,233556113235.0000,3,1.011450,1,-0.649717,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000004,2868.2730,2889.6927,2859.3320,2885.1916,13307671200,210886672324.7000,3,0.893014,1,-1.026257,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000004,2880.2302,2896.5591,2810.0543,2820.0176,15463892500,239219967024.2000,3,1.037328,1,-2.258914,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000004,2824.2489,2832.5523,2789.2240,2823.7039,15795291900,202123998744.0000,3,1.058450,1,0.130719,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000004,2791.0671,2792.5728,2740.7681,2756.2312,21097753600,221679803582.9000,3,1.413771,1,-2.389510,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000004,2782.3627,2789.0705,2731.1005,2737.4504,18763594200,197144547247.0000,3,1.256992,1,-0.681394,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000004,2729.5841,2775.5599,2727.6731,2773.6242,13570914400,168063952345.5000,3,0.909079,1,1.321441,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000004,2791.9685,2805.8579,2780.8818,2797.8753,13425672300,183546415217.2000,3,0.899561,1,0.874347,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000004,2798.1021,2813.9890,2782.8602,2812.6478,11956591700,163802138230.6000,3,0.801503,1,0.527990,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000004,2812.0403,2812.7802,2785.8684,2796.9322,11866834000,158107022430.9000,3,0.795384,1,-0.558748,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000004,2787.8681,2802.7964,2761.9228,2784.9440,12583716700,191812030357.8000,3,0.843403,1,-0.428620,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000004,2784.8979,2824.8730,2777.1298,2824.7630,13520183800,191193985405.0000,3,0.906169,1,1.429795,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000004,2829.1144,2829.8413,2805.6783,2810.4570,11907262400,169723841531.5000,3,0.797427,1,-0.506450,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000004,2785.1130,2805.6504,2762.6761,2770.3476,11536963900,159177096025.9000,3,0.771936,1,-1.427149,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000004,2773.9610,2790.5257,2764.5852,2783.1153,9946154300,158977141837.5000,3,0.665454,1,0.460870,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000004,2765.3488,2765.9745,2720.7295,2721.7194,12383552800,170720040224.5000,3,0.828520,1,-2.206014,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000004,2733.3565,2737.9094,2705.2832,2714.0690,9442202600,138391801822.0000,3,0.631728,1,-0.281087,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000004,2720.9682,2732.5564,2706.3613,2710.0180,9348550300,138754269478.2000,3,0.624873,1,-0.149259,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000004,2724.8335,2737.0490,2712.1066,2724.1201,9126087900,133798079425.4000,3,0.610256,1,0.520369,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000004,2731.3240,2752.1638,2714.3614,2728.9636,9020245500,133314720478.5000,3,0.602832,1,0.177801,0.000000,0.000000,0.000000,0.000000,0
