date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000005,3453.5624,3465.1294,3440.0220,3462.8788,2086427800,29263016032.7000,3,1.344999,1,0.039327,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000005,3475.9224,3478.8010,3423.6300,3455.4517,2308791200,31800968125.6000,3,1.486900,1,-0.214478,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000005,3455.1835,3478.2654,3429.3579,3437.8438,2025032600,29364866745.7000,3,1.304155,1,-0.509569,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000005,3386.4479,3410.4973,3379.0736,3404.5922,1735202800,24510030303.4000,3,1.117477,1,-0.967223,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000005,3402.2448,3412.5754,3316.8667,3324.1210,2188441300,30831886753.6000,3,1.439019,1,-2.363608,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000005,3334.5268,3374.1322,3304.1849,3356.1025,2067772300,28921053442.0000,3,1.330706,1,0.962104,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000005,3314.8496,3324.1318,3263.3477,3277.3248,2112183000,28653089161.7000,3,1.359286,1,-2.347297,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000005,3307.2108,3315.1332,3240.3602,3248.5616,2088386500,26819916147.9000,3,1.343972,1,-0.877643,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000005,3236.2100,3279.1145,3236.2100,3278.8259,1728618200,23672104101.6000,3,1.112445,1,0.931622,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000005,3294.9330,3295.7728,3272.3502,3294.9752,1516401700,21476532601.5000,3,0.997110,1,0.492533,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000005,3295.8524,3317.6942,3279.9565,3314.4588,1585175300,21864999075.5000,3,1.019506,1,0.591312,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000005,3313.4218,3334.8785,3298.2120,3310.8315,1603681000,22364842782.6000,3,1.031408,1,-0.109439,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000005,3303.2343,3320.3031,3266.4866,3295.4700,1605884300,23739766874.0000,3,1.032825,1,-0.463977,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000005,3286.3374,3399.0225,3285.1943,3391.9341,2663496800,36921163385.0000,3,1.713029,1,2.927173,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000005,3435.8857,3440.5712,3381.3428,3383.0145,2328983200,32900557471.5000,3,1.530462,1,-0.262965,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000005,3356.3341,3432.1379,3351.5827,3363.0196,2386568000,31350279213.5000,3,1.534922,1,-0.591038,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000005,3366.3420,3372.4136,3346.1049,3358.0936,1599157700,22876010555.8000,3,1.028499,1,-0.146476,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000005,3343.4165,3353.6663,3311.6062,3312.1421,1571748400,21155890151.6000,3,1.010697,1,-1.368381,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000005,3323.9411,3345.4254,3309.5367,3330.2859,1593522400,23001223328.0000,3,1.024698,1,0.547797,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000005,3329.5944,3341.7775,3308.3570,3310.7093,1312254200,18150198663.7000,3,0.862180,1,-0.587835,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000005,3323.1317,3348.0418,3314.2277,3322.3821,1333054500,19894851311.6000,3,0.857207,1,0.352577,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000005,3329.5877,3333.0403,3284.4871,3305.8429,1295392200,18824391027.4000,3,0.830319,1,-0.497811,0.000000,0.000000,0.000000,0.000000,0
