date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000006,6729.2187,6749.2612,6697.2775,6737.3418,371837900,3618773263.9000,3,0.431674,1,0.125221,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000006,6734.7301,6748.9296,6669.5235,6712.5643,479349600,4267738007.0000,3,0.556487,1,-0.367764,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000006,6720.7686,6761.6397,6679.0177,6692.9220,461114000,3951262560.8000,3,0.535317,1,-0.292620,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000006,6631.3615,6689.3474,6601.4878,6681.3873,397389100,3459480960.4000,3,0.461337,1,-0.172342,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000006,6659.8834,6806.3455,6645.8453,6663.9900,584572900,5368728103.8000,3,0.678643,1,-0.260385,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000006,6682.0580,6734.7678,6657.7109,6710.4358,485456000,4024935216.0000,3,0.563576,1,0.696967,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000006,6662.3999,6707.8645,6580.1673,6622.6658,586495900,4083078062.3000,3,0.680875,1,-1.307963,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000006,6684.7219,6824.9104,6638.2602,6657.5072,744510700,6510129674.0000,3,0.864318,1,0.526093,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000006,6647.4516,6664.1129,6595.3890,6629.7350,445629000,3923607403.2000,3,0.517340,1,-0.417156,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000006,6652.5569,6670.8020,6588.7315,6631.3924,369401200,3302179369.8000,3,0.428846,1,0.024999,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000006,6626.9757,6697.5778,6592.2375,6671.9640,368532300,3313838290.7000,3,0.427837,1,0.611811,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000006,6659.6380,6761.4949,6625.4452,6728.8139,404343300,3629191832.0000,3,0.469411,1,0.852071,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000006,6712.7775,6733.2156,6657.7604,6681.3032,337107400,3081378873.0000,3,0.391355,1,-0.706078,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000006,6697.3182,6891.9894,6697.3182,6891.9894,991177400,7848616556.0000,3,1.150679,1,3.153370,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000006,6896.4823,6904.3645,6847.1612,6858.8905,648831700,5251813204.9000,3,0.753242,1,-0.480252,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000006,6817.3058,6888.9114,6781.3938,6803.4731,479401800,4465776692.0000,3,0.556548,1,-0.807964,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000006,6829.1211,6836.1420,6728.9924,6748.3075,417937000,3545268771.4000,3,0.485192,1,-0.810845,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000006,6730.6437,6730.6437,6632.6427,6639.6617,458658500,3740030363.1000,3,0.532264,1,-1.609971,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000006,6635.7483,6657.1799,6511.6987,6528.0411,438211200,4120503270.0000,3,0.508536,1,-1.681119,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000006,6548.1187,6590.7948,6525.2124,6562.3050,333315300,3154410709.2000,3,0.386806,1,0.524873,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000006,6586.7697,6593.5623,6546.0453,6547.1515,279912100,2503729943.5000,3,0.324833,1,-0.230917,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000006,6571.5389,6578.5973,6474.6268,6515.4111,330495000,2864813181.0000,3,0.383533,1,-0.484797,0.000000,0.000000,0.000000,0.000000,0
