date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000008,2976.6456,2994.0439,2974.6104,2994.0439,5367307000,66046465263.3000,3,0.376295,1,0.205542,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000008,2999.9073,3001.0649,2963.1060,2983.8745,6049884800,73161080634.8000,3,0.424166,1,-0.339654,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000008,2980.9608,3002.6933,2958.3473,2966.8743,5635282700,69143615218.2000,3,0.395098,1,-0.569736,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000008,2929.9111,2947.5517,2924.6422,2942.6696,4635991700,56244272915.9000,3,0.325036,1,-0.815832,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000008,2937.4901,2953.7725,2898.7639,2899.3494,5350264300,67018910926.2000,3,0.374787,1,-1.472139,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000008,2912.3920,2950.5358,2908.1945,2945.3126,6234766900,71003101828.0000,3,0.436746,1,1.585294,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000008,2915.4629,2939.0958,2896.3724,2909.9251,7249295900,67852884615.2000,3,0.507814,1,-1.201485,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000008,2931.3336,2936.2592,2896.2678,2902.7917,6323730600,63161275198.3000,3,0.442923,1,-0.245140,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000008,2896.0164,2910.7129,2884.6782,2906.2451,4368291100,48037536457.7000,3,0.305961,1,0.118968,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000008,2912.8652,2915.8876,2897.2320,2911.1047,4222323100,50445106125.8000,3,0.295737,1,0.167212,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000008,2906.0418,2929.2515,2898.8646,2925.9718,3833819600,51016136434.7000,3,0.268526,1,0.510703,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000008,2921.4534,2934.1779,2904.7447,2916.3778,3784131500,45207762009.3000,3,0.265046,1,-0.327891,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000008,2916.6310,2922.0338,2890.8651,2904.1837,3868750900,49964829458.9000,3,0.270973,1,-0.418125,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000008,2906.8772,2993.7259,2903.2326,2993.7106,6392566100,88800942122.0000,3,0.447744,1,3.082687,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000008,3005.8814,3009.9949,2961.8021,2964.3787,5062789600,69569514583.5000,3,0.354589,1,-0.979784,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000008,2945.1169,2975.2920,2923.4004,2931.4798,4984007800,60356724134.0000,3,0.349011,1,-1.109808,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000008,2934.7635,2938.7650,2919.0370,2928.1019,3608485200,46628927907.1000,3,0.252688,1,-0.115228,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000008,2916.7374,2923.3493,2890.4162,2897.0098,4430326600,51758378335.5000,3,0.309765,1,-1.061852,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000008,2904.6109,2916.9432,2889.7987,2903.1398,3718598400,47059891242.0000,3,0.260001,1,0.211597,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000008,2905.3509,2920.4908,2898.3377,2911.4466,3410688100,42171033591.6000,3,0.238472,1,0.286132,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000008,2921.2077,2923.8848,2902.2024,2902.2024,3174284100,43519870825.5000,3,0.221905,1,-0.317512,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000008,2910.3660,2916.3115,2871.9098,2884.5402,3532900800,43771140389.7000,3,0.246974,1,-0.608579,0.000000,0.000000,0.000000,0.000000,0
