date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000011,7277.2313,7312.0091,7264.6390,7311.6648,9629218000,38679586582.0000,3,248.960362,1,0.375885,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000011,7318.6859,7322.8133,7256.8930,7301.5490,10289813300,42711065186.0000,3,266.039840,1,-0.138352,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000011,7295.6831,7323.6516,7255.6240,7270.8611,9186444700,38498383370.0000,3,237.512601,1,-0.420293,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000011,7209.2402,7237.9278,7190.2231,7231.4003,9218418800,41763460011.0000,3,238.339276,1,-0.542725,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000011,7222.9591,7250.2821,7103.4388,7119.5655,11163688400,41539505770.0000,3,288.633605,1,-1.546517,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000011,7126.5291,7159.5088,7084.8985,7145.2112,11570577700,42243898923.0000,3,299.153596,1,0.360214,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000011,7101.3537,7101.3537,7006.0061,7035.0830,10658968400,39761140332.0000,3,275.584227,1,-1.541287,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000011,7067.3765,7083.7712,6987.1533,6997.1003,10568770500,41704914893.0000,3,273.252193,1,-0.539904,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000011,6983.4225,7041.6897,6973.6629,7036.0744,8468071800,36556985535.0000,3,218.939300,1,0.557004,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000011,7052.7538,7082.4362,7040.3567,7065.9633,8047511700,36165288105.0000,3,208.065852,1,0.424795,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000011,7065.7368,7102.7175,7051.2501,7098.5895,7942053900,35690475068.0000,3,205.339271,1,0.461737,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000011,7096.6669,7102.1213,7057.1282,7072.5727,6807810900,30148830620.0000,3,176.013778,1,-0.366507,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000011,7061.6744,7094.3297,7024.7027,7061.8400,8694134300,35977964495.0000,3,224.784069,1,-0.151751,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000011,7059.4668,7181.9871,7059.4668,7181.3349,12433686000,51071118915.0000,3,321.468987,1,1.692121,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000011,7202.8362,7209.6184,7145.3011,7147.2505,10922074600,40580917304.0000,3,282.386757,1,-0.474625,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000011,7116.4858,7163.7589,7071.2195,7086.7454,10364740900,46768506640.0000,3,267.977070,1,-0.846551,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000011,7090.3118,7109.7749,7069.3651,7094.3941,8344412600,40763708643.0000,3,215.742129,1,0.107930,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000011,7067.2147,7069.9835,6999.2981,7002.2237,8022077600,41341623668.0000,3,207.408261,1,-1.299200,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000011,7011.6462,7034.1100,6988.3343,7009.9563,8220571400,41887419054.0000,3,212.540252,1,0.110431,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000011,7012.3172,7033.7262,6994.5548,7004.2065,6721129800,42421574829.0000,3,173.772666,1,-0.082023,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000011,7022.7502,7055.9314,7021.1381,7033.4390,7893625600,43617818539.0000,3,204.087173,1,0.417356,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000011,7042.9058,7064.2812,6991.2802,7016.7239,8079186500,46707739582.0000,3,208.884789,1,-0.237652,0.000000,0.000000,0.000000,0.000000,0
