date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000017,2864.7112,2882.3545,2857.8910,2882.3545,23303207500,299611028377.0000,3,0.658684,1,0.439902,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000017,2890.7039,2891.4845,2854.0725,2877.3880,24659537100,313548410859.0000,3,0.696968,1,-0.172307,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000017,2876.7286,2895.0007,2851.5533,2860.6222,24030394500,314361242749.0000,3,0.679186,1,-0.582674,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000017,2819.5278,2839.6036,2812.9122,2835.5846,20761780800,275879730699.0000,3,0.586803,1,-0.875250,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000017,2830.9666,2846.4297,2776.5212,2782.4168,24493307900,319145702723.0000,3,0.691795,1,-1.875021,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000017,2789.7233,2809.3782,2768.8270,2802.6392,25749296200,289913483753.0000,3,0.727056,1,0.726793,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000017,2772.6862,2779.9891,2736.8444,2750.4348,33561392400,308742302618.0000,3,0.947638,1,-1.862687,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000017,2773.8013,2776.5207,2727.6431,2733.7211,29794679300,283144240998.0000,3,0.841122,1,-0.607675,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000017,2726.0772,2757.0919,2721.6248,2755.2591,20827806500,230302085144.0000,3,0.587964,1,0.787864,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000017,2768.4508,2774.8692,2755.9320,2770.8906,20177036900,243117778336.0000,3,0.569561,1,0.567333,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000017,2769.4632,2786.8857,2758.1413,2785.1775,18577225200,227427143782.0000,3,0.524566,1,0.515607,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000017,2783.0517,2790.9041,2764.3622,2775.2160,18612971400,216784727353.0000,3,0.525547,1,-0.357661,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000017,2769.6275,2780.6612,2745.2082,2763.7471,18674586800,240674479452.0000,3,0.527279,1,-0.413262,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000017,2764.1549,2821.1942,2762.1372,2821.0000,23984519000,303158009016.0000,3,0.677202,1,2.071568,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000017,2830.1565,2831.5747,2799.8344,2803.0969,20410578600,258923184649.0000,3,0.575997,1,-0.634637,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000017,2780.8662,2805.9108,2759.7721,2767.0463,20115814300,238952869316.0000,3,0.567513,1,-1.286099,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000017,2770.8838,2780.1113,2759.0612,2771.6010,15675774700,210442690721.0000,3,0.442238,1,0.164605,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000017,2757.3605,2759.4663,2722.1713,2723.8109,19344624000,227995594441.0000,3,0.545394,1,-1.724278,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000017,2733.2898,2737.5887,2710.9908,2720.6120,15441533100,196379574085.0000,3,0.435351,1,-0.117442,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000017,2725.3262,2736.4835,2713.4201,2719.0704,14479815200,184792875045.0000,3,0.408011,1,-0.056664,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000017,2731.1907,2740.4063,2720.9666,2724.7825,14073539500,184818724613.0000,3,0.396666,1,0.210075,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000017,2731.8517,2742.1653,2706.1352,2719.4478,14432307400,184497504787.0000,3,0.406432,1,-0.195784,0.000000,0.000000,0.000000,0.000000,0
