date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000022,210.0866,210.0906,210.0681,210.0811,880546000,845271508.0000,3,0.008211,1,0.008997,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000022,210.1056,210.1056,210.0918,210.0941,346286000,330264596.0000,3,0.003229,1,0.006188,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000022,210.1184,210.1273,210.0698,210.0698,867780000,847529808.0000,3,0.008092,1,-0.011566,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000022,210.0943,210.0955,210.0693,210.0725,610290000,599868180.0000,3,0.005691,1,0.001285,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000022,210.1476,210.1476,210.1338,210.1366,271380000,262222437.0000,3,0.002530,1,0.030513,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000022,210.1611,210.1611,210.1335,210.1423,1243736000,1229449543.0000,3,0.011595,1,0.002713,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000022,210.1683,210.1736,210.1563,210.1650,815977000,802562038.0000,3,0.007607,1,0.010802,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000022,210.1895,210.2017,210.1621,210.1671,921127000,902846942.0000,3,0.008588,1,0.000999,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000022,210.1915,210.2042,210.1756,210.1878,742464000,727381657.0000,3,0.006922,1,0.009849,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000022,210.2611,210.2776,210.2490,210.2571,530741000,523902956.0000,3,0.004947,1,0.032971,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000022,210.2817,210.2831,210.2568,210.2716,370580000,361831473.0000,3,0.003454,1,0.006896,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000022,210.2975,210.2975,210.2381,210.2785,1301996000,1293033275.0000,3,0.012137,1,0.003281,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000022,210.3030,210.3069,210.2762,210.3026,1165841000,1152313344.0000,3,0.010868,1,0.011461,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000022,210.3371,210.3372,210.3097,210.3145,941713000,934147333.0000,3,0.008778,1,0.005659,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000022,210.3890,210.3950,210.3762,210.3873,1043551000,1027076555.0000,3,0.009728,1,0.034615,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000022,210.4135,210.4396,210.3812,210.3812,1109004000,1092808099.0000,3,0.010338,1,-0.002899,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000022,210.4125,210.4220,210.3686,210.3716,663133000,649397014.0000,3,0.006182,1,-0.004563,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000022,210.3994,210.3994,210.3438,210.3616,670862000,651150619.0000,3,0.006254,1,-0.004753,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000022,210.3871,210.3880,209.9210,209.9920,959612000,780175031.0000,3,0.008945,1,-0.175697,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000022,210.0640,210.2328,210.0640,210.1620,918084000,804725225.0000,3,0.008544,1,0.080955,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000022,210.1870,210.2993,210.1870,210.2865,717194000,652284607.0000,3,0.006674,1,0.059240,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000022,210.3113,210.3975,210.3113,210.3775,569050000,529229882.0000,3,0.005296,1,0.043274,0.000000,0.000000,0.000000,0.000000,0
