date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000030,3034.2667,3057.3395,3024.8273,3057.3256,5356653400,114672505433.0000,3,0.809966,1,0.472384,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000030,3075.3582,3077.3854,3032.1135,3067.7077,5912952600,122282933032.0000,3,0.893956,1,0.339581,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000030,3066.2009,3092.5182,3029.8534,3044.1790,5638756300,129554748874.0000,3,0.852501,1,-0.766980,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000030,2990.4077,3005.4574,2975.7078,2999.5857,4824144200,114207444839.0000,3,0.729343,1,-1.464871,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000030,2991.5055,3010.6174,2911.6722,2923.0627,6047424700,129855464589.0000,3,0.912589,1,-2.551119,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000030,2932.4200,2950.6677,2898.8685,2940.9619,5972137600,118332008287.0000,3,0.901227,1,0.612344,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000030,2900.3960,2908.3821,2850.5313,2871.3599,7264783900,113405375997.0000,3,1.096294,1,-2.366641,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000030,2903.3809,2918.6362,2874.0558,2880.2931,6378997400,105590630742.0000,3,0.962624,1,0.311114,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000030,2874.7980,2920.1604,2873.3887,2917.3206,4355790600,91767491919.0000,3,0.657234,1,1.285546,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000030,2939.6581,2953.2888,2925.7743,2941.1559,4306809200,98184915889.0000,3,0.649843,1,0.817027,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000030,2937.9068,2968.0419,2923.0448,2966.0572,4061470200,89733980081.0000,3,0.612825,1,0.846650,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000030,2964.4579,2970.7384,2927.1397,2938.7339,4122239500,86847033153.0000,3,0.621994,1,-0.921199,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000030,2927.9938,2933.4033,2888.2774,2910.5051,4246066600,102185933783.0000,3,0.640678,1,-0.960577,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000030,2910.5695,2979.5681,2907.0117,2979.5362,6822669800,140208794871.0000,3,1.029455,1,2.371791,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000030,2990.6096,2992.5706,2944.9860,2946.9416,5602707700,111056196223.0000,3,0.845377,1,-1.093949,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000030,2921.2060,2958.7381,2903.0066,2913.6695,5897029300,103589480241.0000,3,0.889764,1,-1.129038,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000030,2917.0426,2938.9968,2907.9871,2933.1595,4174129000,89089831870.0000,3,0.629807,1,0.668916,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000030,2915.3771,2920.0565,2868.9229,2870.1430,4633662200,91081922341.0000,3,0.699106,1,-2.148417,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000030,2886.7073,2899.3143,2872.1394,2882.5260,4269876900,82156836652.0000,3,0.644220,1,0.431442,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000030,2892.2963,2919.3584,2888.9217,2895.4721,3552957900,75678171373.0000,3,0.536049,1,0.449123,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000030,2913.7694,2919.2754,2895.0962,2903.8633,3611619200,75785985092.0000,3,0.544767,1,0.289804,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000030,2912.7565,2935.6271,2884.6005,2899.0279,3633210400,76542723563.0000,3,0.548024,1,-0.166516,0.000000,0.000000,0.000000,0.000000,0
