date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000035,3125.8447,3204.6517,3122.0591,3204.6517,1086685800,16422778919.0000,3,0.954991,1,2.224696,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000035,3227.8416,3242.1635,3194.0084,3230.6751,955072700,15531357647.0000,3,0.839328,1,0.812051,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000035,3225.0071,3248.1134,3192.4579,3211.3704,863923800,14888719601.0000,3,0.759225,1,-0.597544,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000035,3148.1102,3190.2086,3118.4704,3181.6522,771019600,12781342074.0000,3,0.677580,1,-0.925406,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000035,3170.5573,3201.7342,3104.1635,3118.6682,879124200,15802323340.0000,3,0.771840,1,-1.979600,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000035,3133.9343,3144.5386,3102.1124,3130.7668,894167500,13924099947.0000,3,0.785048,1,0.387941,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000035,3091.4462,3102.4187,3027.6219,3033.7768,1048835000,14878633363.0000,3,0.920840,1,-3.097963,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000035,3067.3415,3106.2816,3052.8059,3063.6019,982378900,14492548311.0000,3,0.862494,1,0.983101,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000035,3051.5342,3096.8334,3045.1832,3092.4647,672435200,11764892433.0000,3,0.590375,1,0.942120,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000035,3103.8666,3140.5948,3103.8666,3133.2956,668816200,12704262572.0000,3,0.587197,1,1.320335,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000035,3134.0592,3187.6093,3121.3454,3183.2346,646647500,12001118021.0000,3,0.567734,1,1.593817,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000035,3182.4637,3198.9820,3163.5983,3185.8791,636608800,11712374459.0000,3,0.558920,1,0.083076,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000035,3194.2972,3239.9759,3173.4732,3217.8340,890722300,14353230736.0000,3,0.782023,1,1.003017,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000035,3210.7256,3255.9980,3196.9051,3255.1785,867172000,15620911867.0000,3,0.761347,1,1.160548,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000035,3262.7123,3271.7413,3198.7893,3206.1429,778040500,14274953684.0000,3,0.683092,1,-1.506387,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000035,3189.8457,3198.0633,3134.7056,3151.9160,710271600,11429147450.0000,3,0.623594,1,-1.691344,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000035,3162.3504,3207.1585,3151.7700,3197.5843,512938000,9976412728.0000,3,0.450342,1,1.448906,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000035,3183.3036,3183.3036,3113.0673,3119.8258,654669300,10284312190.0000,3,0.574777,1,-2.431789,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000035,3141.1361,3148.9339,3104.9473,3122.2236,544792600,10088791439.0000,3,0.478309,1,0.076857,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000035,3137.4654,3167.7543,3125.3540,3143.4806,499211800,10768282458.0000,3,0.438262,1,0.680829,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000035,3153.5064,3166.7228,3127.2373,3144.9440,482659600,9577833154.0000,3,0.423731,1,0.046553,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000035,3160.6107,3173.1053,3114.5137,3134.6195,503181300,9731388283.0000,3,0.441747,1,-0.328289,0.000000,0.000000,0.000000,0.000000,0
