date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000040,3489.2895,3517.7704,3475.9202,3516.0016,459335000,6846410719.0000,3,1.166243,1,0.385273,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000040,3536.1709,3539.2791,3498.8473,3512.7937,482342100,7854021703.0000,3,1.224657,1,-0.091237,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000040,3523.0318,3524.0120,3454.6680,3464.4552,400528500,6989932997.0000,3,1.016934,1,-1.376070,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000040,3419.0981,3456.5596,3409.4758,3451.6321,401713300,6965666506.0000,3,1.019942,1,-0.370133,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000040,3447.7172,3484.9082,3381.8658,3397.2039,401457100,8271793145.0000,3,1.019292,1,-1.576883,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000040,3394.3092,3402.6092,3331.6637,3361.3830,390249900,8303443338.0000,3,0.990837,1,-1.054423,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000040,3324.3987,3324.3987,3252.3052,3263.3896,455604700,7235904527.0000,3,1.156772,1,-2.915270,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000040,3291.5191,3300.1586,3176.8227,3186.2155,484133600,6285322340.0000,3,1.229206,1,-2.364845,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000040,3175.6244,3215.6873,3158.8047,3211.0230,325402800,4750790752.0000,3,0.826192,1,0.778588,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000040,3226.2431,3263.0236,3217.0171,3243.3771,306763300,4774017989.0000,3,0.778866,1,1.007595,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000040,3240.9319,3244.8258,3216.3859,3242.5987,285557500,4029404801.0000,3,0.725025,1,-0.024000,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000040,3235.5222,3244.3020,3205.8032,3219.7656,245149400,3446194994.0000,3,0.622430,1,-0.704161,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000040,3211.3737,3245.9520,3182.0166,3221.2881,271260500,4123541618.0000,3,0.688725,1,0.047286,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000040,3226.2974,3264.3352,3217.6705,3262.4846,323355700,4387569267.0000,3,0.820994,1,1.278883,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000040,3270.2450,3301.8693,3263.0577,3269.5689,264996300,4179985444.0000,3,0.672821,1,0.217144,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000040,3241.8506,3257.9796,3206.8685,3214.7070,231772800,3678335134.0000,3,0.588467,1,-1.677955,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000040,3231.6375,3238.4204,3202.1417,3219.3884,210719000,3275010401.0000,3,0.535012,1,0.145624,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000040,3205.1218,3205.1218,3143.7091,3145.8674,294791700,4029535998.0000,3,0.748432,1,-2.283695,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000040,3157.3193,3165.5421,3111.6674,3123.6079,218933700,3036052398.0000,3,0.555840,1,-0.707579,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000040,3124.7966,3135.9053,3097.7929,3107.5026,208130700,3507164296.0000,3,0.528413,1,-0.515599,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000040,3125.1138,3163.4317,3123.8940,3136.7716,240394400,3485065825.0000,3,0.610220,1,0.941882,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000040,3147.9800,3154.8830,3115.7499,3131.7668,202386600,3021074861.0000,3,0.513741,1,-0.159553,0.000000,0.000000,0.000000,0.000000,0
