date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000044,3999.3953,4028.4725,3988.0300,4028.3635,4862914700,69078711531.0000,3,0.687955,1,0.578825,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000044,4038.5748,4046.1911,3990.9912,4031.7980,5128826300,71919025149.0000,3,0.725631,1,0.085258,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000044,4027.4386,4073.5743,3988.1974,4004.6632,5071778500,79963270126.0000,3,0.717560,1,-0.673020,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000044,3931.4744,3959.3193,3924.5174,3950.7393,4152838700,67356566549.0000,3,0.587545,1,-1.346528,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000044,3942.6805,3962.8238,3862.0475,3870.5849,5105083500,74212722919.0000,3,0.722269,1,-2.028846,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000044,3879.4277,3912.8417,3848.4673,3899.4410,5314733900,65681210035.0000,3,0.751930,1,0.745523,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000044,3849.5234,3864.3688,3795.1277,3814.8245,6920802200,69008745191.0000,3,0.979157,1,-2.169965,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000044,3849.0943,3862.6503,3784.7395,3793.0937,5928042900,63367442923.0000,3,0.838701,1,-0.569641,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000044,3782.5997,3828.6362,3770.2822,3826.6912,4088818400,54076888239.0000,3,0.578422,1,0.885755,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000044,3845.6553,3853.8181,3824.1286,3844.5710,3959689900,55044097149.0000,3,0.560155,1,0.467239,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000044,3842.9111,3865.4291,3828.5148,3862.7287,3596856700,47673121676.0000,3,0.508827,1,0.472295,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000044,3861.4282,3882.5285,3840.6539,3856.7228,3918359000,50359363932.0000,3,0.554309,1,-0.155483,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000044,3845.4303,3865.0005,3807.9259,3837.4455,3688011200,51642788616.0000,3,0.521722,1,-0.499836,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000044,3838.4092,3925.1741,3835.8019,3924.2631,5662184900,71400748127.0000,3,0.800998,1,2.262380,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000044,3942.8598,3948.1478,3890.1336,3894.2371,4827277600,64740788880.0000,3,0.682887,1,-0.765137,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000044,3857.6758,3907.9741,3832.4330,3841.8058,5413962300,62077569514.0000,3,0.763999,1,-1.346382,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000044,3851.1228,3857.6414,3829.9046,3841.9167,3716923600,48715409058.0000,3,0.524519,1,0.002887,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000044,3818.9652,3820.9754,3762.9158,3763.8226,4181117500,49711278883.0000,3,0.590024,1,-2.032686,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000044,3783.5820,3792.0201,3752.3729,3769.7749,3809881500,48747411921.0000,3,0.537637,1,0.158145,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000044,3775.6563,3795.7185,3760.2805,3769.3225,3160093200,43125810438.0000,3,0.445936,1,-0.012001,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000044,3792.5902,3802.3376,3776.7051,3779.2745,3160786000,43741573709.0000,3,0.445933,1,0.264026,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000044,3786.1074,3806.1584,3749.6576,3773.4049,3249885200,43305273841.0000,3,0.458057,1,-0.155310,0.000000,0.000000,0.000000,0.000000,0
