date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000045,4767.1913,4800.6927,4755.9262,4800.6927,7419291300,77452959528.0000,3,1.107791,1,0.736747,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000045,4809.2856,4810.9489,4740.8524,4778.7298,7687433400,82284866176.0000,3,1.147828,1,-0.457494,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000045,4778.1459,4798.9495,4735.7326,4751.6005,7505884000,78371455243.0000,3,1.120720,1,-0.567709,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000045,4678.7352,4718.5928,4668.9476,4711.2742,6164846300,66099409291.0000,3,0.920487,1,-0.848689,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000045,4706.9907,4743.1100,4608.9428,4623.1799,7476903700,79492545793.0000,3,1.116211,1,-1.869861,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000045,4632.4355,4650.6142,4577.8512,4635.6689,8096655900,70190369748.0000,3,1.208732,1,0.270139,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000045,4589.4097,4598.9694,4515.3842,4537.9543,11854518400,83736407832.0000,3,1.769735,1,-2.107886,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000045,4581.1329,4587.4544,4454.7421,4467.2334,10148711600,72817229443.0000,3,1.513560,1,-1.558431,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000045,4448.8358,4512.3955,4447.7775,4510.4014,6878368000,57424304654.0000,3,1.025793,1,0.966325,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000045,4535.7943,4546.4176,4501.2034,4530.7521,6750814700,59729943241.0000,3,1.006524,1,0.451195,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000045,4530.5886,4565.9632,4514.2015,4565.1538,6321631600,58575478445.0000,3,0.942473,1,0.759293,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000045,4558.1863,4569.0302,4527.5269,4546.7877,6451686400,55039831001.0000,3,0.961863,1,-0.402311,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000045,4540.2438,4574.2395,4497.5378,4544.7265,6266476600,58333817894.0000,3,0.935659,1,-0.045333,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000045,4541.5977,4624.6418,4541.5977,4619.8828,6806542300,63280422824.0000,3,1.016251,1,1.653703,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000045,4635.0942,4645.7641,4605.1632,4614.3946,5946415200,59097912199.0000,3,0.886459,1,-0.118795,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000045,4575.0000,4613.6439,4530.3111,4541.9791,5475724000,53031716703.0000,3,0.817522,1,-1.569339,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000045,4556.4187,4575.9785,4540.5688,4563.1851,4438137000,46417417262.0000,3,0.662609,1,0.466889,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000045,4535.0402,4535.0402,4464.7502,4466.3891,5485190200,51132201184.0000,3,0.816243,1,-2.121238,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000045,4482.4420,4490.5672,4431.6119,4449.2153,4028426500,42597700569.0000,3,0.599464,1,-0.384512,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000045,4459.5885,4465.1465,4410.3374,4413.2969,4049629200,42842308835.0000,3,0.601715,1,-0.807297,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000045,4434.6510,4475.1817,4421.0789,4441.8557,3957306400,42471826411.0000,3,0.588873,1,0.647108,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000045,4453.1825,4464.5587,4398.1723,4424.3680,4066089800,42637583094.0000,3,0.603574,1,-0.393703,0.000000,0.000000,0.000000,0.000000,0
