date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000046,4377.1929,4408.4942,4365.6525,4408.4942,12282206000,146531671059.0000,3,0.892211,1,0.646230,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000046,4418.2661,4420.4383,4361.6839,4402.0307,12816259600,154203891325.0000,3,0.931044,1,-0.146615,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000046,4399.0691,4435.9683,4358.1191,4374.3786,12577662500,158334725369.0000,3,0.913711,1,-0.628167,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000046,4299.9160,4332.7633,4292.4133,4324.7579,10317685000,133455975840.0000,3,0.749532,1,-1.134349,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000046,4318.0261,4344.4501,4229.3182,4239.9541,12581987200,153705268712.0000,3,0.913951,1,-1.960891,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000046,4249.1281,4276.3936,4208.3060,4262.9406,13411389800,135871579783.0000,3,0.974198,1,0.542140,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000046,4213.5041,4226.3117,4150.3646,4171.5657,18775320500,152745153023.0000,3,1.363832,1,-2.143471,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000046,4209.9872,4218.0287,4120.0521,4130.1899,16076754500,136184672366.0000,3,1.167239,1,-0.991853,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000046,4116.3929,4169.7234,4108.4331,4168.1860,10967186400,111501192893.0000,3,0.796205,1,0.919960,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000046,4190.0368,4198.1855,4164.1616,4187.3771,10710504500,114774040390.0000,3,0.777477,1,0.460419,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000046,4186.2737,4214.2677,4170.9775,4212.2639,9918488400,106248600121.0000,3,0.719962,1,0.594329,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000046,4208.7038,4224.9987,4183.8291,4201.2700,10370045400,105399194933.0000,3,0.752740,1,-0.260997,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000046,4191.6389,4216.5942,4151.6834,4188.4223,9954487800,109976606510.0000,3,0.723105,1,-0.305805,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000046,4187.7897,4274.0629,4187.2479,4272.2684,12468727100,134681170951.0000,3,0.905722,1,2.001854,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000046,4289.8785,4294.3432,4245.3296,4251.3585,10773692700,123838701079.0000,3,0.782007,1,-0.489433,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000046,4212.9938,4259.6383,4179.7618,4190.0607,10889686200,115109286217.0000,3,0.790006,1,-1.441840,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000046,4201.5731,4213.3068,4182.8421,4198.4950,8155060600,95132826320.0000,3,0.591619,1,0.201293,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000046,4173.0643,4173.7987,4110.7905,4111.5588,9666307700,100843480067.0000,3,0.700132,1,-2.070652,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000046,4130.2274,4137.8868,4090.8019,4108.5024,7838308000,91345112490.0000,3,0.567730,1,-0.074337,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000046,4116.2657,4130.8019,4088.8417,4094.0545,7209722400,85968119273.0000,3,0.521817,1,-0.351659,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000046,4117.0032,4138.3566,4102.9178,4111.5346,7118092400,86213400120.0000,3,0.515499,1,0.426963,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000046,4120.2687,4136.6775,4075.8867,4100.9709,7315975000,85942856935.0000,3,0.528931,1,-0.256928,0.000000,0.000000,0.000000,0.000000,0
