date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000058,3898.1180,3915.9233,3893.6894,3915.9233,6007611800,51584929111.0000,3,0.291141,1,0.182114,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000058,3922.7405,3924.6381,3871.5717,3896.4096,6223099200,53707940256.0000,3,0.301584,1,-0.498317,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000058,3902.0882,3934.9905,3884.2063,3893.7549,6167886000,54637608897.0000,3,0.298908,1,-0.068132,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000058,3857.2695,3882.1989,3850.6203,3877.6538,5270563400,46784932169.0000,3,0.255422,1,-0.413511,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000058,3874.3181,3912.2290,3852.7258,3858.9527,6091395600,55594368935.0000,3,0.295022,1,-0.482279,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000058,3877.1509,3923.2200,3873.8529,3920.3498,6439710600,58359224855.0000,3,0.311892,1,1.591030,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000058,3886.6442,3920.8234,3869.3222,3884.1432,8779216700,58970134222.0000,3,0.425200,1,-0.923555,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000058,3909.4529,3912.4395,3865.0900,3872.5279,7801955500,56023222499.0000,3,0.377869,1,-0.299044,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000058,3865.6320,3875.4633,3844.0185,3869.8017,5565584500,44314287634.0000,3,0.269556,1,-0.070398,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000058,3880.8265,3893.0799,3873.8616,3892.7179,4957672100,43453639918.0000,3,0.240095,1,0.592180,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000058,3889.5508,3918.4481,3874.9358,3914.6149,4679340500,43238102449.0000,3,0.226616,1,0.562512,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000058,3908.8537,3938.2776,3894.8402,3918.7308,5443788900,42199340448.0000,3,0.263637,1,0.105142,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000058,3919.8584,3931.9248,3900.9434,3909.1546,4873225000,42874529317.0000,3,0.236005,1,-0.244370,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000058,3917.7578,4014.5208,3914.5520,4012.7284,7812941000,79754939543.0000,3,0.378373,1,2.649519,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000058,4020.4603,4023.1430,3971.8680,3974.7091,5667050900,55033769857.0000,3,0.274450,1,-0.947468,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000058,3944.4625,3969.4130,3901.0699,3907.4860,5286482400,48318507245.0000,3,0.255803,1,-1.691271,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000058,3918.9810,3923.0683,3884.7501,3889.4727,3758830500,33780587860.0000,3,0.181883,1,-0.460995,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000058,3873.5878,3873.5878,3824.0734,3826.4703,4826791200,41761707839.0000,3,0.233553,1,-1.619819,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000058,3841.2833,3843.9959,3806.8911,3820.4207,3678976700,33914207638.0000,3,0.178014,1,-0.158099,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000058,3825.7837,3853.1382,3820.8753,3836.7266,3755760600,32595751749.0000,3,0.181729,1,0.426809,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000058,3852.5157,3852.6994,3810.2953,3810.2953,3603599900,34078305182.0000,3,0.174367,1,-0.688902,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000058,3817.6323,3826.5364,3772.1232,3791.1144,4051028200,36500015776.0000,3,0.195794,1,-0.503397,0.000000,0.000000,0.000000,0.000000,0
