date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000059,3916.4309,3946.5235,3904.5015,3946.5235,10689556700,176701234812.0000,3,1.023343,1,0.583560,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000059,3967.4594,3969.2108,3908.5656,3950.8320,11600846900,187923913052.0000,3,1.110483,1,0.109172,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000059,3949.0043,3979.4714,3905.9860,3922.8487,10830412300,188726577105.0000,3,1.036734,1,-0.708289,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000059,3855.1341,3876.8003,3836.5442,3869.6856,9084949300,164002524492.0000,3,0.869651,1,-1.355217,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000059,3860.6132,3885.5766,3757.5003,3772.8847,11285381200,191532000615.0000,3,1.080191,1,-2.501518,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000059,3784.3155,3801.9457,3735.5692,3788.4647,11730250300,171809203856.0000,3,1.122772,1,0.412947,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000059,3739.7188,3745.3626,3672.1666,3696.0514,14964656800,176060820483.0000,3,1.432356,1,-2.439334,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000059,3736.4365,3754.2519,3687.3096,3695.2282,13108909000,160214593575.0000,3,1.253925,1,-0.022272,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000059,3685.0356,3749.5263,3685.0356,3746.4481,8966567400,134397618692.0000,3,0.857609,1,1.386109,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000059,3774.8834,3792.4386,3757.3042,3777.8005,9127371900,145206535578.0000,3,0.872852,1,0.836857,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000059,3775.3798,3811.4525,3756.2679,3809.3882,8479021400,135613102259.0000,3,0.810816,1,0.836140,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000059,3805.5024,3812.0250,3758.4501,3772.5345,8300293200,128260168747.0000,3,0.793725,1,-0.967444,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000059,3759.1260,3769.0765,3710.1363,3740.8305,8595741100,147140747661.0000,3,0.822990,1,-0.840390,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000059,3740.6680,3824.0154,3735.4945,3823.8547,11292078400,183917603322.0000,3,1.081116,1,2.219406,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000059,3836.4851,3837.7073,3784.5046,3788.0534,9640554600,154906355901.0000,3,0.921839,1,-0.936262,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000059,3753.3848,3800.8090,3731.1740,3743.8512,9560047500,142770754754.0000,3,0.915252,1,-1.166884,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000059,3747.1530,3775.8900,3735.2553,3767.8115,7387023800,125727956225.0000,3,0.707212,1,0.639991,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000059,3744.1613,3750.9529,3688.1558,3688.6369,8517818800,131001105525.0000,3,0.813745,1,-2.101342,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000059,3708.7664,3721.7961,3685.5981,3698.5789,7213225700,115824661833.0000,3,0.689111,1,0.269530,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000059,3710.3173,3737.7895,3698.8543,3705.6637,6397466800,109031768071.0000,3,0.610424,1,0.191555,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000059,3728.5459,3740.2629,3705.5954,3720.2184,6266667100,107044090692.0000,3,0.598581,1,0.392769,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000059,3732.2793,3760.9915,3697.9017,3717.0157,6475398700,109146857798.0000,3,0.618519,1,-0.086089,0.000000,0.000000,0.000000,0.000000,0
