date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000063,3396.0161,3420.5545,3394.9312,3420.5545,3437504400,45933860487.0000,3,0.223214,1,0.343121,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000063,3424.2993,3425.6795,3373.6940,3397.6701,3898060300,48919404847.0000,3,0.253095,1,-0.669026,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000063,3396.5854,3423.1398,3370.2111,3378.8761,3438229200,44643693262.0000,3,0.223239,1,-0.553144,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000063,3341.9199,3365.7148,3339.8399,3360.2920,3020142700,38161435112.0000,3,0.196094,1,-0.550008,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000063,3356.2153,3384.8929,3321.1945,3326.2983,3652959500,47609548862.0000,3,0.236989,1,-1.011629,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000063,3342.0969,3390.3442,3339.1408,3384.5372,4096306500,51466632725.0000,3,0.265752,1,1.750862,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000063,3348.7919,3373.4345,3330.6466,3348.0408,4808723900,45479146987.0000,3,0.311971,1,-1.078328,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000063,3372.0043,3378.1387,3337.3021,3343.4470,4368260400,45896248191.0000,3,0.283395,1,-0.137209,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000063,3341.5250,3358.0530,3324.0936,3353.7190,2980966700,38039404273.0000,3,0.193393,1,0.307228,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000063,3367.8373,3380.6692,3358.0898,3377.3434,2682281200,38913158407.0000,3,0.174016,1,0.704424,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000063,3372.7499,3404.0600,3362.5608,3397.4656,2588779500,38209766040.0000,3,0.167950,1,0.595800,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000063,3392.2024,3419.5723,3381.2337,3392.6401,2678539600,36771679525.0000,3,0.173773,1,-0.142032,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000063,3389.0538,3400.2092,3369.9610,3377.4957,2665056500,38154663755.0000,3,0.172898,1,-0.446390,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000063,3384.6069,3483.1183,3380.3079,3479.8618,4718837900,75606641723.0000,3,0.306139,1,3.030828,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000063,3498.6584,3501.3305,3442.8960,3443.4529,3292068200,53233249471.0000,3,0.213576,1,-1.046274,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000063,3413.0075,3449.3652,3380.5297,3388.4204,3387161400,48107240525.0000,3,0.219743,1,-1.598178,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000063,3397.9315,3401.3782,3364.3294,3380.1254,2317818500,33513137212.0000,3,0.150369,1,-0.244804,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000063,3364.3497,3367.4182,3319.8269,3321.6005,3062006200,42432543949.0000,3,0.198644,1,-1.731442,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000063,3334.9025,3348.9988,3318.7381,3333.2023,2479819200,33093877553.0000,3,0.160876,1,0.349283,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000063,3336.7461,3364.9870,3336.7461,3349.1166,2508009700,31205441827.0000,3,0.162704,1,0.477448,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000063,3365.0752,3366.8976,3328.6287,3329.2392,2221021300,31868210997.0000,3,0.144086,1,-0.593512,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000063,3337.0063,3348.7063,3296.4575,3310.6315,2464542200,32243271024.0000,3,0.159885,1,-0.558917,0.000000,0.000000,0.000000,0.000000,0
