date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000064,3948.6632,3975.1414,3931.0399,3975.0589,2671351300,70612876057.0000,3,0.589724,1,0.514157,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000064,4001.3590,4003.7351,3940.8711,3985.8379,3073373500,78442751492.0000,3,0.678474,1,0.271166,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000064,3986.7541,4025.7695,3945.4114,3964.5298,3154676500,86539680432.0000,3,0.696422,1,-0.534595,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000064,3896.6836,3916.3501,3870.8421,3908.1645,2705539400,79643378746.0000,3,0.597271,1,-1.421740,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000064,3898.5681,3923.3982,3792.8694,3808.8961,3126729600,85431704547.0000,3,0.690281,1,-2.540026,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000064,3818.8076,3829.2465,3769.7545,3815.6570,2720161600,71855967571.0000,3,0.600523,1,0.177503,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000064,3767.6700,3769.9109,3693.7576,3716.8909,3141916800,72702161101.0000,3,0.693633,1,-2.588443,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000064,3756.1630,3780.2124,3716.7322,3725.5100,2850147400,64587449356.0000,3,0.628828,1,0.231890,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000064,3712.6518,3777.4984,3712.6518,3773.4224,2226529900,58856558985.0000,3,0.491154,1,1.286063,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000064,3799.7114,3816.2043,3784.5762,3804.5358,2331413500,64345578245.0000,3,0.514290,1,0.824541,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000064,3804.5645,3833.1124,3781.2816,3829.4369,2080881900,56251384864.0000,3,0.459025,1,0.654511,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000064,3829.5517,3836.3051,3777.9167,3793.2757,2233119300,54934344053.0000,3,0.492608,1,-0.944295,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000064,3777.8641,3778.7436,3721.2256,3750.6118,2338242900,70617770133.0000,3,0.515797,1,-1.124724,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000064,3748.6095,3812.9046,3736.9084,3812.9046,3183150800,70486676723.0000,3,0.702177,1,1.660870,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000064,3817.0207,3819.9485,3775.6412,3780.0394,2517478500,57648222039.0000,3,0.555334,1,-0.861947,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000064,3750.9006,3789.0581,3728.0980,3740.4007,2100771900,50303242036.0000,3,0.461654,1,-1.048632,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000064,3739.7456,3775.2303,3728.0124,3763.6687,1934833900,54490491078.0000,3,0.425188,1,0.622072,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000064,3740.6065,3743.9761,3685.5527,3688.0134,2251532900,52417041850.0000,3,0.494782,1,-2.010148,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000064,3707.0220,3714.8784,3677.8798,3687.9241,1755618900,46524334059.0000,3,0.385803,1,-0.002421,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000064,3699.7205,3729.3171,3690.3971,3699.7126,1728735900,48228372258.0000,3,0.379895,1,0.319651,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000064,3720.0459,3735.5992,3698.7083,3716.1892,1781027200,45827216271.0000,3,0.391241,1,0.445348,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000064,3729.9281,3765.0869,3702.2957,3721.9520,1791808500,46838118937.0000,3,0.393013,1,0.155073,0.000000,0.000000,0.000000,0.000000,0
