date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000070,1632.7972,1641.3331,1629.7230,1641.2096,727171400,3246835851.0000,3,0.192149,1,0.367889,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000070,1642.5633,1642.8213,1621.6303,1633.9699,872414200,3551475853.0000,3,0.230529,1,-0.441120,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000070,1635.2238,1656.5432,1628.7611,1635.9035,988221700,4007633549.0000,3,0.261130,1,0.118338,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000070,1616.4252,1627.8449,1606.1852,1624.7542,867922700,3815604047.0000,3,0.229342,1,-0.681538,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000070,1621.8626,1637.8576,1607.9801,1611.0919,850761000,3733237584.0000,3,0.224807,1,-0.840884,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000070,1611.3192,1657.8475,1608.2696,1657.8475,1747474800,6183855749.0000,3,0.461756,1,2.902106,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000070,1642.5703,1680.7290,1639.1515,1657.1749,2449712300,7598447867.0000,3,0.647317,1,-0.040571,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000070,1666.9899,1670.8029,1611.8998,1617.2667,1840322300,6329058853.0000,3,0.486291,1,-2.408207,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000070,1609.8462,1612.3397,1592.5038,1605.1787,1011547000,4055385851.0000,3,0.267293,1,-0.747434,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000070,1605.1043,1610.0159,1594.6832,1605.1824,797047900,3036407345.0000,3,0.210614,1,0.000231,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000070,1604.0380,1610.1731,1592.2043,1606.8517,642090400,2449996183.0000,3,0.169667,1,0.103994,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000070,1606.3114,1622.4549,1599.4813,1613.1691,806926900,3278845309.0000,3,0.213224,1,0.393154,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000070,1615.4624,1626.1020,1606.5729,1615.3085,797617600,3324119846.0000,3,0.210764,1,0.132621,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000070,1615.8302,1658.7501,1611.0766,1655.1902,1152150900,6025535732.0000,3,0.304447,1,2.468983,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000070,1659.6524,1664.8616,1651.3102,1658.2587,870718100,4596009020.0000,3,0.230080,1,0.185387,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000070,1644.8920,1644.8920,1614.8607,1617.8236,812934100,3786134801.0000,3,0.214811,1,-2.438407,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000070,1623.9031,1627.7326,1605.9070,1610.2259,600758500,2698312990.0000,3,0.158746,1,-0.469625,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000070,1602.7655,1602.7655,1569.6147,1570.5500,823166500,3269082851.0000,3,0.216269,1,-2.463996,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000070,1579.3239,1586.2409,1569.1055,1573.2894,539363600,2478762519.0000,3,0.141706,1,0.174423,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000070,1580.3551,1610.6293,1580.3551,1594.8823,664296700,3531699799.0000,3,0.174529,1,1.372468,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000070,1597.5993,1598.2081,1586.1697,1587.6948,526359200,2788345790.0000,3,0.138289,1,-0.450660,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000070,1586.1444,1587.0147,1558.0517,1565.4279,588730900,3068247327.0000,3,0.154676,1,-1.402467,0.000000,0.000000,0.000000,0.000000,0
