date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000073,3012.7549,3076.9574,3006.3565,3076.9574,1086685800,16422778919.0000,3,0.954991,1,1.930086,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000073,3093.8007,3094.4044,3051.9960,3086.6389,955072700,15531357647.0000,3,0.839328,1,0.314645,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000073,3079.6359,3087.6145,3039.0088,3055.0780,863923800,14888719601.0000,3,0.759225,1,-1.022501,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000073,3000.6404,3032.7227,2980.9214,3025.2872,771019600,12781342074.0000,3,0.677580,1,-0.975124,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000073,3016.8575,3052.4561,2962.5698,2976.3233,879124200,15802323340.0000,3,0.771840,1,-1.618488,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000073,2990.5844,3011.5431,2968.1723,2997.4374,894167500,13924099947.0000,3,0.785048,1,0.709402,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000073,2967.1090,2971.8791,2896.4865,2909.6208,1048835000,14878633363.0000,3,0.920840,1,-2.929723,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000073,2936.8848,2949.8761,2891.9273,2901.6797,982378900,14492548311.0000,3,0.862494,1,-0.272926,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000073,2887.6851,2934.5366,2887.0881,2932.5191,672435200,11764892433.0000,3,0.590375,1,1.062812,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000073,2941.7215,2964.7580,2934.8457,2958.0934,668816200,12704262572.0000,3,0.587197,1,0.872093,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000073,2961.6512,3011.3187,2949.5314,3009.4398,646647500,12001118021.0000,3,0.567734,1,1.735794,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000073,3010.1981,3024.6072,2994.9467,3012.8334,636608800,11712374459.0000,3,0.558920,1,0.112765,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000073,3015.6585,3071.8527,3008.5966,3056.2973,890722300,14353230736.0000,3,0.782023,1,1.442625,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000073,3050.7902,3094.1925,3044.1469,3093.0566,867172000,15620911867.0000,3,0.761347,1,1.202740,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000073,3102.0916,3109.7324,3046.7367,3054.0052,778040500,14274953684.0000,3,0.683092,1,-1.262550,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000073,3035.5854,3046.0564,2989.2231,2998.9596,710271600,11429147450.0000,3,0.623594,1,-1.802407,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000073,3011.0984,3021.7999,2994.4561,3012.9985,512938000,9976412728.0000,3,0.450342,1,0.468126,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000073,2998.5541,2998.8029,2933.6004,2937.5779,654669300,10284312190.0000,3,0.574777,1,-2.503174,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000073,2955.6257,2958.5081,2915.3285,2932.6057,544792600,10088791439.0000,3,0.478309,1,-0.169262,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000073,2944.8182,2966.7592,2938.2893,2944.7254,499211800,10768282458.0000,3,0.438262,1,0.413274,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000073,2957.5874,2972.8377,2931.7335,2957.1553,482659600,9577833154.0000,3,0.423731,1,0.422107,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000073,2965.7559,2986.5400,2932.1441,2950.1844,503181300,9731388283.0000,3,0.441747,1,-0.235730,0.000000,0.000000,0.000000,0.000000,0
