date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000079,2014.9138,2027.4091,2006.6793,2027.4091,592735800,3703759578.0000,3,0.361836,1,0.596066,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000079,2027.6286,2028.8424,2001.2103,2015.2081,650049900,3745237459.0000,3,0.396823,1,-0.601803,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000079,2020.2800,2030.3307,2004.7759,2008.9029,772601600,4352293151.0000,3,0.471635,1,-0.312881,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000079,1986.8103,2001.8455,1980.4600,1999.3905,568463100,3191648880.0000,3,0.347019,1,-0.473512,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000079,1999.6783,2009.5485,1974.9224,1978.8587,625862800,3648813168.0000,3,0.382058,1,-1.026903,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000079,1981.1310,2014.2704,1978.1397,2013.2451,719729100,3654552199.0000,3,0.439359,1,1.737688,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000079,2001.2627,2022.4830,1993.3773,1996.6998,1000545800,4628788107.0000,3,0.610784,1,-0.821822,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000079,2003.2640,2006.9883,1956.4223,1960.5412,777065600,3783467299.0000,3,0.474360,1,-1.810918,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000079,1953.8333,1982.9116,1952.5949,1980.7875,610725300,3256087121.0000,3,0.372818,1,1.032689,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000079,1986.8127,1996.4606,1979.8142,1991.2598,645237400,3728329337.0000,3,0.393885,1,0.528694,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000079,1992.2035,1992.2035,1974.8235,1984.7119,434769900,2580369174.0000,3,0.265405,1,-0.328832,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000079,1981.9567,1993.5323,1972.9861,1984.8364,527169400,2748273380.0000,3,0.321811,1,0.006273,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000079,1979.6736,1986.2007,1966.0991,1974.2964,478503400,2447200382.0000,3,0.292103,1,-0.531026,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000079,1977.6417,2000.1004,1974.7217,1997.6035,526305600,2921532342.0000,3,0.321283,1,1.180527,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000079,2001.7662,2001.7949,1982.6974,1986.1403,431702500,2599725267.0000,3,0.263533,1,-0.573848,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000079,1975.9577,1979.3551,1955.6036,1959.7697,374966800,2358200739.0000,3,0.228899,1,-1.327731,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000079,1966.2403,1967.6996,1955.7353,1962.7127,320528100,2118618193.0000,3,0.195667,1,0.150171,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000079,1955.5974,1955.5974,1925.1001,1929.9252,487092800,3317460779.0000,3,0.297346,1,-1.670520,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000079,1935.0643,1937.7814,1912.7891,1919.2642,397215800,3096308154.0000,3,0.242481,1,-0.552405,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000079,1921.4515,1927.8550,1912.4898,1915.3284,325256200,2486677825.0000,3,0.198553,1,-0.205068,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000079,1919.6538,1932.3601,1914.4183,1919.0879,402693900,2616924153.0000,3,0.245825,1,0.196285,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000079,1921.6219,1927.8101,1903.2165,1913.6528,430565000,2430636966.0000,3,0.259127,1,-0.283213,0.000000,0.000000,0.000000,0.000000,0
