date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000093,11569.1184,11659.6913,11533.3808,11659.5517,7909559600,133466181613.0000,3,0.356747,1,0.566689,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000093,11688.9077,11694.6862,11548.8611,11651.3280,8680057000,141363817728.0000,3,0.391483,1,-0.070532,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000093,11647.6539,11746.3997,11552.6137,11601.7899,8197014900,147504575160.0000,3,0.369697,1,-0.425171,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000093,11405.2862,11501.6126,11378.3934,11481.8550,7016593400,129622445865.0000,3,0.316458,1,-1.033762,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000093,11469.2498,11532.8796,11226.4830,11252.9543,8363088900,147267825658.0000,3,0.376977,1,-1.993586,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000093,11279.4952,11362.8884,11201.8915,11332.6553,8552790200,138582667448.0000,3,0.385528,1,0.708267,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000093,11195.6951,11226.5147,11029.6426,11090.6300,9930459900,131874586141.0000,3,0.447629,1,-2.135645,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000093,11188.6318,11217.4820,11019.0657,11041.7533,8925427800,123054469055.0000,3,0.402325,1,-0.440703,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000093,11008.4386,11152.9125,10990.6379,11146.2045,6439846500,106457139229.0000,3,0.290274,1,0.945966,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000093,11197.4929,11237.1454,11146.4740,11204.2016,6072277500,111276867597.0000,3,0.273706,1,0.520330,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000093,11199.7738,11271.1669,11150.2636,11261.3163,5728498700,101729532704.0000,3,0.258210,1,0.509761,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000093,11255.7524,11311.0623,11200.5358,11256.7597,6141279600,101229524978.0000,3,0.276816,1,-0.040462,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000093,11226.9124,11282.2566,11129.2407,11205.5874,6030319400,116208759065.0000,3,0.271815,1,-0.454592,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000093,11215.3154,11417.6908,11210.5774,11417.6908,10119981100,165828041435.0000,3,0.456155,1,1.892836,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000093,11446.8031,11455.7828,11312.1679,11331.1134,7807237500,129222884030.0000,3,0.351909,1,-0.758274,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000093,11231.4965,11307.8657,11118.8980,11148.3557,8095968300,119850059866.0000,3,0.364637,1,-1.612884,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000093,11173.3232,11220.0685,11135.6619,11182.8393,5763704300,100899137330.0000,3,0.259593,1,0.309316,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000093,11118.3587,11118.3587,10943.7102,10950.0447,6745876200,106415322324.0000,3,0.303825,1,-2.081713,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000093,11006.4299,11026.0452,10910.5284,10954.4577,5900903500,94603238109.0000,3,0.265769,1,0.040301,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000093,10989.0186,11043.1246,10924.1058,10947.8742,5257530500,87452932893.0000,3,0.236791,1,-0.060099,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000093,11004.5311,11032.7909,10956.8776,10989.0610,5063560200,86687628939.0000,3,0.228039,1,0.376208,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000093,11013.3088,11075.0198,10910.9034,10971.8505,5519379800,89941658268.0000,3,0.248489,1,-0.156615,0.000000,0.000000,0.000000,0.000000,0
