date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000096,6019.7912,6052.4780,5982.9019,6052.4640,3620843400,74115411087.0000,3,0.889485,1,0.398399,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000096,6097.1678,6101.2442,6012.5016,6087.1126,3971356700,78987876355.0000,3,0.975591,1,0.572471,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000096,6084.7367,6157.6048,6015.9186,6044.6923,4005254700,88457981193.0000,3,0.983918,1,-0.696887,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000096,5933.9462,5952.9836,5875.6654,5940.5164,3456200600,76541683552.0000,3,0.849039,1,-1.723428,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000096,5923.9592,5961.3538,5762.1685,5788.7054,4022749100,80211522627.0000,3,0.988260,1,-2.555519,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000096,5807.7917,5823.7367,5718.5593,5789.5465,3624270000,68794668889.0000,3,0.890366,1,0.014530,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000096,5726.8858,5732.6630,5607.3686,5637.1522,5104523200,71236352534.0000,3,1.254017,1,-2.632232,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000096,5701.4252,5737.4237,5632.8713,5645.2720,4281366800,62953529110.0000,3,1.050606,1,0.144041,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000096,5621.8601,5729.6539,5621.8601,5724.8475,3109803800,57719066937.0000,3,0.762968,1,1.409595,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000096,5768.2551,5782.3202,5729.5737,5761.3006,3079161100,62193460112.0000,3,0.755450,1,0.636752,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000096,5763.6022,5810.9167,5727.5656,5807.0528,3272204800,57430346714.0000,3,0.802805,1,0.794130,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000096,5807.0196,5821.7235,5718.7120,5744.9926,3315874200,54052514394.0000,3,0.813519,1,-1.068704,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000096,5718.2045,5718.2045,5611.2636,5657.9379,3126405900,65503776156.0000,3,0.769462,1,-1.515314,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000096,5650.9159,5742.0848,5618.7001,5741.1603,3106429700,60839765311.0000,3,0.764545,1,1.470896,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000096,5742.9422,5747.6943,5670.8374,5678.5379,2706671600,49837396944.0000,3,0.664019,1,-1.090762,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000096,5639.4077,5703.6382,5610.2973,5629.5590,2770596300,50463271898.0000,3,0.681853,1,-0.862527,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000096,5622.5322,5693.1078,5603.2593,5678.0732,2237361600,53104372503.0000,3,0.550620,1,0.861776,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000096,5648.8712,5659.9846,5563.6077,5570.7918,2736586300,51540758232.0000,3,0.673480,1,-1.889398,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000096,5593.1290,5619.0742,5565.6585,5582.0305,2094629600,45629766868.0000,3,0.515493,1,0.201743,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000096,5603.0824,5637.5727,5576.8883,5588.5052,2117070100,46551207353.0000,3,0.519363,1,0.115992,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000096,5617.6328,5640.5512,5572.5217,5612.3175,1914726700,41909840463.0000,3,0.471207,1,0.426094,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000096,5634.9785,5697.1520,5597.7344,5627.4983,1955802700,45559726850.0000,3,0.481316,1,0.270491,0.000000,0.000000,0.000000,0.000000,0
