date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000105,4340.8994,4356.6960,4318.0961,4356.6960,1771882600,17004446667.0000,3,1.634937,1,0.297063,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000105,4354.9201,4355.0152,4292.3521,4318.9912,1833036800,16909339200.0000,3,1.691365,1,-0.865445,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000105,4314.7374,4349.2244,4281.5640,4297.3470,1820366900,16260368725.0000,3,1.679674,1,-0.501140,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000105,4229.6197,4275.8845,4222.3313,4268.4412,1364695000,12717711005.0000,3,1.259220,1,-0.672643,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000105,4262.2948,4295.5042,4145.9087,4163.0265,1737662000,17057348580.0000,3,1.603361,1,-2.469630,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000105,4158.1209,4165.4534,4075.5864,4141.2482,2065183500,15736112222.0000,3,1.905569,1,-0.523136,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000105,4090.6315,4105.9583,4037.2059,4049.0170,2417470000,16482115779.0000,3,2.230628,1,-2.227135,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000105,4108.1018,4116.7594,3993.5322,4006.6712,2326649700,14893585146.0000,3,2.146827,1,-1.045829,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000105,3988.3329,4031.0944,3958.7926,4025.3287,1585688700,10916122147.0000,3,1.463134,1,0.465661,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000105,4042.9669,4055.8224,4004.9001,4032.1812,1549011000,11478856315.0000,3,1.429144,1,0.170235,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000105,4034.9388,4108.2008,4016.9665,4107.1185,1519605800,13351612046.0000,3,1.402015,1,1.858480,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000105,4095.6401,4099.2428,4067.3551,4090.7389,1464631800,11840515900.0000,3,1.351295,1,-0.398810,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000105,4082.5316,4111.2785,4050.9433,4080.8724,1288591200,11459101833.0000,3,1.188877,1,-0.241191,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000105,4081.3269,4157.1182,4081.3269,4154.9765,1326440600,11616142932.0000,3,1.223797,1,1.815889,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000105,4164.0314,4171.5915,4140.5049,4149.6146,1184741300,9964436538.0000,3,1.093063,1,-0.129048,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000105,4106.1196,4129.1782,4058.1229,4071.5769,1174238700,10449581474.0000,3,1.083373,1,-1.880601,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000105,4083.4716,4106.9694,4049.8954,4098.3700,1080892700,10777644117.0000,3,0.997250,1,0.658052,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000105,4060.2790,4066.8467,4009.2133,4019.4723,1381591800,12417204844.0000,3,1.274681,1,-1.925099,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000105,4024.5882,4029.4867,3973.6966,3983.6283,936590700,9694727549.0000,3,0.864115,1,-0.891759,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000105,3996.0243,4002.8019,3937.7750,3942.8467,936080700,9803394637.0000,3,0.863644,1,-1.023730,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000105,3969.3488,3993.6514,3943.7651,3960.5998,861113300,8054408408.0000,3,0.803593,1,0.450261,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000105,3977.3877,3979.5634,3921.6951,3946.9618,846631000,7336957043.0000,3,0.790078,1,-0.344342,0.000000,0.000000,0.000000,0.000000,0
