date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000117,6537.3340,6593.6458,6525.2414,6593.6381,1334692400,24838646145.0000,3,1.214343,1,1.000146,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000117,6618.1927,6622.0698,6525.6199,6581.5299,1497932500,27608311607.0000,3,1.362863,1,-0.183635,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000117,6581.3278,6603.0151,6495.5178,6518.2195,1351913500,25931541389.0000,3,1.230011,1,-0.961940,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000117,6412.8307,6448.2029,6367.9954,6438.3339,1219648900,23066910529.0000,3,1.109673,1,-1.225574,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000117,6443.2621,6457.1013,6252.4039,6274.5593,1331043800,25475968823.0000,3,1.211023,1,-2.543742,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000117,6278.7868,6293.2123,6178.5456,6255.7026,1439704000,21568167969.0000,3,1.309885,1,-0.300526,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000117,6194.6380,6197.7735,6036.2920,6067.5419,1970034800,24252188914.0000,3,1.792396,1,-3.007827,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000117,6135.4625,6176.7081,5998.0548,6014.6227,1620430900,21235547454.0000,3,1.471929,1,-0.872169,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000117,6012.8043,6122.3136,6012.8043,6117.7946,1056785000,17305148336.0000,3,0.959938,1,1.715351,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000117,6162.4497,6162.4497,6080.3175,6120.7414,1133232000,18890997621.0000,3,1.029379,1,0.048168,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000117,6131.6379,6207.3372,6101.2976,6207.3118,1001927400,17693838581.0000,3,0.910107,1,1.414378,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000117,6201.4385,6216.0576,6151.3080,6177.1476,1035210900,16301855723.0000,3,0.940341,1,-0.485946,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000117,6174.2286,6216.5593,6113.1163,6184.1107,1051466000,17349295208.0000,3,0.955106,1,0.112724,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000117,6179.6422,6267.2369,6166.4732,6258.4107,1163735300,18635367167.0000,3,1.057087,1,1.201466,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000117,6274.1717,6280.0962,6204.0373,6218.7352,1048219000,17521529128.0000,3,0.952157,1,-0.633955,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000117,6177.9516,6228.5756,6123.3389,6138.4902,919808800,16743488379.0000,3,0.835514,1,-1.290375,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000117,6165.0095,6195.6474,6128.9167,6187.3978,768016500,15536966317.0000,3,0.697623,1,0.796737,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000117,6158.4534,6158.4534,6040.2487,6048.5671,1015516800,16652095260.0000,3,0.904520,1,-2.243766,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000117,6071.0894,6082.3271,6004.3528,6029.0795,778891400,14984355829.0000,3,0.693739,1,-0.322185,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000117,6052.2842,6057.8681,5973.2991,5979.8057,766656900,13950098695.0000,3,0.682811,1,-0.817269,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000117,6009.2803,6059.8518,5970.6596,6022.1043,718948700,14273630147.0000,3,0.640305,1,0.707357,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000117,6044.8000,6091.6021,6011.9320,6049.8203,777618000,15227726674.0000,3,0.692556,1,0.460238,0.000000,0.000000,0.000000,0.000000,0
