date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000118,7346.7299,7376.4474,7323.5591,7376.2069,2427983600,15712961945.0000,3,0.761161,1,0.302839,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000118,7391.2758,7394.8678,7280.8879,7339.9697,2392327900,14903419820.0000,3,0.749983,1,-0.491271,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000118,7347.0414,7393.3300,7293.7938,7316.8996,2210746800,14045253633.0000,3,0.693059,1,-0.314308,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000118,7225.5567,7277.0303,7200.0295,7265.7106,1937372200,12271633575.0000,3,0.607357,1,-0.699600,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000118,7256.1681,7315.9231,7150.6450,7166.6574,2438900100,15598048618.0000,3,0.764584,1,-1.363297,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000118,7178.8332,7254.0011,7153.5146,7244.8094,2367568000,13716631831.0000,3,0.742221,1,1.090494,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000118,7192.6054,7268.1323,7172.7136,7197.9101,4220776800,19995052689.0000,3,1.323193,1,-0.647350,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000118,7252.3967,7257.8968,7069.5925,7089.8169,3561708200,17822158448.0000,3,1.116579,1,-1.501730,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000118,7066.5637,7126.9325,7044.9291,7122.2391,2447639400,14161077005.0000,3,0.767323,1,0.457307,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000118,7133.4896,7147.5576,7092.2466,7133.4791,2243023800,13249403964.0000,3,0.702839,1,0.157816,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000118,7125.4958,7137.9786,7079.0728,7137.1523,1929056900,11146414513.0000,3,0.604387,1,0.051492,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000118,7128.4346,7195.0249,7101.8756,7153.3019,2321149200,11781642849.0000,3,0.727232,1,0.226275,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000118,7147.4788,7187.7706,7095.7813,7153.6667,2221328300,12721208054.0000,3,0.695957,1,0.005100,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000118,7149.5721,7297.4221,7141.8024,7284.9829,2655932800,16385548739.0000,3,0.832122,1,1.835649,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000118,7294.4946,7305.2576,7237.5878,7255.3189,2239336400,13941865075.0000,3,0.701599,1,-0.407194,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000118,7211.7736,7240.3102,7122.3108,7136.6701,1879412400,11212396524.0000,3,0.588833,1,-1.635335,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000118,7162.1451,7168.2245,7109.9301,7130.9080,1402919600,8890970545.0000,3,0.439544,1,-0.080739,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000118,7102.5560,7102.5560,6973.2926,6976.5022,1923904800,11086974299.0000,3,0.602755,1,-2.165303,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000118,6995.8496,7010.0706,6927.6888,6952.5698,1352814300,8644497520.0000,3,0.423830,1,-0.343043,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000118,6968.5262,7002.8145,6961.2384,6969.5095,1474200700,9421071574.0000,3,0.461859,1,0.243647,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000118,6991.8967,7025.0648,6964.0259,6973.2896,1459230600,9101661352.0000,3,0.457169,1,0.054238,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000118,6981.9940,6982.7658,6883.5430,6921.2294,1555502400,9650319051.0000,3,0.484817,1,-0.746566,0.000000,0.000000,0.000000,0.000000,0
