date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000147,10956.5065,10972.9220,10815.1813,10964.1757,854274400,37282678542.0000,3,1.198558,1,-0.189710,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000147,11018.0756,11061.9135,10899.4191,11041.7168,848266200,36788987601.0000,3,1.190129,1,0.707222,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000147,11035.2464,11258.7832,10876.3003,10943.8318,1006489700,45172811731.0000,3,1.412118,1,-0.886502,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000147,10680.6246,10680.8229,10525.4374,10635.0057,860964900,39363477052.0000,3,1.207945,1,-2.821919,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000147,10612.2085,10666.4901,10248.8389,10286.8514,892496600,38983919531.0000,3,1.252184,1,-3.273664,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000147,10318.5570,10370.5379,10117.2933,10273.0162,766896600,33567940721.0000,3,1.075966,1,-0.134494,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000147,10129.1216,10136.9588,9823.6247,9895.6766,831341400,31104244355.0000,3,1.166383,1,-3.673114,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000147,10023.5066,10143.9007,9915.8676,9936.5523,693061700,27831698625.0000,3,0.972375,1,0.413066,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000147,9900.5500,10216.1425,9900.5500,10208.4260,709486100,30083233833.0000,3,0.994321,1,2.736097,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000147,10305.5658,10311.4340,10164.8320,10216.1962,738006700,32022848689.0000,3,1.034291,1,0.076116,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000147,10225.7723,10322.1172,10129.2714,10308.7460,690146300,27678523074.0000,3,0.967216,1,0.905913,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000147,10327.1934,10391.3395,10154.2387,10208.0483,659865600,26133919643.0000,3,0.924779,1,-0.976818,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000147,10147.2800,10147.4619,9916.7190,10021.6244,681393500,35727070859.0000,3,0.954950,1,-1.826244,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000147,10007.9893,10145.7199,9933.5779,10145.4992,643891400,30259589714.0000,3,0.902392,1,1.236075,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000147,10135.1930,10139.3815,10031.5487,10067.4829,571625200,22373279766.0000,3,0.801113,1,-0.768974,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000147,9998.6338,10139.0751,9956.3123,9989.0696,581673900,23296054468.0000,3,0.815196,1,-0.778877,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000147,9990.2492,10176.8385,9932.2495,10155.0989,681764500,30262509289.0000,3,0.955470,1,1.662110,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000147,10103.2964,10130.2265,9962.3685,9977.8009,677159300,27633639886.0000,3,0.949016,1,-1.745901,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000147,10015.3905,10101.2380,9977.0604,10002.1519,577221500,23518317134.0000,3,0.808956,1,0.244052,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000147,10057.5812,10081.6864,9935.8129,9952.4373,589251200,24069580420.0000,3,0.825815,1,-0.497039,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000147,10019.8880,10036.3042,9876.6224,10004.3263,532548600,21543292158.0000,3,0.746349,1,0.521370,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000147,10040.0704,10196.8844,10008.0243,10065.5766,541890000,24497405448.0000,3,0.759440,1,0.612238,0.000000,0.000000,0.000000,0.000000,0
