date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000300,4803.3922,4842.1350,4791.7829,4842.1223,13839540200,262018070577.3000,3,0.498565,1,0.537912,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000300,4859.0754,4863.5509,4797.5204,4843.8870,15798952400,280778613751.4000,3,0.569131,1,0.036445,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000300,4841.5020,4877.0117,4800.0577,4817.0952,14567120100,279411988792.3000,3,0.524755,1,-0.553105,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000300,4737.2368,4778.2030,4726.5559,4770.2190,12003279600,238463337878.7000,3,0.432377,1,-0.973122,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000300,4759.5213,4789.3031,4655.5600,4669.3677,14860779100,282316394067.8000,3,0.534997,1,-2.114186,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000300,4683.8256,4707.8966,4639.0531,4694.3894,13919922700,249198138076.0000,3,0.501125,1,0.535869,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000300,4634.2470,4645.1972,4558.0304,4584.5887,16227710700,244905191934.1000,3,0.584207,1,-2.338977,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000300,4632.0994,4647.7505,4572.2058,4581.9775,15065287800,226146354804.6000,3,0.542331,1,-0.056956,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000300,4572.2572,4630.8842,4563.1061,4627.2826,11530242400,198240927301.5000,3,0.415074,1,0.988767,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000300,4652.0539,4666.9862,4625.9877,4651.0507,10723517900,211653411810.9000,3,0.386031,1,0.513651,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000300,4649.4472,4691.4997,4630.5374,4688.4826,10191592500,194573684119.3000,3,0.366882,1,0.804805,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000300,4683.0060,4690.6815,4638.4586,4657.3584,10875364100,196120184850.9000,3,0.391497,1,-0.663844,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000300,4642.0542,4664.9491,4601.6390,4632.7142,10598363100,214146647269.6000,3,0.381525,1,-0.529145,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000300,4636.6422,4737.8039,4631.7045,4737.0887,16042647500,281885944229.0000,3,0.577510,1,2.252988,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000300,4750.7481,4752.9799,4688.7199,4691.4281,12453582700,224137912695.2000,3,0.448309,1,-0.963896,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000300,4654.2179,4706.2096,4622.1111,4635.7608,11967294700,202909215534.6000,3,0.430396,1,-1.186575,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000300,4639.6592,4665.9600,4623.5528,4652.3273,9582652800,190393472276.3000,3,0.344634,1,0.357363,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000300,4623.9535,4631.9482,4562.2086,4563.0657,11259368300,193515873700.2000,3,0.404930,1,-1.918644,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000300,4582.4820,4599.5387,4554.7199,4570.0216,9301515500,167457376964.0000,3,0.334518,1,0.152439,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000300,4582.6471,4613.6324,4571.1507,4581.9085,8504838900,159314675407.1000,3,0.305866,1,0.260106,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000300,4608.2926,4616.6767,4586.3537,4591.7993,8599385800,159937888502.2000,3,0.309245,1,0.215866,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000300,4607.5753,4634.7239,4563.4108,4587.3953,8908120000,165532220885.2000,3,0.320265,1,-0.095910,0.000000,0.000000,0.000000,0.000000,0
