date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000802,6796.4005,6845.0265,6779.1504,6845.0265,5603345300,58821163043.0000,3,1.145153,1,0.685239,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000802,6864.8683,6868.2977,6763.6299,6825.9369,5784032800,58141052257.0000,3,1.182080,1,-0.278883,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000802,6827.1345,6855.0324,6754.2676,6779.8650,5795364800,56964603931.0000,3,1.184396,1,-0.674953,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000802,6668.6751,6730.7572,6651.3869,6717.7375,4816637700,49493037181.0000,3,0.984368,1,-0.916353,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000802,6714.2774,6765.2221,6553.0265,6576.1069,5576338700,59229692476.0000,3,1.139371,1,-2.108308,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000802,6590.3706,6623.9373,6518.2823,6601.6896,6537102400,54337372978.0000,3,1.333576,1,0.389025,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000802,6533.7302,6553.5513,6420.3279,6463.2900,9712033900,66560635018.0000,3,1.981265,1,-2.096427,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000802,6523.0265,6532.1109,6356.9363,6374.1395,8194499100,57064119526.0000,3,1.670881,1,-1.379336,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000802,6346.7003,6444.2455,6346.7003,6439.2161,5365311100,44137078955.0000,3,1.093776,1,1.020947,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000802,6475.8207,6485.9531,6416.7053,6460.3538,5311946200,46711692083.0000,3,1.082558,1,0.328265,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000802,6463.7450,6510.6457,6439.1288,6508.7154,4698337900,45092345242.0000,3,0.957430,1,0.748591,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000802,6498.9415,6512.7959,6459.1998,6487.7999,4653189500,41616012078.0000,3,0.948230,1,-0.321346,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000802,6486.3611,6544.6388,6425.7769,6496.6597,4938954600,46190348546.0000,3,1.006463,1,0.136561,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000802,6492.6844,6615.0844,6492.6844,6608.9535,5477527400,51434570468.0000,3,1.116145,1,1.728485,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000802,6632.5964,6646.9253,6571.6977,6586.3724,4932856700,48236868782.0000,3,1.005108,1,-0.341674,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000802,6535.9342,6600.5317,6480.0255,6496.9125,4880730700,45776521398.0000,3,0.994487,1,-1.358258,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000802,6519.7543,6548.7834,6495.3852,6530.6005,3609620400,38687204577.0000,3,0.735486,1,0.518523,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000802,6495.2690,6495.2690,6396.0213,6399.8041,4219009800,40724945216.0000,3,0.855804,1,-2.002823,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000802,6425.9602,6443.4236,6355.9240,6384.8731,3189188400,34042675131.0000,3,0.646906,1,-0.233304,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000802,6404.7414,6408.8080,6319.6771,6327.7641,2949469600,33999277211.0000,3,0.598281,1,-0.894442,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000802,6352.4606,6419.7994,6321.0446,6368.6892,3103542700,34952607722.0000,3,0.629531,1,0.646755,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000802,6385.0218,6401.4270,6295.4750,6335.2926,3342626300,34998030118.0000,3,0.675758,1,-0.524387,0.000000,0.000000,0.000000,0.000000,0
