date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000828,3482.8463,3522.2771,3469.3679,3522.2771,5439728800,117751001517.4000,3,1.259194,1,0.652222,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000828,3530.8046,3547.0466,3488.1690,3524.3254,6735488700,130232448747.7000,3,1.558797,1,0.058153,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000828,3515.8350,3543.9876,3485.6793,3497.6678,6051770300,127292878032.9000,3,1.400540,1,-0.756389,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000828,3426.1707,3480.0471,3423.5951,3472.9084,4959669600,109978552586.5000,3,1.147799,1,-0.707883,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000828,3464.7741,3486.8643,3373.0121,3381.0148,6147570600,128936767016.4000,3,1.421511,1,-2.646013,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000828,3388.6152,3414.8294,3338.4845,3394.5243,5473098900,117608568642.0000,3,1.265550,1,0.399569,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000828,3341.9534,3353.6591,3283.8690,3302.8942,5482682200,110140531974.9000,3,1.267766,1,-2.699350,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000828,3344.2136,3349.1929,3261.8826,3268.5014,5362752000,102312252060.7000,3,1.240035,1,-1.041293,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000828,3257.1297,3320.9601,3253.5756,3317.6107,4585300600,93217225755.5000,3,1.060264,1,1.502502,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000828,3335.8716,3354.4922,3311.8300,3338.7530,4130818200,92760600620.3000,3,0.955173,1,0.637275,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000828,3333.5088,3358.3576,3316.2904,3354.7630,3726451900,79923146596.1000,3,0.861671,1,0.479520,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000828,3347.6925,3373.4228,3321.7441,3337.9403,3984864600,83085637766.3000,3,0.921424,1,-0.501457,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000828,3324.3429,3368.0672,3300.0758,3334.9539,3969037500,89762289696.4000,3,0.917764,1,-0.089468,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000828,3331.7445,3448.3781,3327.6288,3444.7015,6474809600,128740058659.0000,3,1.497162,1,3.290828,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000828,3478.4189,3483.5736,3418.5915,3419.1488,5551090700,111026663602.8000,3,1.283569,1,-0.741797,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000828,3386.1323,3453.6238,3374.0372,3384.1427,5127899800,94079448942.1000,3,1.184648,1,-1.023825,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000828,3389.8945,3404.8170,3359.5459,3381.2701,4032276700,80111753147.1000,3,0.931537,1,-0.084884,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000828,3355.5652,3369.6019,3311.4556,3311.8715,4362120700,81666565786.0000,3,1.007733,1,-2.052442,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000828,3332.8863,3353.9397,3309.1530,3331.4361,3926762200,75079389816.0000,3,0.907157,1,0.590742,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000828,3332.9191,3365.4563,3332.9191,3341.2790,3363439200,70244046314.3000,3,0.777018,1,0.295455,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000828,3365.4673,3381.4992,3355.0254,3356.6169,3739909700,71920718219.5000,3,0.863914,1,0.459043,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000828,3364.6920,3372.8603,3314.7587,3335.5778,3464262400,68905996781.9000,3,0.800240,1,-0.626795,0.000000,0.000000,0.000000,0.000000,0
