date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000832,372.3760,373.5385,372.1980,373.5267,172323925,29153003915.0000,3,0.005415,1,0.331298,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000832,373.9012,374.9873,372.8899,374.7323,179335382,29917233906.0000,3,0.005636,1,0.322761,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000832,374.8111,375.4156,373.4003,373.6073,160775596,29370495444.0000,3,0.005052,1,-0.300214,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000832,372.2560,372.9872,371.3192,372.6025,143584039,25980149080.0000,3,0.004512,1,-0.268945,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000832,372.8447,373.2033,367.7604,368.0055,148467438,24908282264.0000,3,0.004664,1,-1.233754,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000832,368.4193,368.6801,366.2647,367.4464,1539552000,24154665693.0000,3,0.004836,1,-0.151927,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000832,366.7108,366.7108,362.8176,363.3254,165482209,26166988362.0000,3,0.005198,1,-1.121524,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000832,364.2600,365.7015,361.3011,361.5195,126803078,22794602661.0000,3,0.003983,1,-0.497048,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000832,361.4829,363.0073,361.0569,362.9469,122042426,19686931066.0000,3,0.003834,1,0.394833,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000832,363.7399,364.8476,363.1211,363.7368,115928541,18022189657.0000,3,0.003642,1,0.217635,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000832,363.9454,364.3704,363.1827,363.7332,115484511,19576028884.0000,3,0.003626,1,-0.000990,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000832,363.8787,363.8872,362.2248,362.4884,146749073,26098242755.0000,3,0.004607,1,-0.342229,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000832,362.5776,362.5876,360.7465,361.6189,135653883,24972851131.0000,3,0.004259,1,-0.239870,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000832,361.8840,363.6630,361.3174,363.3802,1406187000,24141426818.0000,3,0.004415,1,0.487060,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000832,363.9138,364.3195,362.3824,362.5390,130014322,21938869548.0000,3,0.004080,1,-0.231493,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000832,362.4344,363.1760,360.7364,360.8631,138362916,26410795122.0000,3,0.004342,1,-0.462268,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000832,361.1332,361.5855,360.5100,360.8913,118495713,21488754771.0000,3,0.003718,1,0.007815,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000832,360.5331,360.5331,356.6172,356.6898,105742959,17642350728.0000,3,0.003318,1,-1.164201,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000832,357.2138,357.6241,355.5767,355.7364,1195172000,19686255261.0000,3,0.003750,1,-0.267291,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000832,356.0028,356.1584,354.2566,354.5783,94481779,14811847973.0000,3,0.002959,1,-0.325550,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000832,354.9506,358.2561,354.9506,357.9107,132610669,20146850384.0000,3,0.004152,1,0.939821,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000832,358.0882,361.1805,358.0882,359.2124,130255414,21516159665.0000,3,0.004078,1,0.363694,0.000000,0.000000,0.000000,0.000000,0
