date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000846,1337.5063,1351.9230,1337.1665,1351.9230,5686351936,84859212995.0000,3,0.483235,1,0.867028,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000846,1354.6323,1357.4339,1339.2520,1351.9657,6985837906,93948434563.0000,3,0.593668,1,0.003158,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000846,1352.4242,1361.8601,1341.3014,1345.4291,6169886799,94758745686.0000,3,0.524327,1,-0.483489,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000846,1323.8819,1338.9173,1321.9749,1336.6547,5071970320,82073646538.0000,3,0.431024,1,-0.652164,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000846,1334.2956,1343.2507,1311.3620,1314.3875,6220154074,92281465300.0000,3,0.528046,1,-1.665890,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000846,1318.3940,1331.9820,1314.0943,1328.3211,5582817917,86008122967.0000,3,0.473941,1,1.060083,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000846,1314.4031,1318.9073,1297.7362,1304.3394,5890178333,80152579564.0000,3,0.500034,1,-1.805414,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000846,1315.9078,1317.3483,1294.4232,1297.1340,5809278994,76081761057.0000,3,0.493166,1,-0.552418,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000846,1294.1061,1302.8557,1287.3074,1302.2553,4488261064,65079938728.0000,3,0.381021,1,0.394817,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000846,1307.8622,1311.8321,1300.0140,1308.0115,4084240728,64596093739.0000,3,0.346723,1,0.442018,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000846,1307.4158,1318.9684,1302.7465,1317.9252,3970186998,61854117162.0000,3,0.337040,1,0.757921,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000846,1316.4900,1327.2829,1312.2252,1318.3493,4234470817,65059701121.0000,3,0.359476,1,0.032179,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000846,1314.2281,1325.4627,1308.6546,1317.9178,4078099130,74459822939.0000,3,0.346201,1,-0.032730,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000846,1318.6721,1346.3127,1316.1947,1345.8334,6767868050,94315780831.0000,3,0.574543,1,2.118159,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000846,1349.6861,1350.3380,1334.4476,1335.8921,5239016230,73030082754.0000,3,0.444755,1,-0.738672,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000846,1324.4656,1335.1551,1312.9186,1316.2782,4864842828,68284148824.0000,3,0.412386,1,-1.468225,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000846,1319.2921,1323.0747,1314.2794,1317.9063,4037092826,65514114256.0000,3,0.342219,1,0.123690,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000846,1310.1396,1310.1396,1290.5284,1291.2415,4776883657,66409208811.0000,3,0.404918,1,-2.023270,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000846,1296.4857,1298.3488,1283.5747,1289.0612,3738849255,54886178470.0000,3,0.316928,1,-0.168853,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000846,1292.3486,1300.9794,1289.5550,1293.6656,3295073524,51895280299.0000,3,0.279311,1,0.357190,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000846,1299.8279,1301.3284,1294.5013,1294.9935,3595390010,51728944277.0000,3,0.304768,1,0.102646,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000846,1297.5424,1302.8475,1285.0806,1292.1416,3775971241,56995152052.0000,3,0.319888,1,-0.220225,0.000000,0.000000,0.000000,0.000000,0
