date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000857,17423.4256,17507.3849,17310.9809,17454.0008,618817400,16126201305.0000,3,1.125651,1,0.309112,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000857,17521.6208,17521.8876,17230.8464,17427.3653,852543700,18195252791.0000,3,1.550800,1,-0.152604,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000857,17438.8213,17761.3213,17390.9398,17443.4961,995036700,20660572513.0000,3,1.809999,1,0.092560,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000857,17145.4226,17228.8199,16959.4277,17193.3017,840453900,18799998588.0000,3,1.528809,1,-1.434313,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000857,17165.8619,17219.4304,16539.9905,16565.6711,998275900,23246934685.0000,3,1.815891,1,-3.650437,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000857,16638.9664,16734.7606,16345.7261,16585.1185,843730800,17745345725.0000,3,1.534769,1,0.117396,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000857,16423.0625,16487.8177,15815.4028,15943.8520,1136012400,20695172681.0000,3,2.066438,1,-3.866517,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000857,16098.8441,16279.4884,15697.7204,15741.8088,913297300,16198405629.0000,3,1.655946,1,-1.267217,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000857,15680.9425,16018.2802,15680.9425,16010.8129,673804500,14010848393.0000,3,1.219969,1,1.708851,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000857,16137.1340,16151.8047,15829.9823,15943.4319,741927000,15761634325.0000,3,1.343290,1,-0.420847,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000857,15971.2661,16135.2374,15832.6263,16127.5348,702404700,14300898556.0000,3,1.271732,1,1.154726,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000857,16104.3551,16192.2562,15810.9762,15896.4975,621602700,13101254098.0000,3,1.125437,1,-1.432564,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000857,15897.8845,15897.8845,15551.9993,15732.7767,626645800,13139605405.0000,3,1.134568,1,-1.029917,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000857,15745.1829,15997.3197,15674.7308,15985.2951,632764600,13252302993.0000,3,1.145646,1,1.605047,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000857,16001.8420,16057.6498,15834.7140,15871.8119,633219900,14754076769.0000,3,1.146470,1,-0.709922,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000857,15806.0831,16117.7017,15783.6382,15827.3059,803329700,17525752814.0000,3,1.454461,1,-0.280409,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000857,15907.1877,16312.8964,15794.6232,16188.4544,809534900,18672238190.0000,3,1.456162,1,2.281807,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000857,16134.5738,16136.2328,15833.8642,15887.4238,670533800,14469352899.0000,3,1.206132,1,-1.859539,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000857,15952.2681,16142.2045,15867.8507,15938.1977,585644100,13668161167.0000,3,1.053436,1,0.319585,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000857,15987.4750,16007.5956,15578.7980,15611.6931,617224100,13462734147.0000,3,1.110242,1,-2.048567,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000857,15645.8679,15756.5527,15391.9133,15671.3405,575281000,13207292078.0000,3,1.034778,1,0.382069,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000857,15719.8354,15939.6253,15641.6989,15740.8868,532920300,12297210459.0000,3,0.958582,1,0.443780,0.000000,0.000000,0.000000,0.000000,0
