date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000901,5331.5228,5380.9879,5328.5904,5380.9879,4807865900,68043100348.0000,3,0.532338,1,0.748578,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000901,5392.3616,5396.7053,5322.5721,5358.5230,5249654000,73096660887.0000,3,0.581194,1,-0.417487,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000901,5363.2803,5405.2559,5326.1835,5341.0480,5102220700,74785014601.0000,3,0.564871,1,-0.326116,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000901,5271.9938,5319.3339,5267.0966,5310.4481,4275919900,63453977082.0000,3,0.473391,1,-0.572919,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000901,5313.6392,5359.5510,5241.8384,5254.8944,5299058100,76994474570.0000,3,0.586663,1,-1.046121,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000901,5263.7180,5324.7390,5256.7285,5317.1147,5431895900,69969701537.0000,3,0.601370,1,1.184045,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000901,5257.8730,5283.4327,5210.7604,5233.1526,6696000900,68389128515.0000,3,0.741320,1,-1.579091,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000901,5274.8506,5287.0121,5208.0079,5218.2316,6030504800,65611537713.0000,3,0.667642,1,-0.285124,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000901,5205.3056,5237.9113,5170.3445,5231.0510,4079152200,52526099667.0000,3,0.451606,1,0.245666,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000901,5251.4293,5274.5654,5235.3134,5260.9819,4016233700,57253227055.0000,3,0.444641,1,0.572178,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000901,5262.2356,5296.1873,5244.3264,5290.6191,3886168900,52239296505.0000,3,0.430241,1,0.563340,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000901,5281.9877,5331.1684,5267.6950,5305.1417,4189754800,56070776025.0000,3,0.463851,1,0.274497,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000901,5291.0924,5312.6924,5253.5327,5282.1991,3831376600,55087444016.0000,3,0.424175,1,-0.432460,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000901,5290.7831,5400.0243,5284.2269,5396.5519,6086743600,82198881768.0000,3,0.673869,1,2.164871,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000901,5407.8919,5412.8351,5340.8254,5350.8709,4571604000,65869171345.0000,3,0.506126,1,-0.846485,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000901,5308.7375,5328.4047,5240.2785,5256.5229,4522020800,60690087426.0000,3,0.499673,1,-1.763227,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000901,5273.6443,5280.2964,5243.9806,5257.4404,3474908800,53489718968.0000,3,0.383969,1,0.017455,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000901,5225.3790,5225.3790,5141.9779,5145.8250,4232068500,56629711288.0000,3,0.467617,1,-2.122999,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000901,5167.0047,5177.1065,5121.2089,5142.2395,3485652100,49757576904.0000,3,0.385142,1,-0.069678,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000901,5158.2331,5186.7764,5138.2694,5150.2924,2956946900,45537509852.0000,3,0.326724,1,0.156603,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000901,5173.2179,5177.5577,5142.7800,5144.2616,2958453900,42230627298.0000,3,0.326832,1,-0.117096,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000901,5156.5309,5169.4869,5097.7596,5124.3879,3184504100,43857396486.0000,3,0.351805,1,-0.386328,0.000000,0.000000,0.000000,0.000000,0
