date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000911,6838.2831,6986.0552,6831.6085,6986.0552,1390751461,25193839824.0000,3,1.118435,1,2.000441,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000911,7043.9333,7068.1143,6961.1072,7035.1494,1592055773,26916752899.0000,3,1.280323,1,0.702746,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000911,7032.9605,7105.1007,6975.4762,7005.4167,1248755964,24089535532.0000,3,1.004243,1,-0.422631,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000911,6868.8054,6942.5906,6833.5956,6925.8278,1244739779,22353620817.0000,3,1.001013,1,-1.136105,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000911,6898.0936,6966.0542,6779.2108,6807.9986,1589138408,30025274296.0000,3,1.277976,1,-1.701301,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000911,6836.1081,6852.5468,6761.2554,6822.4801,1238406670,22808775834.0000,3,0.995920,1,0.212713,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000911,6728.3161,6749.6889,6590.0889,6603.2644,1255656783,22207691110.0000,3,1.009792,1,-3.213138,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000911,6673.8963,6740.1282,6642.3777,6666.3691,1234413020,21263299029.0000,3,0.992708,1,0.955659,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000911,6658.9149,6773.7420,6643.4691,6760.2069,1062956051,17659695459.0000,3,0.854823,1,1.407630,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000911,6780.4716,6864.1196,6780.4716,6859.7603,966015292,18668475580.0000,3,0.776864,1,1.472638,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000911,6872.1418,7026.4080,6853.5973,7010.4213,1022101622,23375540976.0000,3,0.821969,1,2.196301,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000911,6996.0551,7060.6769,6967.0956,6995.5279,976345261,22168422064.0000,3,0.785172,1,-0.212447,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000911,7005.5180,7108.7271,6982.9847,7072.6072,865902642,23709439372.0000,3,0.696354,1,1.101837,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000911,7073.7093,7133.9361,7019.8241,7124.2702,1179869312,24462110138.0000,3,0.948844,1,0.730466,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000911,7128.7090,7142.1760,7003.8320,7018.6215,1049062001,24999441873.0000,3,0.843650,1,-1.482941,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000911,6972.3184,7020.5010,6901.1374,6933.2713,979817587,19611245009.0000,3,0.787964,1,-1.216054,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000911,6951.1525,7044.9193,6924.5680,7033.6932,829665793,17962651766.0000,3,0.667213,1,1.448406,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000911,6986.8253,6991.1028,6859.9919,6872.2293,917141044,17217606662.0000,3,0.737560,1,-2.295578,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000911,6918.5255,6944.5955,6851.4222,6878.4392,796649207,16783653660.0000,3,0.640661,1,0.090362,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000911,6907.4308,6961.4143,6887.9979,6905.5939,671734834,16611300483.0000,3,0.540173,1,0.394780,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000911,6940.7940,7007.9475,6924.5138,6965.5553,794118225,16556493253.0000,3,0.638587,1,0.868302,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000911,7003.3543,7062.7034,6961.7927,6994.8140,827972585,19145928729.0000,3,0.665811,1,0.420048,0.000000,0.000000,0.000000,0.000000,0
