date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000912,32667.9982,32825.3099,32277.1412,32825.3099,550878835,35189784912.0000,3,1.083197,1,0.207120,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000912,33041.1326,33243.7901,32563.9144,32916.9255,648099300,34777521539.0000,3,1.274362,1,0.279100,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000912,32917.7505,33408.1816,32548.5779,32785.5767,602906495,39142741445.0000,3,1.185499,1,-0.399031,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000912,32151.6073,32201.8252,31648.6842,32098.0538,479036584,35619473229.0000,3,0.939525,1,-2.097029,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000912,31972.7502,32215.7230,30929.5300,31172.1045,654510562,38296801207.0000,3,1.283679,1,-2.884752,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000912,31202.4579,31345.7399,30356.3735,30771.8652,562191080,37460785701.0000,3,1.102540,1,-1.283966,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000912,30370.9247,30468.9202,29828.1433,30013.5632,460029122,26571811237.0000,3,0.902185,1,-2.464271,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000912,30404.9459,30760.1009,30210.1742,30293.1552,381023452,24638711629.0000,3,0.747353,1,0.931552,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000912,30171.5464,30782.6386,30073.5339,30757.0272,397849415,25770630709.0000,3,0.780356,1,1.531277,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000912,31034.8975,31112.3268,30668.9356,30945.3272,539191218,29476448199.0000,3,1.057307,1,0.612218,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000912,30966.1834,31060.0035,30728.9586,31046.3957,388984864,20780750539.0000,3,0.762766,1,0.326603,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000912,31038.1074,31155.0819,30390.3582,30485.5006,414520586,24240426222.0000,3,0.812839,1,-1.806635,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000912,30142.9450,30148.4300,29513.2044,29758.2735,474836597,34028635376.0000,3,0.931113,1,-2.385485,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000912,29721.9846,30261.9972,29474.1476,30261.9972,417363181,27945949537.0000,3,0.818346,1,1.692718,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000912,30187.6401,30187.6401,29766.2802,29775.7988,319675814,18490633513.0000,3,0.626805,1,-1.606630,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000912,29538.9763,30003.7699,29509.2170,29586.5500,287057419,17230594472.0000,3,0.562849,1,-0.635579,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000912,29233.6437,29637.0054,28964.4893,29559.7724,332649498,24418505735.0000,3,0.652243,1,-0.090506,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000912,29387.0784,29622.5445,29038.1668,29062.7189,362235246,20928508497.0000,3,0.710254,1,-1.681520,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000912,29142.7601,29394.7685,29116.8607,29192.6525,274907223,16049699620.0000,3,0.539025,1,0.447080,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000912,29333.4198,29707.4044,29282.2533,29382.9977,390758975,21239344516.0000,3,0.766182,1,0.652031,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000912,29632.6202,29646.5204,29333.4163,29462.3951,303599008,16212023796.0000,3,0.595283,1,0.270215,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000912,29600.9944,30072.9753,29497.3140,29636.4214,322924801,20577305290.0000,3,0.632947,1,0.590673,0.000000,0.000000,0.000000,0.000000,0
