date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000928,1502.8095,1506.8551,1498.0326,1506.3459,602322200,3450536214.7000,3,0.175889,1,0.128662,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000928,1506.3347,1506.9592,1485.6820,1494.4103,698380000,3755775349.5000,3,0.203940,1,-0.792355,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000928,1495.9910,1508.5258,1488.2042,1491.8255,765579500,4494436163.0000,3,0.223563,1,-0.172965,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000928,1477.0918,1489.0690,1470.6819,1485.9981,655230700,3954727287.0000,3,0.191340,1,-0.390622,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000928,1484.1409,1492.6610,1465.7836,1467.4564,631731100,4223697552.6000,3,0.184477,1,-1.247761,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000928,1470.2610,1500.0185,1468.2138,1499.6760,1111553400,5775417401.0000,3,0.324594,1,2.195609,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000928,1486.4310,1504.0526,1479.7522,1482.8078,1465218000,6715456526.1000,3,0.427871,1,-1.124790,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000928,1491.7467,1498.4375,1469.9227,1474.2904,1148257900,5721964877.2000,3,0.335313,1,-0.574410,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000928,1468.1695,1470.4707,1453.0987,1464.8545,683764900,3794009956.9000,3,0.199672,1,-0.640030,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000928,1465.8358,1469.2761,1458.6088,1466.1873,619388700,3206163336.6000,3,0.180873,1,0.090985,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000928,1465.5794,1474.3757,1460.4123,1471.9540,489218000,2748959614.4000,3,0.142861,1,0.393313,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000928,1472.1415,1488.1062,1468.7450,1481.4751,638971600,3372030488.7000,3,0.186592,1,0.646834,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000928,1483.4986,1494.0371,1479.7460,1481.7393,661752400,3623969728.7000,3,0.193244,1,0.017834,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000928,1486.0323,1523.6756,1483.2544,1520.6802,1112528200,7176505422.0000,3,0.324879,1,2.628053,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000928,1523.7342,1526.7218,1510.8029,1516.4317,821590400,5324141976.2000,3,0.239920,1,-0.279382,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000928,1502.7917,1504.3049,1480.3390,1483.7528,696708600,4230111743.1000,3,0.203452,1,-2.154987,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000928,1489.3172,1491.7238,1474.0047,1476.6033,541998700,3203917405.1000,3,0.158274,1,-0.481853,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000928,1468.3302,1469.1072,1449.8413,1453.5200,672912900,3488381213.1000,3,0.195260,1,-1.563270,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000928,1460.2847,1468.9567,1458.1389,1462.1763,479974300,2832964336.0000,3,0.139274,1,0.595540,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000928,1470.6861,1488.2952,1470.6861,1473.8299,652597100,3980692449.5000,3,0.189365,1,0.797004,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000928,1477.8945,1477.8945,1469.2234,1470.8222,482150500,2995213033.8000,3,0.139906,1,-0.204074,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000928,1470.3307,1472.0007,1444.8213,1451.4586,569163100,3480273300.7000,3,0.165154,1,-1.316515,0.000000,0.000000,0.000000,0.000000,0
