date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000931,6160.5869,6284.8668,6153.5466,6284.8668,3148950583,43268055489.0000,3,1.378342,1,1.895628,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000931,6326.5397,6353.9530,6254.9016,6328.4058,3648957511,46815428847.0000,3,1.597202,1,0.692759,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000931,6320.2451,6359.2478,6257.9651,6286.3540,3132446123,42321441548.0000,3,1.371117,1,-0.664493,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000931,6162.9641,6255.2996,6144.6017,6241.0763,3230961869,39086411430.0000,3,1.414239,1,-0.720254,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000931,6223.4066,6289.4240,6102.6063,6129.4761,4014525136,50899064814.0000,3,1.756374,1,-1.788156,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000931,6151.4023,6164.0502,6088.2418,6147.9826,3499863548,40813017260.0000,3,1.531207,1,0.301926,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000931,6065.7132,6082.4090,5938.7280,5948.6419,3950953662,42622422464.0000,3,1.728561,1,-3.242376,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000931,6012.9057,6054.0365,5944.3662,5963.9757,3465865503,38656357105.0000,3,1.516333,1,0.257770,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000931,5954.3222,6057.5178,5954.3222,6052.2418,2602865994,32857602731.0000,3,1.138766,1,1.479988,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000931,6071.6491,6133.3079,6071.6491,6123.8033,2701941366,34938043043.0000,3,1.182112,1,1.182397,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000931,6127.6159,6241.2453,6112.8350,6233.8251,2811325968,39786893315.0000,3,1.229969,1,1.796625,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000931,6221.6345,6266.2702,6193.1487,6225.1424,2501288207,36119929850.0000,3,1.094326,1,-0.139284,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000931,6227.3766,6326.9733,6206.2731,6292.2089,2474713349,39140660404.0000,3,1.082699,1,1.077349,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000931,6286.0113,6352.3801,6251.2082,6351.7727,2859066698,42233324836.0000,3,1.250855,1,0.946628,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000931,6362.2145,6379.0443,6253.7335,6268.3909,2731905801,43426099925.0000,3,1.195222,1,-1.312733,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000931,6222.4635,6258.0758,6147.4195,6173.3289,2547052241,34068736874.0000,3,1.114348,1,-1.516530,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000931,6193.9789,6256.2847,6171.8620,6242.0597,2014752497,28819338542.0000,3,0.881464,1,1.113351,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000931,6204.8441,6205.5130,6086.7167,6090.5305,2278924557,29069381582.0000,3,0.997040,1,-2.427551,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000931,6130.8108,6141.2314,6064.5303,6096.0017,1890574541,27637254846.0000,3,0.827135,1,0.089831,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000931,6123.3809,6157.7734,6099.3236,6112.5180,1683677199,27327014136.0000,3,0.736588,1,0.270937,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000931,6143.8002,6191.3447,6121.6961,6155.6518,1755548622,27429334041.0000,3,0.768031,1,0.705663,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000931,6183.3956,6224.1848,6123.7243,6162.7839,1770747231,29627282835.0000,3,0.774680,1,0.115863,0.000000,0.000000,0.000000,0.000000,0
