date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000939,2270.8249,2298.7483,2264.0260,2298.7397,5489100247,77793637452.0000,3,1.951547,1,1.155090,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000939,2308.6568,2315.6575,2283.8859,2308.3818,6605040360,90861413649.0000,3,2.348298,1,0.419452,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000939,2306.7442,2306.7587,2266.2674,2273.7938,5903077675,83408342743.0000,3,2.098712,1,-1.498366,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000939,2232.2007,2262.8249,2223.2542,2259.4329,5140006343,71213693329.0000,3,1.826463,1,-0.631583,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000939,2258.3771,2266.4537,2186.6576,2195.9995,6837748636,91045762740.0000,3,2.407607,1,-2.807492,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000939,2199.3873,2209.9080,2171.3069,2204.9018,6302583720,79104841497.0000,3,2.239505,1,0.405387,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000939,2178.4675,2178.4675,2120.8079,2131.8643,7510200897,89845209326.0000,3,2.668610,1,-3.312506,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000939,2154.4505,2160.7910,2091.4970,2098.0448,6439819479,75063164435.0000,3,2.288146,1,-1.586381,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000939,2091.9742,2148.4106,2091.7592,2148.0314,5156871219,64707928607.0000,3,1.832212,1,2.382533,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000939,2166.1852,2184.7443,2149.2964,2170.5057,5807679817,75938225486.0000,3,2.044504,1,1.046274,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000939,2172.7480,2189.3768,2157.2823,2189.3768,5457907731,66194159286.0000,3,1.939031,1,0.869433,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000939,2190.9944,2194.7519,2162.1982,2173.9302,5350148437,70626341868.0000,3,1.900747,1,-0.705525,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000939,2164.7769,2193.2934,2151.7724,2178.6360,5065197924,66653117364.0000,3,1.799170,1,0.216465,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000939,2176.9986,2199.3619,2165.5993,2196.4881,5251408038,69417161735.0000,3,1.865305,1,0.819416,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000939,2201.6651,2202.6815,2177.5020,2181.1779,4780759652,62318402442.0000,3,1.682415,1,-0.697031,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000939,2165.9058,2181.4531,2139.4341,2146.5721,4352849088,56472198821.0000,3,1.543090,1,-1.586565,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000939,2157.1830,2180.6652,2145.7710,2180.0608,3920710475,57768425243.0000,3,1.389896,1,1.560101,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000939,2164.4067,2164.4067,2110.3996,2110.6246,4485619852,61536633792.0000,3,1.590157,1,-3.185058,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000939,2123.3562,2131.4175,2103.8297,2111.5980,3686035607,50700448631.0000,3,1.306704,1,0.046119,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000939,2122.1828,2131.8383,2101.2475,2104.2482,3284970047,48738870486.0000,3,1.153912,1,-0.348068,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000939,2120.1069,2137.3454,2105.4031,2127.0967,3192208579,46664224251.0000,3,1.130842,1,1.085827,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000939,2132.1828,2151.4183,2116.4977,2130.2173,3249449840,46862539072.0000,3,1.150366,1,0.146707,0.000000,0.000000,0.000000,0.000000,0
