date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000940,5229.0228,5257.5700,5220.5436,5257.3108,14117588170,218715933784.0000,3,0.491071,1,0.314031,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000940,5267.4401,5271.0947,5201.8749,5240.5802,16309134361,242531229894.0000,3,0.567312,1,-0.318235,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000940,5243.2106,5279.4988,5207.8931,5221.6207,15028670089,232221837854.0000,3,0.522771,1,-0.361782,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000940,5158.6942,5196.5323,5148.7194,5188.7990,12419654857,197085253661.0000,3,0.431997,1,-0.628573,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000940,5180.7384,5223.1603,5121.0708,5131.0576,15811056990,249314935580.0000,3,0.549649,1,-1.112809,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000940,5148.4109,5198.4671,5136.1107,5191.9959,15444875197,219932995432.0000,3,0.536919,1,1.187636,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000940,5141.5805,5171.9657,5100.5392,5121.1287,19127245328,209102878328.0000,3,0.664931,1,-1.364932,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000940,5161.7492,5171.0686,5094.0217,5103.9841,17417004424,199021767738.0000,3,0.605478,1,-0.334782,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000940,5092.5250,5117.7841,5066.5637,5110.9571,12654421774,170042979780.0000,3,0.439914,1,0.136619,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000940,5127.2606,5141.2412,5107.1811,5131.8652,11619701589,176589289972.0000,3,0.403920,1,0.409084,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000940,5128.3940,5167.5886,5110.6886,5163.2798,10799370501,164875144610.0000,3,0.375404,1,0.612148,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000940,5158.1621,5193.0925,5144.4471,5163.1206,11609444046,170291620444.0000,3,0.403563,1,-0.003083,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000940,5156.7452,5177.8266,5129.4766,5148.6292,11105799136,181805738095.0000,3,0.386056,1,-0.280671,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000940,5157.0786,5274.9238,5151.6280,5272.9877,16690136145,245877102065.0000,3,0.580175,1,2.415371,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000940,5286.1006,5289.9560,5225.8194,5229.9201,13077916727,190770612593.0000,3,0.454609,1,-0.816759,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000940,5190.6449,5232.1656,5142.8081,5155.1429,12227044149,170415024429.0000,3,0.424773,1,-1.429796,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000940,5166.5502,5172.6385,5129.9583,5143.9081,9800284240,155095223507.0000,3,0.340466,1,-0.217934,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000940,5120.5481,5120.5869,5049.5140,5052.1445,11859456820,163097742714.0000,3,0.411994,1,-1.783928,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000940,5067.1607,5074.6457,5025.3139,5042.1323,9546665205,138063358738.0000,3,0.331648,1,-0.198177,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000940,5052.8610,5084.8622,5044.4362,5059.0121,8763673439,134956778455.0000,3,0.304447,1,0.334775,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000940,5080.5482,5085.1379,5046.0158,5046.0287,8690400018,132494577899.0000,3,0.301883,1,-0.256639,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000940,5059.6934,5071.4463,5002.8114,5027.1526,9161873525,140133919959.0000,3,0.318182,1,-0.374078,0.000000,0.000000,0.000000,0.000000,0
