date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000963,8421.0735,8475.2463,8373.1593,8475.2142,5066660414,136694370712.0000,3,0.971981,1,0.448624,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000963,8522.2811,8540.7202,8413.5421,8508.5065,5912254737,142052522059.0000,3,1.134199,1,0.392820,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000963,8505.4913,8599.5501,8425.0199,8462.0105,5747107882,152610133559.0000,3,1.102517,1,-0.546465,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000963,8302.7452,8356.1843,8234.3438,8340.5893,5468138551,139088385395.0000,3,1.048738,1,-1.434898,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000963,8316.0459,8363.8193,8081.4282,8112.4616,6689883489,155752834593.0000,3,1.283102,1,-2.735151,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000963,8134.8416,8160.9775,8001.7856,8096.0813,5459980054,127102179921.0000,3,1.047197,1,-0.201915,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000963,7993.3062,7998.0226,7792.2333,7836.3323,7002215088,131144144639.0000,3,1.342990,1,-3.208330,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000963,7929.1859,7992.1695,7836.3599,7857.0429,6038983088,116149764992.0000,3,1.157840,1,0.264289,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000963,7834.2515,7975.0469,7834.2515,7972.2767,4535306985,100994236860.0000,3,0.869413,1,1.466631,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000963,8031.3140,8045.7878,7943.7122,7994.6950,4441165376,116367053777.0000,3,0.851342,1,0.281203,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000963,8000.7712,8084.1875,7954.5843,8083.2561,4388693207,106507552221.0000,3,0.841284,1,1.107748,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000963,8078.7146,8096.8277,7949.9995,7984.5986,4608367958,105121679514.0000,3,0.883394,1,-1.220517,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000963,7946.8526,7949.9467,7826.9835,7893.4475,4102951641,115150015645.0000,3,0.786509,1,-1.141587,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000963,7893.4976,8003.8748,7839.9002,8003.8748,4550266406,111550972685.0000,3,0.872249,1,1.398974,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000963,8005.0702,8009.9034,7900.4975,7910.6698,4093446755,98247529056.0000,3,0.784641,1,-1.164498,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000963,7857.8689,7944.5362,7818.4684,7844.2878,4025693130,96216777679.0000,3,0.771654,1,-0.839145,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000963,7829.4361,7951.6097,7796.3347,7934.8613,3524518439,109119567832.0000,3,0.675119,1,1.154643,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000963,7888.1509,7906.2232,7781.7056,7788.3706,3928921831,97815553079.0000,3,0.752583,1,-1.846166,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000963,7819.9117,7868.2085,7780.8264,7803.8378,3165909370,84249847082.0000,3,0.606428,1,0.198594,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000963,7837.1620,7866.4521,7774.7930,7791.7398,3127885849,87583469853.0000,3,0.599134,1,-0.155026,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000963,7834.9840,7888.7329,7779.0187,7847.7159,3037583120,81633230628.0000,3,0.581834,1,0.718403,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000963,7883.9746,7971.5800,7835.1413,7876.7176,3062314798,88772816990.0000,3,0.586544,1,0.369556,0.000000,0.000000,0.000000,0.000000,0
