date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000964,10474.7716,10596.5041,10454.7877,10596.4404,4747572260,112357702364.0000,3,1.200750,1,0.957001,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000964,10623.9549,10640.0717,10493.3236,10605.3777,5907132277,124234640698.0000,3,1.493985,1,0.084342,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000964,10586.9778,10649.4913,10473.1168,10512.6290,5238524329,121625077915.0000,3,1.324858,1,-0.874544,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000964,10303.3879,10458.0511,10293.5918,10435.3304,4177386844,104569245560.0000,3,1.056489,1,-0.735293,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000964,10425.8234,10491.0735,10114.0043,10145.2808,5054282688,121897499520.0000,3,1.277084,1,-2.779496,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000964,10172.1703,10196.6189,10022.3281,10144.8748,4217238178,98530719345.0000,3,1.065583,1,-0.004002,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000964,9987.1857,9987.1857,9718.0440,9804.9809,4621001097,109682093977.0000,3,1.167603,1,-3.350400,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000964,9911.3070,9956.7138,9696.3492,9716.8413,4367321601,92835615613.0000,3,1.103513,1,-0.898927,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000964,9699.6426,9895.3158,9698.5623,9894.0465,3625505590,83283429424.0000,3,0.916074,1,1.823691,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000964,9971.2123,10020.3807,9868.8600,9947.7778,3433948199,92941073278.0000,3,0.867672,1,0.543067,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000964,9952.1404,10052.4195,9899.7742,10045.2688,3082938126,85354825693.0000,3,0.778981,1,0.980028,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000964,10033.8544,10052.8986,9939.6320,9995.7690,3220626997,86056483722.0000,3,0.813771,1,-0.492767,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000964,9963.7293,10102.6153,9897.9984,10030.2936,3459465873,93396191254.0000,3,0.874120,1,0.345392,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000964,10025.0770,10198.9116,9986.3452,10198.6959,4312740377,102266580150.0000,3,1.089714,1,1.678937,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000964,10212.4255,10245.3808,10115.6780,10135.9486,3532537688,87540924679.0000,3,0.892564,1,-0.615248,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000964,10048.1742,10111.9707,9946.3872,9977.2612,3231372361,78621140882.0000,3,0.815446,1,-1.565590,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000964,10016.2968,10124.3930,9994.0807,10101.5227,2911248921,84951124800.0000,3,0.734662,1,1.245447,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000964,10011.7667,10024.9090,9851.2867,9852.5337,3544358384,83731257037.0000,3,0.894429,1,-2.464866,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000964,9908.1135,9949.4496,9822.0385,9857.9985,2605691461,69283674595.0000,3,0.657553,1,0.055466,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000964,9894.3036,9935.6287,9817.0730,9830.8290,2279788862,62729480012.0000,3,0.575311,1,-0.275609,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000964,9892.8620,9966.4026,9846.1491,9918.7111,2821389948,69283360480.0000,3,0.711678,1,0.893944,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000964,9947.6188,10014.6351,9865.0801,9926.3883,2621124825,66817560630.0000,3,0.661153,1,0.077401,0.000000,0.000000,0.000000,0.000000,0
