date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000982,7688.2248,7740.8324,7663.0659,7740.8324,12563249000,140204445918.0000,3,1.367269,1,0.685933,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000982,7758.3660,7774.5441,7669.9387,7748.7540,14956254800,160818469798.5000,3,1.627702,1,0.102335,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000982,7747.8196,7768.6546,7661.0554,7689.0430,14211033500,151591727849.6000,3,1.546599,1,-0.770588,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000982,7560.9529,7657.2624,7552.6950,7643.8407,12535846200,132077386325.3000,3,1.364219,1,-0.587879,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000982,7643.4276,7706.5353,7479.2389,7502.7659,15558174800,167216213932.1000,3,1.692923,1,-1.845601,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000982,7516.9030,7589.6242,7461.6210,7573.2019,16123031800,148148725286.0000,3,1.752867,1,0.938800,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000982,7498.1267,7535.9222,7373.7502,7403.6186,21691635100,176688524174.1000,3,2.358276,1,-2.239255,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000982,7462.7942,7473.8103,7237.6063,7255.9267,18104949700,149335340844.4000,3,1.967729,1,-1.994861,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000982,7226.3629,7343.8240,7226.3629,7334.9294,12462919400,115690880160.5000,3,1.354379,1,1.088802,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000982,7375.7586,7409.6727,7318.9084,7381.3796,13050227700,129303970062.7000,3,1.417965,1,0.633274,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000982,7381.7820,7409.3608,7347.2339,7408.6980,11518415400,117077083505.1000,3,1.251474,1,0.370099,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000982,7398.6207,7417.2443,7345.5022,7381.6426,11337988700,112504425528.5000,3,1.231870,1,-0.365184,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000982,7372.7201,7456.7840,7317.5863,7404.2398,11895968100,123682498362.9000,3,1.292495,1,0.306127,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000982,7402.7593,7528.4593,7390.9613,7522.9704,13522626400,136788919948.0000,3,1.469180,1,1.603549,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000982,7546.4790,7565.3639,7488.8204,7502.2823,12602372100,133640323489.2000,3,1.368911,1,-0.274999,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000982,7439.1623,7508.6405,7369.1047,7388.0716,12130589400,122989741811.9000,3,1.317664,1,-1.522346,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000982,7413.7272,7431.0029,7374.5617,7409.0058,9504883300,106027143367.8000,3,1.031970,1,0.283351,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000982,7367.0488,7367.0488,7230.0159,7231.5433,11280146700,112624608424.9000,3,1.221787,1,-2.395227,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000982,7263.4449,7275.0018,7185.2506,7222.4167,8779878800,92989168390.0000,3,0.950462,1,-0.126205,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000982,7240.4526,7249.2933,7155.3648,7163.2561,7896291500,87526269792.6000,3,0.854808,1,-0.819125,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000982,7192.7872,7275.6620,7164.9996,7220.3215,8137116400,91783259881.9000,3,0.880876,1,0.796641,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000982,7237.1467,7247.9579,7130.5643,7173.5378,8148409300,89615460415.2000,3,0.880520,1,-0.647945,0.000000,0.000000,0.000000,0.000000,0
