date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000983,12912.3888,13045.1144,12885.5066,13045.1144,3474115879,67531114808.0000,3,1.547740,1,1.000625,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000983,13081.0190,13179.2531,12973.6246,13117.6562,4762448534,79063094612.0000,3,2.121701,1,0.556084,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000983,13094.7003,13130.1840,12938.8488,12980.9783,4338475964,78081466651.0000,3,1.932086,1,-1.041938,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000983,12733.6896,12985.4520,12714.5386,12972.4643,3731633184,70234393256.0000,3,1.661835,1,-0.065588,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000983,12968.6939,13068.0526,12694.5216,12747.6796,4660016091,86194042188.0000,3,2.075278,1,-1.732783,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000983,12753.6547,12791.8421,12566.7195,12775.5670,4324055685,72314374386.0000,3,1.925659,1,0.218765,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000983,12590.8369,12605.8377,12265.3929,12348.3924,5436996546,80709676320.0000,3,2.421292,1,-3.343684,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000983,12432.7799,12450.4397,11912.1425,11956.2028,4707932532,67658222466.0000,3,2.096633,1,-3.176038,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000983,11894.5931,12173.2397,11886.2391,12155.5400,3184254852,54249010421.0000,3,1.417581,1,1.667228,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000983,12234.3737,12414.1024,12187.7474,12386.9858,3291633065,60635925590.0000,3,1.465384,1,1.904036,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000983,12399.1460,12465.5765,12331.7840,12432.3109,2964448976,61067715928.0000,3,1.319726,1,0.365909,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000983,12412.5215,12434.6223,12245.6244,12313.4831,2750860296,53794925368.0000,3,1.224640,1,-0.955798,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000983,12294.1895,12469.7691,12214.1034,12387.2751,3055358741,63431430101.0000,3,1.360199,1,0.599278,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000983,12397.4511,12549.6895,12338.0940,12549.1071,3193068700,59338539396.0000,3,1.421487,1,1.306437,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000983,12567.6740,12600.6504,12459.2103,12487.8071,2944398230,57533768420.0000,3,1.310779,1,-0.488481,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000983,12388.0180,12533.3789,12313.4126,12351.4814,2647121996,54224478295.0000,3,1.177635,1,-1.091670,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000983,12391.1975,12483.7839,12350.2201,12442.9835,2346025247,51396314416.0000,3,1.042015,1,0.740819,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000983,12352.2848,12352.2848,12085.9039,12091.2079,2971103445,51367464936.0000,3,1.319651,1,-2.827100,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000983,12147.8847,12168.3151,11980.0669,12039.7543,2191649713,44628488630.0000,3,0.973448,1,-0.425546,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000983,12062.0471,12082.4493,11893.9170,11893.9170,2023662108,42854809671.0000,3,0.898828,1,-1.211298,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000983,11972.6338,12125.6100,11934.0836,12084.6721,2287547741,46261137320.0000,3,1.015890,1,1.603804,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000983,12111.0406,12213.2304,12038.6470,12093.5940,2111487443,45494490789.0000,3,0.937702,1,0.073828,0.000000,0.000000,0.000000,0.000000,0
