date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000989,5477.7764,5563.6229,5471.2496,5563.6229,7216366000,81961820296.6000,3,1.742747,1,1.448685,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000989,5591.8266,5608.1089,5526.6469,5587.7282,8164444200,88843502765.8000,3,1.971707,1,0.433266,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000989,5581.3299,5605.7869,5524.6549,5547.0603,7379930900,81842835195.1000,3,1.782236,1,-0.727807,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000989,5445.8592,5523.3724,5432.2371,5513.6764,7048359000,74090322247.2000,3,1.702162,1,-0.601830,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000989,5501.4796,5551.4495,5402.2606,5425.7730,8665668600,93542693280.6000,3,2.092183,1,-1.594279,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000989,5439.7023,5456.3546,5385.6165,5447.5786,8050274900,78876553159.0000,3,1.943429,1,0.401889,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000989,5380.1320,5392.0484,5280.6867,5286.0059,9576737900,89275870587.8000,3,2.311934,1,-2.965954,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000989,5334.4747,5348.7101,5230.1360,5245.4245,8282989700,77041809318.7000,3,1.999584,1,-0.767714,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000989,5230.5589,5326.7780,5227.4278,5320.3190,6041583700,61066857715.6000,3,1.458486,1,1.427806,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000989,5339.0208,5392.5834,5339.0208,5386.8796,6304114700,66177032038.3000,3,1.521863,1,1.251064,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000989,5396.1181,5474.5596,5381.9252,5470.1259,6713142600,72926455179.2000,3,1.620456,1,1.545353,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000989,5461.4582,5485.5507,5423.6147,5447.1174,5935277000,65416000328.7000,3,1.432690,1,-0.420621,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000989,5447.1025,5522.1345,5426.6207,5491.4958,5983412900,69563276024.4000,3,1.448806,1,0.814713,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000989,5491.4201,5548.9899,5462.5801,5545.2634,6267300800,72757709292.0000,3,1.517549,1,0.979107,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000989,5558.7491,5569.4969,5491.8917,5503.1856,6243529100,75699472909.5000,3,1.506991,1,-0.758806,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000989,5461.1212,5488.5915,5397.2542,5418.1639,5937400100,63232843595.2000,3,1.435389,1,-1.544954,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000989,5435.3582,5474.4596,5411.1139,5462.9120,4801504700,53582532086.5000,3,1.160782,1,0.825890,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000989,5430.3660,5430.3660,5327.5701,5329.5023,5415572600,55470160123.0000,3,1.309206,1,-2.442099,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000989,5357.8156,5364.1855,5299.8430,5325.4285,4520007000,50871562388.0000,3,1.092704,1,-0.076439,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000989,5343.8642,5360.7863,5307.3028,5311.4313,4220552100,49524145352.1000,3,1.017128,1,-0.262837,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000989,5334.2045,5373.6312,5314.5863,5345.2382,4218321300,49280052324.4000,3,1.021494,1,0.636493,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000989,5365.3524,5393.4474,5317.0918,5346.6225,4144122100,49580432316.6000,3,1.002203,1,0.025898,0.000000,0.000000,0.000000,0.000000,0
