date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.000990,22383.1421,22489.0735,22068.3425,22438.1523,2918039500,72464771440.8000,3,2.089612,1,-0.153510,0.000000,0.000000,0.000000,0.000000,0
2020-09-02,sh.000990,22542.6905,22733.8174,22287.0893,22491.4600,3144096100,75120218695.7000,3,2.251492,1,0.237576,0.000000,0.000000,0.000000,0.000000,0
2020-09-03,sh.000990,22460.0628,22776.0943,22141.9794,22278.1923,3114263500,82647207601.0000,3,2.230129,1,-0.948216,0.000000,0.000000,0.000000,0.000000,0
2020-09-04,sh.000990,21776.1597,21797.1597,21474.8098,21759.4332,2512707100,71035510906.5000,3,1.797675,1,-2.328551,0.000000,0.000000,0.000000,0.000000,0
2020-09-07,sh.000990,21698.0343,21813.0250,20885.2482,21013.6336,2976428600,76277149861.2000,3,2.129438,1,-3.427477,0.000000,0.000000,0.000000,0.000000,0
2020-09-08,sh.000990,21028.2728,21137.2178,20464.2879,20762.2569,2587048600,68632275117.0000,3,1.850817,1,-1.196255,0.000000,0.000000,0.000000,0.000000,0
2020-09-09,sh.000990,20470.0890,20524.8081,19966.0766,20084.2594,2639925300,57175686859.9000,3,1.888645,1,-3.265529,0.000000,0.000000,0.000000,0.000000,0
2020-09-10,sh.000990,20344.1589,20535.6351,20112.8351,20182.3235,2495492500,53949050757.5000,3,1.785411,1,0.488263,0.000000,0.000000,0.000000,0.000000,0
2020-09-11,sh.000990,20114.2050,20499.1961,20062.7199,20479.7813,1887620800,49135317772.4000,3,1.350507,1,1.473853,0.000000,0.000000,0.000000,0.000000,0
2020-09-14,sh.000990,20666.5986,20682.7907,20417.3861,20539.9149,2104540000,54711178211.6000,3,1.505317,1,0.293624,0.000000,0.000000,0.000000,0.000000,0
2020-09-15,sh.000990,20541.1941,20696.7459,20415.4493,20694.7649,1787874300,43214933543.7000,3,1.278815,1,0.753898,0.000000,0.000000,0.000000,0.000000,0
2020-09-16,sh.000990,20681.5508,20798.9009,20289.7853,20375.6228,1800620700,45110421175.5000,3,1.287933,1,-1.542139,0.000000,0.000000,0.000000,0.000000,0
2020-09-17,sh.000990,20214.9297,20214.9833,19764.3418,19986.2086,2065844700,58488992847.6000,3,1.477640,1,-1.911177,0.000000,0.000000,0.000000,0.000000,0
2020-09-18,sh.000990,19969.6735,20297.7641,19871.7383,20297.6715,1902826200,50165732681.0000,3,1.360981,1,1.558389,0.000000,0.000000,0.000000,0.000000,0
2020-09-21,sh.000990,20254.1599,20262.6430,19991.5696,20047.3332,1735980100,40053858313.5000,3,1.241457,1,-1.233335,0.000000,0.000000,0.000000,0.000000,0
2020-09-22,sh.000990,19890.4678,20167.8950,19835.8459,19888.2201,1454249800,35365544527.4000,3,1.039982,1,-0.793687,0.000000,0.000000,0.000000,0.000000,0
2020-09-23,sh.000990,19784.9672,20003.9857,19624.5484,19959.4774,1337452400,41324251353.3000,3,0.956457,1,0.358289,0.000000,0.000000,0.000000,0.000000,0
2020-09-24,sh.000990,19855.3367,19983.1769,19598.2743,19607.4783,1826604200,42961102855.8000,3,1.306265,1,-1.763569,0.000000,0.000000,0.000000,0.000000,0
2020-09-25,sh.000990,19682.0742,19782.7255,19610.4735,19653.1309,1540588600,34327853960.0000,3,1.101726,1,0.232833,0.000000,0.000000,0.000000,0.000000,0
2020-09-28,sh.000990,19767.9517,19883.3176,19626.4083,19654.2871,1488159500,39214793323.4000,3,1.064232,1,0.005883,0.000000,0.000000,0.000000,0.000000,0
2020-09-29,sh.000990,19811.6666,19917.5890,19668.1211,19820.0452,1426345800,34417014319.7000,3,1.018305,1,0.843369,0.000000,0.000000,0.000000,0.000000,0
2020-09-30,sh.000990,19901.2023,20169.5657,19784.6517,19881.8576,1417364500,38420767445.2000,3,1.011760,1,0.311868,0.000000,0.000000,0.000000,0.000000,0
