date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.600004,15.2200,15.2300,14.8700,14.9800,19315960,289178113.0700,3,0.933400,1,-1.576900,86.470386,1.883631,5.015203,-85.297792,0
2020-09-02,sh.600004,15.0500,15.1600,14.7800,14.8200,15912764,236823576.8600,3,0.769000,1,-1.068100,85.546804,1.863513,4.961636,-84.386735,0
2020-09-03,sh.600004,14.8600,15.1400,14.5200,14.7600,21404888,318636916.0200,3,1.034400,1,-0.404900,85.200461,1.855968,4.941549,-84.045088,0
2020-09-04,sh.600004,14.5500,14.9500,14.2900,14.9300,18795853,274230544.1000,3,0.908300,1,1.151800,86.181767,1.877344,4.998463,-85.013087,0
2020-09-07,sh.600004,14.7800,15.0800,14.7100,14.8800,24786709,370129835.6600,3,1.197800,1,-0.334900,85.893147,1.871057,4.981724,-84.728381,0
2020-09-08,sh.600004,14.8800,15.4400,14.8800,15.4200,27562636,419199234.0300,3,1.332000,1,3.629000,89.010237,1.938958,5.162512,-87.803201,0
2020-09-09,sh.600004,15.3000,15.6300,15.1400,15.2800,22561737,346009891.4700,3,1.090300,1,-0.907900,88.202103,1.921354,5.115641,-87.006026,0
2020-09-10,sh.600004,15.4100,15.4300,15.0600,15.0800,19270067,293656571.7100,3,0.931200,1,-1.308900,87.047625,1.896206,5.048682,-85.867204,0
2020-09-11,sh.600004,15.1300,15.1300,14.2500,14.5000,35741133,519812614.8700,3,1.727200,1,-3.846200,83.699639,1.823275,4.854502,-82.564619,0
2020-09-14,sh.600004,14.5500,14.6000,14.1500,14.3100,29202382,419183356.7600,3,1.411200,1,-1.310300,82.602886,1.799384,4.790892,-81.482738,0
2020-09-15,sh.600004,14.2200,14.5600,14.1000,14.5600,24607225,353731017.5500,3,1.189100,1,1.747000,84.045983,1.830819,4.874590,-82.906265,0
2020-09-16,sh.600004,14.5200,14.9000,14.4800,14.6200,18543894,272273731.8000,3,0.896100,1,0.412100,84.392326,1.838364,4.894677,-83.247912,0
2020-09-17,sh.600004,14.5000,14.7000,14.3400,14.4800,13960105,202321979.1700,3,0.674600,1,-0.957600,83.584192,1.820760,4.847806,-82.450737,0
2020-09-18,sh.600004,14.4600,14.7000,14.3500,14.6800,15165183,220546611.3500,3,0.732900,1,1.381200,84.738669,1.845908,4.914765,-83.589559,0
2020-09-21,sh.600004,14.6900,14.7100,14.3700,14.4200,13287070,192448884.2400,3,0.642100,1,-1.771100,83.237848,1.813215,4.827719,-82.109090,0
2020-09-22,sh.600004,14.2600,14.2600,13.9000,13.9800,24703388,347034171.2900,3,1.193800,1,-3.051300,80.697997,1.757888,4.680410,-79.603681,0
2020-09-23,sh.600004,14.0000,14.0900,13.8900,13.9400,11028876,154152591.7800,3,0.533000,1,-0.286100,80.467102,1.752859,4.667018,-79.375916,0
2020-09-24,sh.600004,13.9700,13.9800,13.7600,13.7800,13408437,185371556.3100,3,0.648000,1,-1.147800,79.543519,1.732740,4.613451,-78.464858,0
2020-09-25,sh.600004,13.8100,13.8500,13.5500,13.6300,10619129,145159968.1400,3,0.513200,1,-1.088500,78.677661,1.713878,4.563232,-77.610742,0
2020-09-28,sh.600004,13.6600,13.8400,13.6400,13.7600,7817199,107261694.0500,3,0.377800,1,0.953800,79.428072,1.730225,4.606755,-78.350976,0
2020-09-29,sh.600004,13.8100,13.8400,13.6400,13.6800,9286693,127398900.7600,3,0.448800,1,-0.581400,78.966280,1.720165,4.579972,-77.895447,0
2020-09-30,sh.600004,13.7000,13.7300,13.5200,13.6100,8751916,119252756.5200,3,0.422900,1,-0.511700,78.562213,1.711363,4.556536,-77.496859,0
