date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.600006,4.6100,4.7700,4.6100,4.7100,26603115,125482899.2800,3,1.330200,1,2.169200,19.217454,1.244646,0.712582,31.959521,0
2020-09-02,sh.600006,4.7400,4.7900,4.6600,4.7400,25575235,121142130.9400,3,1.278800,1,0.636900,19.339858,1.252573,0.717121,32.163084,0
2020-09-03,sh.600006,4.8000,4.8100,4.6700,4.6800,18084530,85558236.7700,3,0.904200,1,-1.265800,19.095050,1.236718,0.708043,31.755957,0
2020-09-04,sh.600006,4.6000,4.6900,4.5600,4.6800,14157686,65580236.4800,3,0.707900,1,0.000000,19.095050,1.236718,0.708043,31.755957,0
2020-09-07,sh.600006,4.6600,4.7300,4.6000,4.6200,15392200,71996795.6400,3,0.769600,1,-1.282100,18.850242,1.220862,0.698966,31.348829,0
2020-09-08,sh.600006,4.6200,4.7900,4.6200,4.7600,27685531,130941031.8300,3,1.384300,1,3.030300,19.421461,1.257858,0.720147,32.298794,0
2020-09-09,sh.600006,4.7100,4.8200,4.7000,4.7300,28775424,137168080.0700,3,1.438800,1,-0.630300,19.299057,1.249931,0.715608,32.095230,0
2020-09-10,sh.600006,4.7600,4.9500,4.7000,4.8400,53777868,260502766.1900,3,2.688900,1,2.325600,19.747872,1.278999,0.732250,32.841630,0
2020-09-11,sh.600006,4.7900,4.8700,4.6400,4.8100,35308238,167238614.1500,3,1.765400,1,-0.619800,19.625468,1.271071,0.727711,32.638067,0
2020-09-14,sh.600006,4.8000,4.9500,4.7700,4.9200,36378150,177933932.6900,3,1.818900,1,2.286900,20.074283,1.300139,0.744353,33.384467,0
2020-09-15,sh.600006,4.9000,4.9000,4.7600,4.8600,30202889,146160354.1500,3,1.510100,1,-1.219500,19.829475,1.284284,0.735276,32.977340,0
2020-09-16,sh.600006,4.8500,5.0500,4.7700,4.9800,50492454,250195865.4100,3,2.524600,1,2.469100,20.319092,1.315995,0.753431,33.791595,0
2020-09-17,sh.600006,4.9700,5.1800,4.9200,5.0700,64383764,326200546.9000,3,3.219200,1,1.807200,20.686304,1.339778,0.767047,34.402286,0
2020-09-18,sh.600006,5.0300,5.1300,4.9800,5.0500,45788698,230345373.3700,3,2.289400,1,-0.394500,20.604701,1.334493,0.764021,34.266577,0
2020-09-21,sh.600006,5.0400,5.0600,4.9000,4.9400,37337210,185261489.9000,3,1.866900,1,-2.178200,20.155886,1.305424,0.747379,33.520177,0
2020-09-22,sh.600006,4.8800,4.9000,4.7800,4.8000,29260998,141335750.4500,3,1.463000,1,-2.834000,19.584667,1.268429,0.726198,32.570212,0
2020-09-23,sh.600006,4.8200,4.8400,4.7500,4.8100,16982562,81526302.7100,3,0.849100,1,0.208300,19.625468,1.271071,0.727711,32.638067,0
2020-09-24,sh.600006,4.7800,4.8600,4.6500,4.8200,29002702,137954465.9800,3,1.450100,1,0.207900,19.666269,1.273714,0.729224,32.705921,0
2020-09-25,sh.600006,4.8500,4.8600,4.6800,4.8400,23131212,110215742.2000,3,1.156600,1,0.414900,19.747872,1.278999,0.732250,32.841630,0
2020-09-28,sh.600006,4.8200,4.9200,4.7700,4.8600,18374638,89339514.4100,3,0.918700,1,0.413200,19.829475,1.284284,0.735276,32.977340,0
2020-09-29,sh.600006,4.8500,4.9000,4.8000,4.8600,14989243,72748862.3300,3,0.749500,1,0.000000,19.829475,1.284284,0.735276,32.977340,0
2020-09-30,sh.600006,4.8600,4.9300,4.7900,4.8700,19267688,93772605.0800,3,0.963400,1,0.205800,19.870276,1.286926,0.736789,33.045194,0
