date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.600012,5.3800,5.4300,5.3400,5.3800,2597710,13964819.7000,3,0.222900,1,-0.185500,13.533701,0.852593,3.883440,-8.667396,0
2020-09-02,sh.600012,5.3900,5.4600,5.3700,5.4200,3461820,18735622.5000,3,0.297000,1,0.743500,13.634323,0.858932,3.912313,-8.731838,0
2020-09-03,sh.600012,5.4200,5.4500,5.4000,5.4000,2790449,15122929.8400,3,0.239400,1,-0.369000,13.584012,0.855762,3.897877,-8.699617,0
2020-09-04,sh.600012,5.3600,5.4300,5.3100,5.4000,4683530,25230107.5000,3,0.401800,1,0.000000,13.584012,0.855762,3.897877,-8.699617,0
2020-09-07,sh.600012,5.4100,5.4300,5.3300,5.3400,3970194,21379959.5500,3,0.340600,1,-1.111100,13.433078,0.846254,3.854567,-8.602955,0
2020-09-08,sh.600012,5.3600,5.4000,5.3300,5.3900,2966234,15916789.5200,3,0.254500,1,0.936300,13.558856,0.854178,3.890659,-8.683507,0
2020-09-09,sh.600012,5.3600,5.4000,5.3400,5.3800,3426476,18426566.0800,3,0.294000,1,-0.185500,13.533701,0.852593,3.883440,-8.667396,0
2020-09-10,sh.600012,5.3700,5.4000,5.2300,5.3000,3422781,18301010.3000,3,0.293600,1,-1.487000,13.332456,0.839915,3.825694,-8.538513,0
2020-09-11,sh.600012,5.3000,5.3100,5.2200,5.2400,3536700,18564915.3700,3,0.303400,1,-1.132100,13.181522,0.830406,3.782384,-8.441851,0
2020-09-14,sh.600012,5.2600,5.3100,5.2500,5.3000,2631249,13908789.4300,3,0.225700,1,1.145000,13.332456,0.839915,3.825694,-8.538513,0
2020-09-15,sh.600012,5.2900,5.3200,5.2700,5.2900,2208600,11701161.0000,3,0.189500,1,-0.188700,13.307300,0.838330,3.818476,-8.522403,0
2020-09-16,sh.600012,5.3000,5.3100,5.2700,5.2700,1980918,10471353.0400,3,0.169900,1,-0.378100,13.256989,0.835161,3.804039,-8.490182,0
2020-09-17,sh.600012,5.3000,5.3100,5.2700,5.2900,1307500,6919204.8200,3,0.112200,1,0.379500,13.307300,0.838330,3.818476,-8.522403,0
2020-09-18,sh.600012,5.2900,5.4300,5.2900,5.4200,5213957,28082264.6800,3,0.447300,1,2.457500,13.634323,0.858932,3.912313,-8.731838,0
2020-09-21,sh.600012,5.4200,5.4500,5.3200,5.3800,3872289,20783260.6800,3,0.332200,1,-0.738000,13.533701,0.852593,3.883440,-8.667396,0
2020-09-22,sh.600012,5.3600,5.3600,5.2800,5.3000,2842231,15121658.9900,3,0.243800,1,-1.487000,13.332456,0.839915,3.825694,-8.538513,0
2020-09-23,sh.600012,5.3100,5.3600,5.2900,5.3000,2417407,12849058.0300,3,0.207400,1,0.000000,13.332456,0.839915,3.825694,-8.538513,0
2020-09-24,sh.600012,5.2900,5.3200,5.2400,5.2500,2316858,12197255.6600,3,0.198800,1,-0.943400,13.206678,0.831991,3.789602,-8.457961,0
2020-09-25,sh.600012,5.2800,5.2800,5.2300,5.2500,1400661,7349312.0300,3,0.120200,1,0.000000,13.206678,0.831991,3.789602,-8.457961,0
2020-09-28,sh.600012,5.2400,5.2800,5.2100,5.2400,1502778,7878060.9500,3,0.128900,1,-0.190500,13.181522,0.830406,3.782384,-8.441851,0
2020-09-29,sh.600012,5.2400,5.2900,5.2100,5.2400,1748139,9162043.9700,3,0.150000,1,0.000000,13.181522,0.830406,3.782384,-8.441851,0
2020-09-30,sh.600012,5.2500,5.2500,5.1500,5.1800,2607900,13576103.0000,3,0.223700,1,-1.145000,13.030589,0.820898,3.739074,-8.345188,0
