date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.600016,5.5300,5.5800,5.5200,5.5600,108562352,602581109.6300,3,0.306100,1,0.180200,4.806220,0.532022,1.279239,22.627835,0
2020-09-02,sh.600016,5.5500,5.5600,5.5100,5.5300,102254656,565657611.5600,3,0.288300,1,-0.539600,4.780287,0.529151,1.272337,22.505742,0
2020-09-03,sh.600016,5.5400,5.5600,5.5200,5.5300,74763572,413754810.2700,3,0.210800,1,0.000000,4.780287,0.529151,1.272337,22.505742,0
2020-09-04,sh.600016,5.5200,5.5300,5.5000,5.5200,94361101,519877508.2800,3,0.266100,1,-0.180800,4.771643,0.528194,1.270036,22.465045,0
2020-09-07,sh.600016,5.5000,5.5200,5.4700,5.4800,93151491,512655751.4400,3,0.262700,1,-0.724600,4.737066,0.524367,1.260833,22.302254,0
2020-09-08,sh.600016,5.4900,5.5200,5.4800,5.5100,82958526,456691717.4000,3,0.233900,1,0.547400,4.762999,0.527237,1.267735,22.424347,0
2020-09-09,sh.600016,5.5000,5.5100,5.4800,5.4800,86268251,474103596.3000,3,0.243300,1,-0.544500,4.737066,0.524367,1.260833,22.302254,0
2020-09-10,sh.600016,5.5000,5.5000,5.4500,5.4700,90140197,493064064.4600,3,0.254200,1,-0.182500,4.728422,0.523410,1.258532,22.261557,0
2020-09-11,sh.600016,5.4600,5.4700,5.4400,5.4600,60747814,331312169.8100,3,0.171300,1,-0.182800,4.719777,0.522453,1.256231,22.220859,0
2020-09-14,sh.600016,5.4500,5.4700,5.4400,5.4500,51251397,279535959.0400,3,0.144500,1,-0.183200,4.711133,0.521496,1.253930,22.180162,0
2020-09-15,sh.600016,5.4500,5.4600,5.4400,5.4500,47088247,256695021.4700,3,0.132800,1,0.000000,4.711133,0.521496,1.253930,22.180162,0
2020-09-16,sh.600016,5.4600,5.4800,5.4400,5.4700,54098408,295430139.9100,3,0.152600,1,0.367000,4.728422,0.523410,1.258532,22.261557,0
2020-09-17,sh.600016,5.4600,5.4700,5.4400,5.4400,59952080,326664709.5300,3,0.169100,1,-0.548400,4.702489,0.520539,1.251630,22.139464,0
2020-09-18,sh.600016,5.4500,5.5000,5.4300,5.5000,109399930,598946496.2200,3,0.308500,1,1.102900,4.754355,0.526280,1.265434,22.383650,0
2020-09-21,sh.600016,5.5000,5.5100,5.4500,5.4500,64848361,354877297.0000,3,0.182900,1,-0.909100,4.711133,0.521496,1.253930,22.180162,0
2020-09-22,sh.600016,5.4400,5.4700,5.4100,5.4200,78433733,426473273.2600,3,0.221200,1,-0.550500,4.685200,0.518625,1.247028,22.058069,0
2020-09-23,sh.600016,5.4200,5.4300,5.4000,5.4100,64037643,346479725.7900,3,0.180600,1,-0.184500,4.676556,0.517669,1.244727,22.017372,0
2020-09-24,sh.600016,5.4100,5.4100,5.3500,5.3700,68786063,368969311.6800,3,0.194000,1,-0.739400,4.641979,0.513841,1.235524,21.854581,0
2020-09-25,sh.600016,5.3600,5.3700,5.2900,5.3100,84297812,448966780.4300,3,0.237700,1,-1.117300,4.590113,0.508100,1.221719,21.610396,0
2020-09-28,sh.600016,5.3100,5.3400,5.3100,5.3300,38934553,207255764.0300,3,0.109800,1,0.376600,4.607402,0.510014,1.226321,21.691791,0
2020-09-29,sh.600016,5.3400,5.3500,5.3000,5.3000,41682451,222075267.5000,3,0.117500,1,-0.562900,4.581469,0.507143,1.219419,21.569699,0
2020-09-30,sh.600016,5.3200,5.3400,5.2900,5.3000,54891599,291700982.8700,3,0.154800,1,0.000000,4.581469,0.507143,1.219419,21.569699,0
