date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.600017,2.8300,2.8500,2.8100,2.8400,16677793,47295582.6100,3,0.542300,1,0.709200,13.270170,0.719542,1.570720,-16.859869,0
2020-09-02,sh.600017,2.8500,2.8700,2.8300,2.8700,21772669,62157497.2600,3,0.707900,1,1.056300,13.410348,0.727143,1.587312,-17.037967,0
2020-09-03,sh.600017,2.8700,2.9600,2.8600,2.9200,41662328,121401904.1500,3,1.354600,1,1.742200,13.643977,0.739811,1.614966,-17.334795,0
2020-09-04,sh.600017,2.8800,2.9600,2.8500,2.9300,27919235,81250736.5500,3,0.907700,1,0.342500,13.690703,0.742344,1.620497,-17.394161,0
2020-09-07,sh.600017,2.9300,2.9900,2.9100,2.9300,33234203,98164104.7500,3,1.080600,1,0.000000,13.690703,0.742344,1.620497,-17.394161,0
2020-09-08,sh.600017,2.9500,3.0700,2.9300,3.0600,59013029,178022055.2300,3,1.918700,1,4.436900,14.298141,0.775281,1.692396,-18.165916,0
2020-09-09,sh.600017,3.0400,3.0800,3.0000,3.0600,42131982,128081923.3000,3,1.369900,1,0.000000,14.298141,0.775281,1.692396,-18.165916,0
2020-09-10,sh.600017,3.0900,3.0900,2.9000,2.9100,37488949,111511828.0400,3,1.218900,1,-4.902000,13.597251,0.737277,1.609435,-17.275430,0
2020-09-11,sh.600017,2.8900,2.9300,2.8600,2.9000,20549112,59388346.6800,3,0.668100,1,-0.343600,13.550525,0.734744,1.603905,-17.216064,0
2020-09-14,sh.600017,2.9000,2.9100,2.8500,2.8700,20266116,58296418.9200,3,0.658900,1,-1.034500,13.410348,0.727143,1.587312,-17.037967,0
2020-09-15,sh.600017,2.8700,2.8800,2.8400,2.8500,13116508,37427229.7900,3,0.426500,1,-0.696900,13.316896,0.722076,1.576251,-16.919235,0
2020-09-16,sh.600017,2.8500,2.8900,2.8400,2.8700,12232100,35040057.0000,3,0.397700,1,0.701800,13.410348,0.727143,1.587312,-17.037967,0
2020-09-17,sh.600017,2.8500,2.8800,2.8400,2.8600,10261200,29336280.0000,3,0.333600,1,-0.348400,13.363622,0.724609,1.581782,-16.978601,0
2020-09-18,sh.600017,2.8600,2.9100,2.8500,2.9100,13319116,38452495.5500,3,0.433000,1,1.748300,13.597251,0.737277,1.609435,-17.275430,0
2020-09-21,sh.600017,2.9100,2.9400,2.8700,2.8900,13254300,38429918.0000,3,0.430900,1,-0.687300,13.503800,0.732210,1.598374,-17.156698,0
2020-09-22,sh.600017,2.8700,2.8800,2.8200,2.8300,14331785,40847796.7500,3,0.466000,1,-2.076100,13.223444,0.717008,1.565190,-16.800504,0
2020-09-23,sh.600017,2.8400,2.8500,2.8200,2.8400,9027900,25577526.0000,3,0.293500,1,0.353400,13.270170,0.719542,1.570720,-16.859869,0
2020-09-24,sh.600017,2.8200,2.8300,2.7600,2.7700,11741264,32687066.7800,3,0.381700,1,-2.464800,12.943088,0.701807,1.532005,-16.444309,0
2020-09-25,sh.600017,2.7800,2.7900,2.7600,2.7900,6650300,18469331.0000,3,0.216200,1,0.722000,13.036540,0.706874,1.543067,-16.563041,0
2020-09-28,sh.600017,2.7800,2.8000,2.7500,2.7600,7195050,19949584.5000,3,0.233900,1,-1.075300,12.896362,0.699273,1.526475,-16.384944,0
2020-09-29,sh.600017,2.7600,2.8000,2.7500,2.7700,8545892,23724875.9400,3,0.277900,1,0.362300,12.943088,0.701807,1.532005,-16.444309,0
2020-09-30,sh.600017,2.7700,2.7900,2.7300,2.7500,7052198,19477647.5200,3,0.229300,1,-0.722000,12.849636,0.696740,1.520944,-16.325578,0
