date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.600018,4.4100,4.4300,4.4000,4.4200,16144402,71288440.4500,3,0.069700,1,-0.450500,12.011053,1.240569,3.310367,29.531692,0
2020-09-02,sh.600018,4.4200,4.4300,4.3900,4.4000,16537716,72827851.9900,3,0.071400,1,-0.452500,11.956704,1.234955,3.295388,29.398065,0
2020-09-03,sh.600018,4.4100,4.4200,4.3900,4.4000,14576929,64171505.2200,3,0.062900,1,0.000000,11.956704,1.234955,3.295388,29.398065,0
2020-09-04,sh.600018,4.3700,4.3800,4.3400,4.3700,17664150,76989713.5200,3,0.076200,1,-0.681800,11.875181,1.226535,3.272920,29.197623,0
2020-09-07,sh.600018,4.3700,4.4000,4.3300,4.3400,19545659,85378173.8000,3,0.084300,1,-0.686500,11.793658,1.218115,3.250451,28.997182,0
2020-09-08,sh.600018,4.3500,4.3800,4.3300,4.3700,14568231,63480576.3800,3,0.062900,1,0.691200,11.875181,1.226535,3.272920,29.197623,0
2020-09-09,sh.600018,4.3600,4.4400,4.3500,4.4100,33080320,145812299.8800,3,0.142700,1,0.915300,11.983878,1.237762,3.302878,29.464878,0
2020-09-10,sh.600018,4.4200,4.4500,4.3200,4.3300,24693097,107972190.0700,3,0.106600,1,-1.814100,11.766484,1.215308,3.242962,28.930368,0
2020-09-11,sh.600018,4.3100,4.3200,4.2700,4.3100,16984995,72904801.7000,3,0.073300,1,-0.461900,11.712135,1.209695,3.227983,28.796741,0
2020-09-14,sh.600018,4.3100,4.3500,4.2900,4.3300,11081100,47901773.7700,3,0.047800,1,0.464000,11.766484,1.215308,3.242962,28.930368,0
2020-09-15,sh.600018,4.3300,4.3500,4.2800,4.3400,14061725,60525439.9700,3,0.060700,1,0.230900,11.793658,1.218115,3.250451,28.997182,0
2020-09-16,sh.600018,4.3300,4.3800,4.3000,4.3200,20491794,88850564.6800,3,0.088400,1,-0.460800,11.739310,1.212502,3.235472,28.863554,0
2020-09-17,sh.600018,4.3000,4.3400,4.3000,4.3200,12775584,55138008.5300,3,0.055100,1,0.000000,11.739310,1.212502,3.235472,28.863554,0
2020-09-18,sh.600018,4.3400,4.4300,4.3200,4.4200,30174491,132475910.8100,3,0.130200,1,2.314800,12.011053,1.240569,3.310367,29.531692,0
2020-09-21,sh.600018,4.4300,4.4600,4.3900,4.4000,16106062,71216709.4000,3,0.069500,1,-0.452500,11.956704,1.234955,3.295388,29.398065,0
2020-09-22,sh.600018,4.3800,4.4200,4.3200,4.3400,20178412,88254969.3000,3,0.087100,1,-1.363600,11.793658,1.218115,3.250451,28.997182,0
2020-09-23,sh.600018,4.3600,4.3800,4.3300,4.3300,11369137,49438737.9500,3,0.049100,1,-0.230400,11.766484,1.215308,3.242962,28.930368,0
2020-09-24,sh.600018,4.3300,4.3300,4.2500,4.2600,20200928,86393615.0900,3,0.087200,1,-1.616600,11.576264,1.195661,3.190535,28.462672,0
2020-09-25,sh.600018,4.2600,4.2800,4.1800,4.2000,17306333,72952324.9500,3,0.074700,1,-1.408500,11.413218,1.178821,3.145598,28.061789,0
2020-09-28,sh.600018,4.2100,4.2300,4.1800,4.1800,9622094,40378465.6400,3,0.041500,1,-0.476200,11.358869,1.173208,3.130619,27.928161,0
2020-09-29,sh.600018,4.1900,4.2200,4.1700,4.1900,9896185,41544075.5200,3,0.042700,1,0.239200,11.386043,1.176014,3.138108,27.994975,0
2020-09-30,sh.600018,4.1900,4.2000,4.1600,4.1800,10223576,42760115.1400,3,0.044100,1,-0.238700,11.358869,1.173208,3.130619,27.928161,0
