date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.600021,7.5300,7.5500,7.4400,7.5300,9553215,71597687.3500,3,0.407000,1,0.000000,18.158541,1.211539,0.825879,16.299310,0
2020-09-02,sh.600021,7.5000,7.5300,7.4400,7.4800,8145371,60950274.3800,3,0.347000,1,-0.664000,18.037966,1.203494,0.820395,16.191081,0
2020-09-03,sh.600021,7.5500,7.6100,7.5300,7.5800,13285861,100569218.0800,3,0.566000,1,1.336900,18.279116,1.219584,0.831363,16.407539,0
2020-09-04,sh.600021,7.4700,7.5600,7.4300,7.5500,8260145,61879120.0100,3,0.351900,1,-0.395800,18.206771,1.214757,0.828072,16.342602,0
2020-09-07,sh.600021,7.5000,7.5600,7.4800,7.5200,6642220,49946721.0000,3,0.283000,1,-0.397400,18.134426,1.209930,0.824782,16.277664,0
2020-09-08,sh.600021,7.5000,7.5900,7.4900,7.5600,5880800,44431211.3600,3,0.250500,1,0.531900,18.230886,1.216366,0.829169,16.364248,0
2020-09-09,sh.600021,7.5300,7.6700,7.5100,7.5900,8963156,68098746.5900,3,0.381900,1,0.396800,18.303230,1.221193,0.832459,16.429185,0
2020-09-10,sh.600021,7.6500,7.6500,7.5000,7.5200,7719500,58226420.8700,3,0.328900,1,-0.922300,18.134426,1.209930,0.824782,16.277664,0
2020-09-11,sh.600021,7.4900,7.5800,7.4800,7.5700,4676390,35305538.1200,3,0.199200,1,0.664900,18.255001,1.217975,0.830266,16.385893,0
2020-09-14,sh.600021,7.5800,7.6100,7.5400,7.5800,4678371,35389175.3000,3,0.199300,1,0.132100,18.279116,1.219584,0.831363,16.407539,0
2020-09-15,sh.600021,7.5800,7.5800,7.5200,7.5700,3145996,23747200.2600,3,0.134000,1,-0.131900,18.255001,1.217975,0.830266,16.385893,0
2020-09-16,sh.600021,7.5700,7.6700,7.5300,7.6400,5432063,41398463.5400,3,0.231400,1,0.924700,18.423805,1.229237,0.837943,16.537414,0
2020-09-17,sh.600021,7.6400,7.7200,7.5900,7.6600,6467961,49633900.6800,3,0.275600,1,0.261800,18.472035,1.232455,0.840137,16.580706,0
2020-09-18,sh.600021,7.6800,7.7300,7.6700,7.6800,5573931,42912335.5800,3,0.237500,1,0.261100,18.520265,1.235673,0.842330,16.623998,0
2020-09-21,sh.600021,7.7100,7.7100,7.6400,7.7000,5142987,39429601.6100,3,0.219100,1,0.260400,18.568495,1.238891,0.844524,16.667289,0
2020-09-22,sh.600021,7.6700,7.7000,7.6200,7.6700,4053904,31051984.1800,3,0.172700,1,-0.389600,18.496150,1.234064,0.841234,16.602352,0
2020-09-23,sh.600021,7.6900,7.7300,7.6500,7.6700,3754010,28816641.7000,3,0.159900,1,0.000000,18.496150,1.234064,0.841234,16.602352,0
2020-09-24,sh.600021,7.6500,7.6500,7.4800,7.5100,6682686,50212281.3800,3,0.284700,1,-2.086000,18.110311,1.208321,0.823685,16.256018,0
2020-09-25,sh.600021,7.5200,7.5400,7.4400,7.4400,6173582,46122382.8300,3,0.263000,1,-0.932100,17.941507,1.197058,0.816008,16.104498,0
2020-09-28,sh.600021,7.4400,7.4900,7.4000,7.4400,4140500,30787273.0000,3,0.176400,1,0.000000,17.941507,1.197058,0.816008,16.104498,0
2020-09-29,sh.600021,7.4300,7.6000,7.4300,7.5300,4674586,35284645.0700,3,0.199200,1,1.209700,18.158541,1.211539,0.825879,16.299310,0
2020-09-30,sh.600021,7.5600,7.5900,7.4500,7.5100,4409101,33107256.4300,3,0.187800,1,-0.265600,18.110311,1.208321,0.823685,16.256018,0
