date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.600022,1.3900,1.3900,1.3700,1.3900,37954351,52395691.2500,3,0.346700,1,0.724600,43.851738,0.731892,0.192880,13.182824,0
2020-09-02,sh.600022,1.3800,1.3900,1.3600,1.3800,59039432,80944900.0100,3,0.539300,1,-0.719400,43.536258,0.726627,0.191493,13.087983,0
2020-09-03,sh.600022,1.3700,1.4000,1.3600,1.3800,68296259,94343740.2100,3,0.623900,1,0.000000,43.536258,0.726627,0.191493,13.087983,0
2020-09-04,sh.600022,1.3700,1.3700,1.3600,1.3700,39745968,54220393.4800,3,0.363100,1,-0.724600,43.220778,0.721361,0.190105,12.993143,0
2020-09-07,sh.600022,1.3700,1.3900,1.3600,1.3700,56643823,77889129.5400,3,0.517500,1,0.000000,43.220778,0.721361,0.190105,12.993143,0
2020-09-08,sh.600022,1.3700,1.4500,1.3600,1.4400,202972978,286699981.1200,3,1.854200,1,5.109500,45.429139,0.758219,0.199819,13.657026,0
2020-09-09,sh.600022,1.4200,1.5800,1.4100,1.5800,571086560,872723724.6000,3,5.217000,1,9.722200,49.845861,0.831935,0.219245,14.984793,0
2020-09-10,sh.600022,1.6000,1.6300,1.4600,1.4800,417313696,639098817.2200,3,3.812300,1,-6.329100,46.691059,0.779281,0.205369,14.036388,0
2020-09-11,sh.600022,1.4500,1.4900,1.4100,1.4500,206175912,298958780.3600,3,1.883500,1,-2.027000,45.744619,0.763485,0.201206,13.751867,0
2020-09-14,sh.600022,1.4500,1.4800,1.4200,1.4600,186346672,269716807.6600,3,1.702300,1,0.689700,46.060099,0.768750,0.202594,13.846707,0
2020-09-15,sh.600022,1.4400,1.4500,1.4200,1.4300,122096344,174533171.8600,3,1.115400,1,-2.054800,45.113659,0.752954,0.198431,13.562186,0
2020-09-16,sh.600022,1.4300,1.4600,1.4100,1.4400,130560437,187634820.7700,3,1.192700,1,0.699300,45.429139,0.758219,0.199819,13.657026,0
2020-09-17,sh.600022,1.4300,1.4400,1.4100,1.4200,96247528,137117436.4300,3,0.879200,1,-1.388900,44.798179,0.747688,0.197043,13.467345,0
2020-09-18,sh.600022,1.4200,1.4400,1.4000,1.4200,107481235,152375440.0200,3,0.981900,1,0.000000,44.798179,0.747688,0.197043,13.467345,0
2020-09-21,sh.600022,1.4300,1.4400,1.4100,1.4100,80349636,114121672.3400,3,0.734000,1,-0.704200,44.482698,0.742423,0.195656,13.372505,0
2020-09-22,sh.600022,1.4000,1.4100,1.3800,1.3800,92571007,129068644.8800,3,0.845700,1,-2.127700,43.536258,0.726627,0.191493,13.087983,0
2020-09-23,sh.600022,1.3800,1.3900,1.3700,1.3800,47300134,65232716.3100,3,0.432100,1,0.000000,43.536258,0.726627,0.191493,13.087983,0
2020-09-24,sh.600022,1.3700,1.3700,1.3500,1.3600,73320253,99640628.3400,3,0.669800,1,-1.449300,42.905298,0.716096,0.188718,12.898303,0
2020-09-25,sh.600022,1.3500,1.3700,1.3500,1.3500,39907598,54191168.9800,3,0.364600,1,-0.735300,42.589818,0.710831,0.187330,12.803462,0
2020-09-28,sh.600022,1.3500,1.3700,1.3500,1.3600,46154414,62793323.9300,3,0.421600,1,0.740700,42.905298,0.716096,0.188718,12.898303,0
2020-09-29,sh.600022,1.3700,1.3800,1.3600,1.3700,52079628,71359839.8400,3,0.475800,1,0.735300,43.220778,0.721361,0.190105,12.993143,0
2020-09-30,sh.600022,1.3700,1.3700,1.3500,1.3500,43807321,59439286.2500,3,0.400200,1,-1.459900,42.589818,0.710831,0.187330,12.803462,0
