date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.600025,4.0800,4.1100,4.0200,4.0600,34376916,139298381.6500,3,0.385000,1,-0.245700,17.754001,1.605409,3.997134,-215.102965,0
2020-09-02,sh.600025,4.0900,4.2100,4.0600,4.1300,72094634,298807793.1500,3,0.807500,1,1.724100,18.060104,1.633089,4.066050,-218.811636,0
2020-09-03,sh.600025,4.1300,4.1700,4.1000,4.1300,33183975,137068915.6300,3,0.371700,1,0.000000,18.060104,1.633089,4.066050,-218.811636,0
2020-09-04,sh.600025,4.0800,4.1500,4.0700,4.0900,33405459,137003384.1600,3,0.374200,1,-0.968500,17.885188,1.617272,4.026669,-216.692395,0
2020-09-07,sh.600025,4.1000,4.1300,4.0500,4.0500,37837037,154578949.1400,3,0.423800,1,-0.978000,17.710272,1.601455,3.987289,-214.573154,0
2020-09-08,sh.600025,4.0800,4.2200,4.0500,4.1900,70176678,292814384.6300,3,0.786000,1,3.456800,18.322479,1.656814,4.125121,-221.990498,0
2020-09-09,sh.600025,4.1900,4.2500,4.1600,4.1900,41708693,175378375.4000,3,0.467200,1,0.000000,18.322479,1.656814,4.125121,-221.990498,0
2020-09-10,sh.600025,4.1900,4.2300,4.1500,4.1700,35375187,148217865.4500,3,0.396200,1,-0.477300,18.235021,1.648905,4.105430,-220.930877,0
2020-09-11,sh.600025,4.1400,4.2000,4.1300,4.1600,28163423,117184641.7400,3,0.315500,1,-0.239800,18.191291,1.644951,4.095585,-220.401067,0
2020-09-14,sh.600025,4.1800,4.2600,4.1300,4.2500,47352475,199038821.6300,3,0.530400,1,2.163500,18.584853,1.680539,4.184192,-225.169359,0
2020-09-15,sh.600025,4.2600,4.2900,4.2100,4.2500,33235004,141379658.1200,3,0.372300,1,0.000000,18.584853,1.680539,4.184192,-225.169359,0
2020-09-16,sh.600025,4.2600,4.3600,4.2300,4.2900,45236654,194305088.4200,3,0.506700,1,0.941200,18.759769,1.696356,4.223572,-227.288600,0
2020-09-17,sh.600025,4.2900,4.3300,4.2000,4.2200,41872303,177867815.6600,3,0.469000,1,-1.631700,18.453666,1.668676,4.154656,-223.579929,0
2020-09-18,sh.600025,4.2400,4.2600,4.2100,4.2500,32016707,135599732.1200,3,0.358600,1,0.710900,18.584853,1.680539,4.184192,-225.169359,0
2020-09-21,sh.600025,4.2700,4.3400,4.2300,4.3200,42369786,181960624.7800,3,0.474600,1,1.647100,18.890957,1.708219,4.253108,-228.878031,0
2020-09-22,sh.600025,4.3100,4.3200,4.1600,4.1800,47342298,200604501.5600,3,0.530300,1,-3.240700,18.278750,1.652860,4.115276,-221.460688,0
2020-09-23,sh.600025,4.2100,4.2700,4.1800,4.2200,24848001,105123641.4500,3,0.278300,1,0.956900,18.453666,1.668676,4.154656,-223.579929,0
2020-09-24,sh.600025,4.2100,4.2200,4.1000,4.1200,36611538,151365885.6100,3,0.410100,1,-2.369700,18.016375,1.629134,4.056205,-218.281826,0
2020-09-25,sh.600025,4.1300,4.1600,3.9900,4.0200,55116734,222657250.7200,3,0.617300,1,-2.427200,17.579085,1.589592,3.957753,-212.983723,0
2020-09-28,sh.600025,4.0500,4.1100,4.0100,4.0400,23847726,96587551.9900,3,0.267100,1,0.497500,17.666543,1.597501,3.977443,-214.043344,0
2020-09-29,sh.600025,4.0500,4.2800,4.0400,4.2600,77378766,322287194.0200,3,0.866700,1,5.445500,18.628582,1.684493,4.194037,-225.699170,0
2020-09-30,sh.600025,4.2600,4.3000,4.1500,4.1700,47199908,199297438.8900,3,0.528700,1,-2.112700,18.235021,1.648905,4.105430,-220.930877,0
