date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.600027,3.9900,4.0500,3.9700,4.0200,32228327,128984082.2000,3,0.395600,1,0.249400,9.600203,0.858948,0.435490,-12.235603,0
2020-09-02,sh.600027,4.0300,4.0300,3.9500,3.9600,35198071,139979089.2900,3,0.432100,1,-1.492500,9.456917,0.846128,0.428990,-12.052982,0
2020-09-03,sh.600027,3.9700,3.9800,3.9000,3.9200,34100010,134137417.5100,3,0.418600,1,-1.010100,9.361392,0.837582,0.424657,-11.931235,0
2020-09-04,sh.600027,3.8800,3.9500,3.8500,3.8900,23391319,91123301.0300,3,0.287200,1,-0.765300,9.289749,0.831171,0.421407,-11.839924,0
2020-09-07,sh.600027,3.8900,3.9300,3.8000,3.8000,28389224,109629610.7000,3,0.348500,1,-2.313600,9.074819,0.811941,0.411657,-11.565993,0
2020-09-08,sh.600027,3.8300,3.8700,3.7900,3.8600,27651193,106133726.7200,3,0.339500,1,1.578900,9.218106,0.824761,0.418157,-11.748614,0
2020-09-09,sh.600027,3.8400,3.9600,3.8200,3.8700,37327400,145261814.1700,3,0.458200,1,0.259100,9.241987,0.826898,0.419240,-11.779051,0
2020-09-10,sh.600027,3.8900,3.9100,3.7600,3.7600,33266900,126866802.0000,3,0.408400,1,-2.842400,8.979295,0.803395,0.407324,-11.444246,0
2020-09-11,sh.600027,3.7600,3.7800,3.7200,3.7700,19918525,74666338.0000,3,0.244500,1,0.266000,9.003176,0.805531,0.408407,-11.474683,0
2020-09-14,sh.600027,3.7600,3.7900,3.6800,3.7200,30339411,112929481.3900,3,0.372500,1,-1.326300,8.883770,0.794848,0.402991,-11.322498,0
2020-09-15,sh.600027,3.7200,3.7400,3.6900,3.7300,21263189,78895472.2800,3,0.261000,1,0.268800,8.907651,0.796984,0.404074,-11.352935,0
2020-09-16,sh.600027,3.7200,3.7900,3.7000,3.7300,18424383,68896446.9300,3,0.226200,1,0.000000,8.907651,0.796984,0.404074,-11.352935,0
2020-09-17,sh.600027,3.7300,3.7400,3.6900,3.7200,16287488,60585404.1200,3,0.200000,1,-0.268100,8.883770,0.794848,0.402991,-11.322498,0
2020-09-18,sh.600027,3.7400,3.7900,3.7000,3.7600,32803078,122743440.4600,3,0.402700,1,1.075300,8.979295,0.803395,0.407324,-11.444246,0
2020-09-21,sh.600027,3.7800,3.7800,3.6800,3.6900,40033047,148626136.1300,3,0.491500,1,-1.861700,8.812127,0.788438,0.399741,-11.231188,0
2020-09-22,sh.600027,3.6700,3.7100,3.6400,3.6600,17414679,63881523.1100,3,0.213800,1,-0.813000,8.740484,0.782028,0.396491,-11.139878,0
2020-09-23,sh.600027,3.6800,3.6900,3.6500,3.6800,13506109,49624581.8500,3,0.165800,1,0.546400,8.788246,0.786301,0.398657,-11.200751,0
2020-09-24,sh.600027,3.6600,3.6700,3.5700,3.5900,22831714,82220986.9000,3,0.280300,1,-2.445700,8.573316,0.767071,0.388908,-10.926820,0
2020-09-25,sh.600027,3.5800,3.6100,3.5600,3.5900,13646185,48890455.5600,3,0.167500,1,0.000000,8.573316,0.767071,0.388908,-10.926820,0
2020-09-28,sh.600027,3.5900,3.6800,3.5800,3.6700,31755637,115253194.7600,3,0.389800,1,2.228400,8.764365,0.784164,0.397574,-11.170314,0
2020-09-29,sh.600027,3.6700,3.6700,3.6000,3.6200,17161896,62335337.3600,3,0.210700,1,-1.362400,8.644959,0.773481,0.392158,-11.018130,0
2020-09-30,sh.600027,3.6200,3.6300,3.5200,3.5600,26662186,95207115.9500,3,0.327300,1,-1.657500,8.501673,0.760661,0.385658,-10.835509,0
