date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.600031,22.3300,22.4000,21.9500,22.2000,42424527,939907139.8600,3,0.500700,1,0.271000,14.551316,3.771701,2.308865,-849.322002,0
2020-09-02,sh.600031,22.5800,23.3500,22.2900,23.2100,99976739,2286144915.1500,3,1.180000,1,4.549500,15.213336,3.943297,2.413908,-887.962327,0
2020-09-03,sh.600031,23.6000,24.3900,23.3000,23.7800,113489617,2705479227.2800,3,1.339500,1,2.455800,15.586951,4.040138,2.473190,-909.769243,0
2020-09-04,sh.600031,23.2600,23.7000,22.9000,23.1800,74518765,1728850788.8500,3,0.879500,1,-2.523100,15.193672,3.938200,2.410788,-886.814595,0
2020-09-07,sh.600031,23.2600,23.3000,22.1500,22.4100,74451590,1690659967.3900,3,0.878700,1,-3.321800,14.688964,3.807379,2.330706,-857.356129,0
2020-09-08,sh.600031,22.6000,23.3800,22.4300,23.3800,74171473,1698997901.6700,3,0.875400,1,4.328400,15.324765,3.972179,2.431589,-894.466144,0
2020-09-09,sh.600031,23.0200,23.0300,22.0700,22.3900,78889076,1769326525.6600,3,0.931100,1,-4.234400,14.675855,3.803982,2.328626,-856.590974,0
2020-09-10,sh.600031,22.5700,23.2000,22.5500,22.8600,73463861,1686139539.2500,3,0.867100,1,2.099200,14.983923,3.883833,2.377507,-874.572115,0
2020-09-11,sh.600031,22.7400,23.1900,22.4000,23.0700,47551025,1087238126.0300,3,0.561200,1,0.918600,15.121571,3.919511,2.399348,-882.606242,0
2020-09-14,sh.600031,23.3000,23.5000,22.7300,22.9400,60591351,1390969677.6400,3,0.715100,1,-0.563500,15.036360,3.897425,2.385828,-877.632735,0
2020-09-15,sh.600031,22.9200,24.1000,22.6700,24.0200,91078096,2158226673.4500,3,1.074900,1,4.707900,15.744262,4.080913,2.498151,-918.951103,0
2020-09-16,sh.600031,23.9000,24.7000,23.8000,24.0500,81655067,1978847579.3300,3,0.963700,1,0.124900,15.763926,4.086010,2.501271,-920.098835,0
2020-09-17,sh.600031,23.9000,25.1900,23.8100,25.0600,113360404,2813510841.1300,3,1.337900,1,4.199600,16.425945,4.257605,2.606314,-958.739161,0
2020-09-18,sh.600031,24.8700,25.4500,24.5100,25.2000,86233891,2159126861.2500,3,1.017800,1,0.558700,16.517710,4.281391,2.620874,-964.095245,0
2020-09-21,sh.600031,25.1700,25.7600,25.0000,25.2200,61552387,1560267525.7700,3,0.726500,1,0.079400,16.530820,4.284789,2.622954,-964.860400,0
2020-09-22,sh.600031,24.8000,25.1800,24.5000,24.7300,59919480,1480976249.2100,3,0.707200,1,-1.942900,16.209642,4.201539,2.571993,-946.114104,0
2020-09-23,sh.600031,24.9000,25.4000,24.7600,25.0000,47358389,1186164750.5600,3,0.558900,1,1.091800,16.386618,4.247411,2.600074,-956.443696,0
2020-09-24,sh.600031,24.7000,24.9300,24.4100,24.6100,38859387,956805376.9900,3,0.458600,1,-1.560000,16.130986,4.181152,2.559512,-941.523174,0
2020-09-25,sh.600031,24.7500,24.8200,23.9200,24.2800,44839826,1091392808.6200,3,0.529200,1,-1.340900,15.914683,4.125086,2.525191,-928.898117,0
2020-09-28,sh.600031,24.6200,25.1200,24.5300,24.7500,53291562,1322422680.2800,3,0.629000,1,1.935700,16.222751,4.204937,2.574073,-946.879259,0
2020-09-29,sh.600031,24.8000,24.9400,24.4500,24.7400,35418463,873924156.5600,3,0.418000,1,-0.040400,16.216197,4.203238,2.573033,-946.496681,0
2020-09-30,sh.600031,24.7400,25.0800,24.6200,24.8900,49149809,1222149714.0900,3,0.580100,1,0.606300,16.314516,4.228723,2.588633,-952.235343,0
