date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.600038,57.6800,59.5900,57.5400,58.7400,10169717,596404150.8600,3,1.725200,1,2.692300,53.627786,4.162827,2.089416,79.556593,0
2020-09-02,sh.600038,59.0000,59.0000,57.4000,58.3900,5894601,340924490.8500,3,1.000000,1,-0.595800,53.308247,4.138023,2.076967,79.082558,0
2020-09-03,sh.600038,58.0000,58.3000,56.4000,57.6000,7107363,405685840.3800,3,1.205700,1,-1.353000,52.587002,4.082037,2.048866,78.012594,0
2020-09-04,sh.600038,56.8200,57.9600,55.7400,56.3100,5958636,336623878.5200,3,1.010800,1,-2.239600,51.409272,3.990616,2.002980,76.265437,0
2020-09-07,sh.600038,56.2100,56.7900,53.8000,54.1200,8494887,468037371.7300,3,1.441100,1,-3.889200,49.409871,3.835414,1.925080,73.299333,0
2020-09-08,sh.600038,54.5000,54.8800,53.0000,54.0000,6077321,327955954.5500,3,1.031000,1,-0.221700,49.300314,3.826910,1.920812,73.136807,0
2020-09-09,sh.600038,53.7300,55.5000,53.1900,54.6500,8405898,458060525.6900,3,1.426000,1,1.203700,49.893744,3.872974,1.943933,74.017157,0
2020-09-10,sh.600038,54.4900,55.1000,53.0800,53.1300,5523849,299465144.8000,3,0.937100,1,-2.781300,48.506032,3.765254,1.889865,71.958492,0
2020-09-11,sh.600038,53.0100,53.4100,51.8100,53.0000,5002976,263820754.3300,3,0.848700,1,-0.244700,48.387346,3.756041,1.885241,71.782422,0
2020-09-14,sh.600038,53.3100,53.6900,52.3300,52.8000,4315941,227888300.5100,3,0.732200,1,-0.377400,48.204752,3.741867,1.878127,71.511545,0
2020-09-15,sh.600038,52.8000,55.7800,52.6600,53.6300,6663098,360054937.2500,3,1.130300,1,1.572000,48.962516,3.800688,1.907651,72.635684,0
2020-09-16,sh.600038,53.5200,53.9900,52.6500,53.0400,3193062,169665378.7400,3,0.541700,1,-1.100100,48.423864,3.758876,1.886664,71.836597,0
2020-09-17,sh.600038,52.8900,53.2900,51.8800,52.7000,3887455,204288784.5100,3,0.659500,1,-0.641000,48.113455,3.734780,1.874570,71.376106,0
2020-09-18,sh.600038,52.8600,54.5800,52.8600,54.5000,6771995,366449804.6700,3,1.148800,1,3.415600,49.756799,3.862344,1.938597,73.814000,0
2020-09-21,sh.600038,55.2800,58.1500,54.9500,56.2300,11238407,637631568.4100,3,1.906500,1,3.174300,51.336235,3.984947,2.000134,76.157086,0
2020-09-22,sh.600038,55.6000,56.4200,54.8500,55.2700,4261971,236600596.8000,3,0.723000,1,-1.707300,50.459785,3.916913,1.965986,74.856876,0
2020-09-23,sh.600038,55.2700,56.2000,54.8200,55.7500,2976762,165281131.9400,3,0.505000,1,0.868500,50.898010,3.950930,1.983060,75.506981,0
2020-09-24,sh.600038,54.9000,55.2800,53.8500,53.9400,3387163,183982677.4700,3,0.574600,1,-3.246600,49.245536,3.822658,1.918678,73.055544,0
2020-09-25,sh.600038,54.3300,54.5800,53.3800,53.9800,3040128,163893280.1400,3,0.515700,1,0.074200,49.282055,3.825492,1.920100,73.109719,0
2020-09-28,sh.600038,54.1500,54.5900,53.3500,53.9900,3848067,208140769.1000,3,0.652800,1,0.018500,49.291185,3.826201,1.920456,73.123263,0
2020-09-29,sh.600038,54.0000,56.8300,54.0000,56.4600,7908540,443747817.8800,3,1.341600,1,4.574900,51.546218,4.001247,2.008315,76.468595,0
2020-09-30,sh.600038,56.3600,56.5900,55.3000,56.0100,4334990,243063787.9000,3,0.735400,1,-0.797000,51.135382,3.969356,1.992309,75.859121,0
