date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.600048,16.1300,16.2500,16.0300,16.2100,68400387,1103472123.0400,3,0.573100,1,0.683200,6.877753,1.357783,0.810970,62.861349,0
2020-09-02,sh.600048,16.1200,16.4500,16.0500,16.2700,86810278,1410858654.2600,3,0.727400,1,0.370100,6.903210,1.362809,0.813972,63.094025,0
2020-09-03,sh.600048,16.2700,16.5300,16.1600,16.4000,87621731,1437400975.4500,3,0.734200,1,0.799000,6.958368,1.373698,0.820476,63.598157,0
2020-09-04,sh.600048,16.2500,16.5000,16.0800,16.4700,72699272,1185646072.4700,3,0.609200,1,0.426800,6.988068,1.379561,0.823978,63.869612,0
2020-09-07,sh.600048,16.3200,17.1200,16.3100,16.6100,120236610,2015511030.0500,3,1.007500,1,0.850000,7.047469,1.391288,0.830982,64.412523,0
2020-09-08,sh.600048,16.6800,16.8800,16.4500,16.6100,74992880,1246888460.1600,3,0.628400,1,0.000000,7.047469,1.391288,0.830982,64.412523,0
2020-09-09,sh.600048,16.4500,16.6000,16.2100,16.4000,61264061,1003809392.6300,3,0.513300,1,-1.264300,6.958368,1.373698,0.820476,63.598157,0
2020-09-10,sh.600048,16.6000,17.3000,16.6000,16.7700,128660598,2178483136.1700,3,1.078100,1,2.256100,7.115355,1.404690,0.838986,65.032993,0
2020-09-11,sh.600048,16.7900,16.8800,16.4500,16.5800,77167910,1282971529.5500,3,0.646600,1,-1.133000,7.034740,1.388775,0.829481,64.296185,0
2020-09-14,sh.600048,16.6000,16.7300,16.3600,16.5500,58519133,965884103.1800,3,0.490300,1,-0.180900,7.022011,1.386262,0.827980,64.179847,0
2020-09-15,sh.600048,16.5000,16.7800,16.3300,16.6600,64890107,1075533875.8300,3,0.543700,1,0.664700,7.068683,1.395476,0.833483,64.606420,0
2020-09-16,sh.600048,16.5800,16.9700,16.4800,16.8400,78509632,1314843263.3800,3,0.657900,1,1.080400,7.145056,1.410553,0.842488,65.304449,0
2020-09-17,sh.600048,16.7600,16.8900,16.6000,16.6400,57441074,959643824.7200,3,0.481300,1,-1.187600,7.060198,1.393801,0.832483,64.528861,0
2020-09-18,sh.600048,16.6400,17.3500,16.6100,17.3500,140870075,2409709444.3600,3,1.180400,1,4.266800,7.361444,1.453272,0.868003,67.282196,0
2020-09-21,sh.600048,17.3600,17.3800,17.0300,17.0700,75074277,1291780802.7000,3,0.629100,1,-1.613800,7.242643,1.429819,0.853995,66.196374,0
2020-09-22,sh.600048,16.9600,17.0600,16.7400,16.8400,57205592,967309503.9200,3,0.479300,1,-1.347400,7.145056,1.410553,0.842488,65.304449,0
2020-09-23,sh.600048,16.8500,16.8900,16.6300,16.6800,53094169,887683648.2000,3,0.443700,1,-0.950100,7.096537,1.400975,0.836767,64.860997,0
2020-09-24,sh.600048,16.6600,16.6700,16.3300,16.3700,64752055,1065772298.9900,3,0.541100,1,-1.858500,6.964647,1.374938,0.821216,63.655547,0
2020-09-25,sh.600048,16.3300,16.4500,15.7900,15.8900,93486243,1500213098.9400,3,0.781200,1,-2.932200,6.760430,1.334622,0.797136,61.789043,0
2020-09-28,sh.600048,15.9900,16.2200,15.9000,16.1500,72570253,1168243281.6500,3,0.606400,1,1.636200,6.871048,1.356460,0.810179,62.800066,0
2020-09-29,sh.600048,16.1200,16.1800,16.0300,16.0700,49830932,802059019.5200,3,0.416400,1,-0.495400,6.837011,1.349740,0.806166,62.488982,0
2020-09-30,sh.600048,16.2000,16.2500,15.7300,15.8900,67589199,1077401130.0600,3,0.564800,1,-1.120100,6.760430,1.334622,0.797136,61.789043,0
