date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.600054,9.1900,9.2400,9.1000,9.2300,3453000,31643518.0000,3,0.672700,1,0.984700,80.464027,1.611786,6.242787,-38.489063,0
2020-09-02,sh.600054,9.2700,9.3800,9.2100,9.2600,6208700,57654689.0000,3,1.209600,1,0.325000,80.725557,1.617024,6.263077,-38.614163,0
2020-09-03,sh.600054,9.2600,9.3900,9.2100,9.3000,7728901,71963261.1500,3,1.505700,1,0.432000,81.074264,1.624009,6.290132,-38.780962,0
2020-09-04,sh.600054,9.2100,9.3400,9.0900,9.3200,6678597,61585252.6700,3,1.301100,1,0.215100,81.248617,1.627502,6.303659,-38.864362,0
2020-09-07,sh.600054,9.3200,9.5700,9.3200,9.4500,13627853,129269223.0300,3,2.654900,1,1.394800,82.381913,1.650203,6.391585,-39.406462,0
2020-09-08,sh.600054,9.5000,9.5200,9.3100,9.5100,7446352,69990535.8800,3,1.450700,1,0.634900,82.904973,1.660681,6.432167,-39.656662,0
2020-09-09,sh.600054,9.3200,9.5000,9.2400,9.2800,7392001,69297309.3700,3,1.440100,1,-2.418500,80.899910,1.620517,6.276605,-38.697562,0
2020-09-10,sh.600054,9.4200,9.4400,8.9200,8.9500,8458450,77376172.5000,3,1.647900,1,-3.556000,78.023082,1.562891,6.053406,-37.321464,0
2020-09-11,sh.600054,8.9000,9.1100,8.8900,9.0800,5179701,46614221.0000,3,1.009100,1,1.452500,79.156378,1.585592,6.141333,-37.863563,0
2020-09-14,sh.600054,9.1000,9.4900,9.1000,9.4900,11346551,106094669.7800,3,2.210500,1,4.515400,82.730620,1.657188,6.418640,-39.573262,0
2020-09-15,sh.600054,9.4900,9.6000,9.3700,9.4800,10634000,100774764.0000,3,2.071700,1,-0.105400,82.643443,1.655442,6.411876,-39.531562,0
2020-09-16,sh.600054,9.4500,9.5500,9.3000,9.4400,7697728,72577752.7000,3,1.499700,1,-0.421900,82.294736,1.648457,6.384822,-39.364762,0
2020-09-17,sh.600054,9.4800,9.5800,9.3300,9.4900,10516651,99510833.9300,3,2.048800,1,0.529700,82.730620,1.657188,6.418640,-39.573262,0
2020-09-18,sh.600054,9.4900,10.0300,9.3500,9.9900,22315340,218247616.4700,3,4.347400,1,5.268700,87.089451,1.744501,6.756819,-41.658260,0
2020-09-21,sh.600054,10.0100,10.0600,9.6100,9.6400,17749907,173222486.9700,3,3.458000,1,-3.503500,84.038269,1.683382,6.520093,-40.198761,0
2020-09-22,sh.600054,9.6000,9.6000,9.2500,9.3400,10686150,100476877.5200,3,2.081900,1,-3.112000,81.422970,1.630994,6.317186,-38.947762,0
2020-09-23,sh.600054,9.3400,9.4200,9.2500,9.3800,4798056,44879432.2000,3,0.934700,1,0.428300,81.771677,1.637979,6.344240,-39.114562,0
2020-09-24,sh.600054,9.3300,9.3300,9.0300,9.0500,7174577,65642307.8000,3,1.397700,1,-3.518100,78.894848,1.580353,6.121042,-37.738463,0
2020-09-25,sh.600054,9.0600,9.3500,9.0400,9.2100,5527300,50712693.2000,3,1.076800,1,1.768000,80.289674,1.608293,6.229259,-38.405663,0
2020-09-28,sh.600054,9.2100,9.2100,9.0100,9.0300,4285291,38942801.5500,3,0.834900,1,-1.954400,78.720495,1.576861,6.107515,-37.655063,0
2020-09-29,sh.600054,9.0400,9.0900,8.8700,8.9600,5660057,50613442.9900,3,1.102700,1,-0.775200,78.110258,1.564637,6.060170,-37.363164,0
2020-09-30,sh.600054,8.9900,9.0400,8.8500,9.0400,4104483,36653182.9400,3,0.799600,1,0.892900,78.807671,1.578607,6.114279,-37.696763,0
