date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.600057,7.1300,7.1400,6.9700,7.0900,23629696,166688183.8200,3,1.095300,1,-0.561000,12.660811,1.446542,0.049330,6.492689,0
2020-09-02,sh.600057,7.1300,7.2300,7.0600,7.1500,24004959,171297046.1300,3,1.112700,1,0.846300,12.767954,1.458783,0.049748,6.547634,0
2020-09-03,sh.600057,7.1500,7.1500,6.9700,7.0100,28744365,202132114.2300,3,1.332300,1,-1.958000,12.517952,1.430219,0.048774,6.419429,0
2020-09-04,sh.600057,6.9000,6.9600,6.8300,6.9100,23237427,159806986.9800,3,1.077100,1,-1.426500,12.339379,1.409817,0.048078,6.327853,0
2020-09-07,sh.600057,6.9000,7.1800,6.9000,6.9700,28527437,201410641.6800,3,1.322300,1,0.868300,12.446523,1.422058,0.048495,6.382799,0
2020-09-08,sh.600057,6.9700,7.0100,6.6800,6.8200,29627731,201485310.5700,3,1.373300,1,-2.152100,12.178664,1.391455,0.047452,6.245436,0
2020-09-09,sh.600057,6.8200,6.8200,6.6000,6.7000,23133429,155253393.3500,3,1.072300,1,-1.759500,11.964377,1.366972,0.046617,6.135545,0
2020-09-10,sh.600057,6.8100,6.9400,6.6500,6.7300,24339074,165138017.5200,3,1.128100,1,0.447800,12.017948,1.373092,0.046825,6.163018,0
2020-09-11,sh.600057,6.7000,6.8200,6.5700,6.7100,24792780,166359577.4400,3,1.149200,1,-0.297200,11.982234,1.369012,0.046686,6.144703,0
2020-09-14,sh.600057,6.7000,6.9000,6.6300,6.7300,18025344,121177615.3900,3,0.835500,1,0.298100,12.017948,1.373092,0.046825,6.163018,0
2020-09-15,sh.600057,6.7200,6.8500,6.6500,6.7800,22846265,154366064.7100,3,1.058900,1,0.742900,12.107235,1.383294,0.047173,6.208806,0
2020-09-16,sh.600057,6.7800,6.9800,6.7400,6.9000,27946909,192614475.1700,3,1.295400,1,1.769900,12.321522,1.407777,0.048008,6.318696,0
2020-09-17,sh.600057,6.8600,6.9000,6.5200,6.5500,47010643,312389235.8500,3,2.179000,1,-5.072500,11.696517,1.336368,0.045573,5.998182,0
2020-09-18,sh.600057,6.5500,6.6900,6.4500,6.6700,28167264,184873371.6500,3,1.305600,1,1.832100,11.910805,1.360851,0.046408,6.108073,0
2020-09-21,sh.600057,6.6200,6.9400,6.6200,6.8400,32570175,221016743.8100,3,1.509700,1,2.548700,12.214379,1.395535,0.047591,6.263751,0
2020-09-22,sh.600057,6.8000,6.8500,6.6300,6.6500,19181392,129204524.9700,3,0.889100,1,-2.777800,11.875090,1.356770,0.046269,6.089758,0
2020-09-23,sh.600057,6.7200,6.8700,6.6900,6.7400,16964214,114690373.0200,3,0.786300,1,1.353400,12.035806,1.375133,0.046895,6.172175,0
2020-09-24,sh.600057,6.7000,6.7200,6.3100,6.3600,30322775,196406996.1300,3,1.405500,1,-5.638000,11.357229,1.297603,0.044251,5.824189,0
2020-09-25,sh.600057,6.3900,6.4200,6.1000,6.1900,23350491,145124124.9300,3,1.082300,1,-2.673000,11.053655,1.262918,0.043068,5.668511,0
2020-09-28,sh.600057,6.1800,6.2000,5.9500,6.0900,20127159,121986298.0000,3,0.932900,1,-1.615500,10.875083,1.242516,0.042372,5.576936,0
2020-09-29,sh.600057,6.1000,6.1500,6.0000,6.0900,11805909,71918192.5600,3,0.547200,1,0.000000,10.875083,1.242516,0.042372,5.576936,0
2020-09-30,sh.600057,6.0900,6.1300,5.8900,5.8900,32942121,196057596.1100,3,1.526900,1,-3.284100,10.517937,1.201711,0.040981,5.393785,0
