date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.600066,14.2300,14.8500,14.1600,14.8500,16102254,235770593.0900,3,0.727300,1,4.503900,24.905739,2.287094,1.285346,47.463043,0
2020-09-02,sh.600066,14.7100,15.2400,14.7100,15.2200,16003758,240859500.6600,3,0.722900,1,2.491600,25.526286,2.344079,1.317371,48.645624,0
2020-09-03,sh.600066,15.2200,15.5700,14.9700,15.2200,17258175,264180211.0200,3,0.779500,1,0.000000,25.526286,2.344079,1.317371,48.645624,0
2020-09-04,sh.600066,15.0000,15.4500,14.8100,15.3000,14310995,217863624.0800,3,0.646400,1,0.525600,25.660458,2.356400,1.324296,48.901317,0
2020-09-07,sh.600066,15.4400,15.4700,14.7300,14.8600,15737367,235977407.2400,3,0.710800,1,-2.875800,24.922511,2.288634,1.286212,47.495005,0
2020-09-08,sh.600066,15.0400,15.5800,14.8100,15.1600,15549119,237402279.6600,3,0.702300,1,2.018800,25.425657,2.334838,1.312178,48.453854,0
2020-09-09,sh.600066,15.0900,15.2600,14.5200,14.6100,11764913,174319414.6700,3,0.531400,1,-3.628000,24.503222,2.250131,1.264573,46.695963,0
2020-09-10,sh.600066,14.7100,14.8900,14.3600,14.6100,10559744,154385853.4300,3,0.477000,1,0.000000,24.503222,2.250131,1.264573,46.695963,0
2020-09-11,sh.600066,14.4100,14.6800,14.2100,14.5800,6248606,90338045.9700,3,0.282200,1,-0.205300,24.452907,2.245511,1.261976,46.600078,0
2020-09-14,sh.600066,14.6000,14.9300,14.5000,14.8800,7551119,110987822.7900,3,0.341100,1,2.057600,24.956054,2.291715,1.287943,47.558928,0
2020-09-15,sh.600066,15.0000,15.2800,14.8200,15.1300,10265671,155508736.1600,3,0.463700,1,1.680100,25.375342,2.330218,1.309581,48.357969,0
2020-09-16,sh.600066,15.1000,15.7200,14.9500,15.6000,16438058,254042469.2100,3,0.742500,1,3.106400,26.163605,2.402604,1.350262,49.860166,0
2020-09-17,sh.600066,15.6000,16.6600,15.3900,16.3100,24146417,386357478.2100,3,1.090700,1,4.551300,27.354384,2.511953,1.411717,52.129443,0
2020-09-18,sh.600066,16.2000,16.4300,16.0100,16.3500,13591373,220746517.8300,3,0.613900,1,0.245200,27.421470,2.518114,1.415179,52.257290,0
2020-09-21,sh.600066,16.3100,16.5000,15.8800,15.9700,10202978,164026859.7000,3,0.460900,1,-2.324200,26.784152,2.459589,1.382288,51.042747,0
2020-09-22,sh.600066,15.8000,15.9700,15.4600,15.5900,12530322,196687281.1400,3,0.566000,1,-2.379500,26.146833,2.401064,1.349397,49.828205,0
2020-09-23,sh.600066,15.4600,16.0000,15.4600,15.8200,9541997,150456309.9400,3,0.431000,1,1.475300,26.532579,2.436487,1.369305,50.563322,0
2020-09-24,sh.600066,15.7300,15.9000,15.4200,15.4500,7234799,112513056.4500,3,0.326800,1,-2.338800,25.912032,2.379502,1.337279,49.380742,0
2020-09-25,sh.600066,15.6100,15.9800,15.4400,15.9600,9311664,146689808.2400,3,0.420600,1,3.301000,26.767380,2.458049,1.381422,51.010785,0
2020-09-28,sh.600066,15.9600,16.0300,15.7000,15.9000,7472737,118602764.4400,3,0.337500,1,-0.375900,26.666751,2.448808,1.376229,50.819016,0
2020-09-29,sh.600066,15.9800,16.0600,15.6700,15.8100,6375580,101043477.0300,3,0.288000,1,-0.566000,26.515807,2.434947,1.368439,50.531361,0
2020-09-30,sh.600066,15.8200,15.9400,15.5700,15.7200,6414167,100997650.8800,3,0.289700,1,-0.569300,26.364863,2.421086,1.360649,50.243706,0
