date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.600075,6.7000,6.7900,6.5900,6.7000,9881380,65807209.4400,3,1.016100,1,-0.445800,-47.698509,1.506682,2.101044,5.129321,0
2020-09-02,sh.600075,6.7300,6.8300,6.6200,6.6700,9809740,65695905.2000,3,1.008700,1,-0.447800,-47.484933,1.499936,2.091636,5.106354,0
2020-09-03,sh.600075,6.7000,6.7400,6.5200,6.5500,10106650,66947944.6700,3,1.039200,1,-1.799100,-46.630632,1.472951,2.054005,5.014486,0
2020-09-04,sh.600075,6.4500,6.5300,6.3800,6.5000,6366278,41137639.0100,3,0.654600,1,-0.763400,-46.274673,1.461707,2.038326,4.976207,0
2020-09-07,sh.600075,6.5000,6.5300,6.3300,6.3600,9253980,59460169.8000,3,0.951500,1,-2.153800,-45.277987,1.430224,1.994423,4.869028,0
2020-09-08,sh.600075,6.3600,6.4300,6.2800,6.3500,7090915,44930650.3300,3,0.729100,1,-0.157200,-45.206796,1.427975,1.991288,4.861372,0
2020-09-09,sh.600075,6.2800,6.2800,6.1200,6.1400,11233835,69609244.9500,3,1.155100,1,-3.307100,-43.711768,1.380751,1.925434,4.700602,0
2020-09-10,sh.600075,6.1900,6.2300,5.9000,5.9000,10344174,62600790.4000,3,1.063600,1,-3.908800,-42.003164,1.326780,1.850173,4.516865,0
2020-09-11,sh.600075,6.1000,6.3100,6.0600,6.2700,14515756,90072475.9700,3,1.492600,1,6.271200,-44.637261,1.409985,1.966200,4.800126,0
2020-09-14,sh.600075,6.2800,6.5800,6.2600,6.5000,14010403,90173242.8400,3,1.440600,1,3.668300,-46.274673,1.461707,2.038326,4.976207,0
2020-09-15,sh.600075,6.4900,6.6200,6.4000,6.5400,9025075,58665517.7000,3,0.928000,1,0.615400,-46.559440,1.470702,2.050869,5.006830,0
2020-09-16,sh.600075,6.4000,6.5400,6.3900,6.4800,4981920,32147710.8500,3,0.512300,1,-0.917400,-46.132289,1.457209,2.032054,4.960896,0
2020-09-17,sh.600075,6.4600,6.7400,6.4200,6.6600,14889605,98890021.9400,3,1.531000,1,2.777800,-47.413741,1.497687,2.088500,5.098699,0
2020-09-18,sh.600075,6.6400,6.8300,6.5900,6.7700,11307568,76069558.4000,3,1.162700,1,1.651700,-48.196851,1.522424,2.122995,5.182911,0
2020-09-21,sh.600075,6.7500,6.7800,6.6100,6.6800,6844717,45721366.9500,3,0.703800,1,-1.329400,-47.556125,1.502185,2.094772,5.114010,0
2020-09-22,sh.600075,6.6000,6.6600,6.4800,6.5500,7915086,51863596.5000,3,0.813900,1,-1.946100,-46.630632,1.472951,2.054005,5.014486,0
2020-09-23,sh.600075,6.6000,6.6900,6.5200,6.6400,6984360,46261856.2000,3,0.718200,1,1.374000,-47.271358,1.493190,2.082228,5.083387,0
2020-09-24,sh.600075,6.5300,6.6400,6.4100,6.4500,9665910,62857013.8600,3,0.993900,1,-2.861400,-45.918714,1.450463,2.022646,4.937929,0
2020-09-25,sh.600075,6.5000,6.5100,6.3100,6.4300,6438213,41166909.9800,3,0.662000,1,-0.310100,-45.776330,1.445965,2.016375,4.922618,0
2020-09-28,sh.600075,6.5400,6.5700,6.2000,6.2700,11011809,69535977.8300,3,1.132300,1,-2.488300,-44.637261,1.409985,1.966200,4.800126,0
2020-09-29,sh.600075,6.2800,6.4100,6.2400,6.3700,4873680,30907226.8000,3,0.501100,1,1.594900,-45.349179,1.432473,1.997559,4.876683,0
2020-09-30,sh.600075,6.4200,6.4300,6.2500,6.3200,4395960,27853887.0000,3,0.452000,1,-0.784900,-44.993220,1.421229,1.981880,4.838405,0
