date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2020-09-01,sh.600076,3.5700,3.5800,3.5200,3.5400,8694002,30821492.7700,3,0.840600,1,-1.392800,47.378596,0.901686,2.607228,13.867488,0
2020-09-02,sh.600076,3.5400,3.5600,3.5100,3.5400,7946131,28121950.2300,3,0.768300,1,0.000000,47.378596,0.901686,2.607228,13.867488,0
2020-09-03,sh.600076,3.5500,3.5900,3.5200,3.5300,6409100,22751734.0000,3,0.619700,1,-0.282500,47.244758,0.899139,2.599863,13.828314,0
2020-09-04,sh.600076,3.5000,3.5400,3.4700,3.5300,6546859,22952995.2700,3,0.633000,1,0.000000,47.244758,0.899139,2.599863,13.828314,0
2020-09-07,sh.600076,3.5300,3.5600,3.5000,3.5200,6909300,24403229.0000,3,0.668000,1,-0.283300,47.110920,0.896591,2.592498,13.789140,0
2020-09-08,sh.600076,3.5000,3.6100,3.5000,3.6100,12025535,42884441.0000,3,1.162700,1,2.556800,48.315461,0.919516,2.658783,14.141703,0
2020-09-09,sh.600076,3.5900,3.7200,3.5800,3.6500,19628980,72118966.0000,3,1.897900,1,1.108000,48.850812,0.929704,2.688243,14.298398,0
2020-09-10,sh.600076,3.6800,3.6900,3.5100,3.5200,15381863,55088463.9800,3,1.487200,1,-3.561600,47.110920,0.896591,2.592498,13.789140,0
2020-09-11,sh.600076,3.5200,3.5300,3.4400,3.5000,6765097,23563099.7400,3,0.654100,1,-0.568200,46.843244,0.891497,2.577767,13.710793,0
2020-09-14,sh.600076,3.5000,3.5300,3.4600,3.4800,8989965,31411581.9000,3,0.869200,1,-0.571400,46.575569,0.886403,2.563037,13.632445,0
2020-09-15,sh.600076,3.4800,3.4800,3.4400,3.4700,5949400,20599806.0000,3,0.575200,1,-0.287400,46.441731,0.883856,2.555672,13.593272,0
2020-09-16,sh.600076,3.4700,3.5200,3.4600,3.4800,4851935,16893324.4500,3,0.469100,1,0.288200,46.575569,0.886403,2.563037,13.632445,0
2020-09-17,sh.600076,3.4800,3.5100,3.4500,3.4600,4899774,17015073.3100,3,0.473700,1,-0.574700,46.307893,0.881309,2.548307,13.554098,0
2020-09-18,sh.600076,3.4600,3.5100,3.4500,3.5000,5515500,19202796.0000,3,0.533300,1,1.156100,46.843244,0.891497,2.577767,13.710793,0
2020-09-21,sh.600076,3.5000,3.5300,3.4700,3.4800,6280100,21908699.0000,3,0.607200,1,-0.571400,46.575569,0.886403,2.563037,13.632445,0
2020-09-22,sh.600076,3.4600,3.4800,3.4000,3.4100,7429000,25582832.0000,3,0.718300,1,-2.011500,45.638704,0.868573,2.511482,13.358229,0
2020-09-23,sh.600076,3.4300,3.4300,3.4000,3.4200,3470590,11844476.0000,3,0.335600,1,0.293300,45.772542,0.871120,2.518847,13.397403,0
2020-09-24,sh.600076,3.4100,3.4100,3.3300,3.3300,5905110,19826809.4000,3,0.570900,1,-2.631600,44.568001,0.848196,2.452562,13.044840,0
2020-09-25,sh.600076,3.3100,3.3400,3.2500,3.2800,5916400,19474019.0000,3,0.572000,1,-1.501500,43.898812,0.835460,2.415736,12.848971,0
2020-09-28,sh.600076,3.2800,3.2900,3.2300,3.2400,3994208,13012944.0300,3,0.386200,1,-1.219500,43.363461,0.825272,2.386276,12.692277,0
2020-09-29,sh.600076,3.2600,3.2700,3.2300,3.2300,4092625,13272783.8000,3,0.395700,1,-0.308600,43.229623,0.822725,2.378911,12.653103,0
2020-09-30,sh.600076,3.2400,3.2800,3.2300,3.2600,3867500,12578136.0000,3,0.373900,1,0.928800,43.631136,0.830366,2.401006,12.770624,0
